緯度,経度,情報
34.67881611,133.9794889,1
34.680248,133.99948,1
34.66411,133.9898597,1
34.63406861,133.9748567,1
34.618433,133.979322,1
34.67383667,133.9487739,1
34.67362111,133.9485269,1
34.6664,133.956478,1
34.660481,133.943249,1
34.65283056,133.9335058,1
34.65733167,133.9435244,1
34.67486389,133.9662203,1
34.67426361,133.9689286,1
34.68611472,133.9488408,1
34.66924944,133.9394,1
34.66630583,133.9506044,1
34.66778223,133.9492981,1
34.69177806,133.9629483,1
34.690715,133.9627797,1
34.6912725,133.9601261,1
34.69365361,133.9808664,1
34.69508694,133.9780233,1
34.65639722,133.9361092,1
34.69242694,133.9598308,1
34.6762675,133.9358831,1
34.6808725,133.9660511,1
34.64581444,133.9721633,1
34.64488917,133.9723825,1
34.663244,133.961718,1
34.68240056,133.9394678,1
34.68283361,133.9847772,1
34.68442361,133.986215,1
34.687799,133.98579,1
34.692202,133.988468,1
34.652038,133.94138,1
34.63177917,133.9695531,1
34.62895972,133.9655731,1
34.63045333,133.9653364,1
34.61664361,133.9743733,1
34.65960111,133.9405706,1
34.68806472,133.9472844,1
34.67343889,133.9341747,1
34.673707,133.939799,1
34.6547,133.9749122,1
34.65651194,133.976255,1
34.65771611,133.9785231,1
34.6374075,133.9499642,1
34.6382475,133.9472614,1
34.63838722,133.9454139,1
34.65561444,133.9366533,1
34.71303278,134.0830331,1
34.62456111,134.0975114,1
34.66004083,134.0009386,1
34.65990778,134.0024292,1
34.66295806,134.0502769,1
34.64324222,134.0246289,1
34.64503306,134.0277119,1
34.63168833,134.0190917,1
34.62639667,134.0241669,1
34.63683333,134.0139356,1
34.61641,134.0237486,1
34.62842333,134.0141169,1
34.564589,134.099857,1
34.56598222,134.1048756,1
34.69042083,134.0003786,1
34.69350944,134.0002897,1
34.65498972,134.0398356,1
34.69120028,134.0645272,1
34.69097417,134.0646422,1
34.62401278,134.0833092,1
34.6242525,134.0105425,1
34.70579889,134.0351119,1
34.62591333,134.0985892,1
34.70036028,134.0163639,1
34.69167444,134.024355,1
34.69171472,134.0236847,1
34.62955694,134.0583467,1
34.63124917,134.0566439,1
34.610505,134.0623742,1
34.61165306,134.0581925,1
34.723351,134.042209,1
34.740172,134.041697,1
34.723273,134.049261,1
34.72589389,134.0441442,1
34.721048,134.050243,1
34.73862861,134.0406881,1
34.73438139,134.0386011,1
34.76028972,134.0730281,1
34.748056,134.06935,1
34.7589025,134.0770825,1
34.63348639,134.0023064,1
34.63408333,134.0022725,1
34.70990917,134.0796522,1
34.70822083,134.0731533,1
34.66388556,134.0121867,1
34.66328667,134.0109808,1
34.65809056,134.0311981,1
34.65776361,134.0324808,1
34.658393,134.0343876,1
34.65049806,134.0459431,1
34.64967917,134.0462633,1
34.65377583,134.0324906,1
34.65656,134.035055,1
34.65515806,134.0287814,1
34.650183,134.028924,1
34.66316611,134.0386483,1
34.60297639,134.0840839,1
34.66595333,134.0042108,1
34.7136125,134.0488178,1
34.71271694,134.049865,1
34.69816278,134.0531828,1
34.60449917,134.0861831,1
34.69883722,134.0508422,1
34.6718125,134.041335,1
34.67161806,134.0419531,1
34.62246528,134.0611458,1
