緯度,経度,情報
35.38531966,136.7579611,1
35.38057968,136.7549348,1
35.381859,136.755487,1
35.39582558,136.7552306,1
35.39530302,136.7530614,1
35.37766976,136.7586076,1
35.38537791,136.7502086,1
35.37414719,136.7438183,1
35.47794,136.780635,1
35.478296,136.781117,1
35.47853757,136.7744955,1
35.482645,136.771705,1
35.48716998,136.7698562,1
35.489082,136.775589,1
35.489082,136.775589,1
35.491486,136.776088,1
35.484077,136.780645,1
35.484615,136.780661,1
35.48931098,136.7883649,1
35.4844379,136.7839341,1
35.49695912,136.7276768,1
35.497211,136.728716,1
35.49756929,136.7289531,1
35.49801162,136.7283484,1
35.48751581,136.7180394,1
35.49055971,136.7168724,1
35.48903098,136.7192971,1
35.40685211,136.7655954,1
35.42832439,136.7673378,1
35.40959625,136.7679653,1
35.42539857,136.7182686,1
35.425856,136.716739,1
35.39774749,136.7312151,1
35.39893,136.73618,1
35.39645878,136.7353674,1
35.394463,136.735562,1
35.3945812,136.7304486,1
35.415746,136.731946,1
35.415083,136.732757,1
35.43742909,136.7574916,1
35.438953,136.756588,1
35.42662826,136.7516515,1
35.457266,136.71375,1
35.46188415,136.7183387,1
35.4617199,136.717153,1
35.39523013,136.7700739,1
35.38818184,136.7670607,1
35.45021967,136.7565197,1
35.45181244,136.7596667,1
35.45332453,136.7560551,1
35.453391,136.758619,1
35.4570693,136.7529992,1
35.456198,136.753833,1
35.3910316,136.7102263,1
35.38505323,136.7100245,1
35.386026,136.709768,1
35.4086414,136.7508257,1
35.39957465,136.7603122,1
35.4034744,136.7601007,1
35.404201,136.750758,1
35.403993,136.750459,1
35.4056294,136.7486277,1
35.372705,136.748941,1
35.397693,136.760659,1
35.40136255,136.7496852,1
35.40779723,136.7530117,1
35.40831742,136.7594781,1
35.401722,136.76176,1
35.401371,136.761925,1
35.40175737,136.7522436,1
35.403776,136.762397,1
35.403058,136.762206,1
35.398173,136.750135,1
35.46589626,136.8158586,1
35.463717,136.823608,1
35.46214257,136.8223889,1
35.46295719,136.8244149,1
35.46223933,136.8250257,1
35.46699542,136.8247608,1
35.47198524,136.8275991,1
35.47043419,136.8267077,1
35.41184805,136.7020336,1
35.40723037,136.7016462,1
35.411523,136.703059,1
35.41187279,136.7521165,1
35.40882291,136.769474,1
35.40877467,136.7702193,1
35.44735404,136.8410202,1
35.453059,136.841603,1
35.452896,136.8395328,1
35.450924,136.849948,1
35.450038,136.848025,1
35.44790904,136.8457673,1
35.45993256,136.8457854,1
35.46080769,136.8457939,1
35.4450214,136.8426015,1
35.45463225,136.8572439,1
35.45520857,136.8630212,1
35.45540819,136.857211,1
35.45433517,136.8595842,1
35.454774,136.8629539,1
35.44045106,136.8479077,1
35.43894548,136.7541411,1
35.439795,136.756229,1
35.440198,136.756632,1
35.435764,136.735942,1
35.43765842,136.7328946,1
35.43314199,136.733104,1
35.43472,136.72952,1
35.43908962,136.7303826,1
35.47208901,136.8201512,1
35.47199711,136.816975,1
35.46810929,136.8075705,1
35.46968614,136.8127909,1
35.46768417,136.8111668,1
35.4640937,136.7739786,1
35.46281697,136.7775533,1
