緯度,経度,情報
34.72342628,136.512667,1
34.72601332,136.5133833,1
34.73487127,136.4690328,1
34.74218565,136.4673954,1
34.73695728,136.4750516,1
34.77504819,136.4414899,1
34.777055,136.436771,1
34.77702091,136.4373224,1
34.77404956,136.4552836,1
34.77262634,136.4626872,1
34.75837778,136.4285819,1
34.78163829,136.4302152,1
34.74299367,136.4375872,1
34.77752081,136.4465998,1
34.77934935,136.4466052,1
34.78018976,136.4461157,1
34.74599142,136.4440857,1
34.74911021,136.4542766,1
34.7465984,136.4548815,1
34.75101512,136.45782,1
34.74976002,136.4563457,1
34.75164603,136.4429579,1
34.74495016,136.4708668,1
34.74689759,136.4704862,1
34.74573829,136.4675815,1
34.74956379,136.4748884,1
34.75113732,136.4733596,1
34.7508376,136.4731343,1
34.74880567,136.4755858,1
34.74870429,136.4735473,1
34.74997882,136.4732202,1
34.75832193,136.450134,1
34.75710994,136.4481867,1
34.75980825,136.4515328,1
34.75280044,136.4536446,1
34.75791203,136.4492435,1
34.75360271,136.4582892,1
34.75322367,136.4574684,1
34.75258458,136.4582195,1
34.75264628,136.4591314,1
34.74506359,136.4377276,1
34.75240618,136.4611267,1
34.75017024,136.4631983,1
34.76761692,136.4246153,1
34.76803996,136.4227968,1
34.76369831,136.4213451,1
34.76349568,136.4216815,1
34.76143149,136.4128519,1
34.76402104,136.4268559,1
34.76344365,136.4263373,1
34.76203783,136.4355427,1
34.77139339,136.4188375,1
34.75398637,136.4766776,1
34.75266854,136.4775278,1
34.75444623,136.4717748,1
34.77844887,136.4365694,1
34.77994642,136.4298655,1
34.77926091,136.434105,1
34.75537905,136.4378174,1
34.75206974,136.4296097,1
34.76418239,136.4457908,1
34.76901653,136.4360564,1
34.76520927,136.4396091,1
34.76583504,136.4359935,1
34.76514317,136.4356555,1
34.76139407,136.4411952,1
34.76212928,136.4440905,1
34.7602971,136.4435506,1
34.76031694,136.4433977,1
34.760799,136.446037,1
34.75925886,136.4453646,1
34.75522022,136.4612567,1
34.75956273,136.4598875,1
34.75897772,136.4591956,1
34.76598356,136.4639412,1
34.74739778,136.4313178,1
34.742009,136.4433535,1
34.74112297,136.4443728,1
34.74283121,136.4512028,1
34.7427636,136.45233,1
34.78155236,136.4162255,1
34.75010525,136.4513008,1
34.750217,136.450784,1
34.75008548,136.4507309,1
34.64678688,136.440804,1
34.65478224,136.4207316,1
34.65227854,136.4223499,1
34.64718079,136.4235574,1
34.64684113,136.3859329,1
34.66449971,136.4311655,1
34.66249862,136.4322788,1
34.66066861,136.4302507,1
34.6585597,136.4244222,1
34.65674971,136.4222896,1
34.66468888,136.432827,1
34.64242021,136.4463495,1
34.66211694,136.4479682,1
34.65699851,136.4073093,1
34.64713642,136.4080425,1
34.64537165,136.4116965,1
34.6455262,136.4106745,1
34.65596575,136.4269445,1
34.65579207,136.4343648,1
34.63893462,136.4561083,1
34.63759731,136.4552786,1
34.62349573,136.3912384,1
34.62398829,136.3901233,1
34.62349451,136.390573,1
34.60894397,136.3715284,1
34.65160339,136.4482902,1
34.6484813,136.4480273,1
34.65271973,136.4462357,1
34.64558869,136.4601389,1
34.64675375,136.4547158,1
34.72994,136.47662,1
