緯度,経度,情報
31.62041891,130.5271773,1
31.62298882,130.5283029,1
31.62692063,130.5275235,1
31.6272495,130.5276146,1
31.62575256,130.5233582,1
31.626003,130.5242,1
31.6214432,130.5300018,1
31.62490676,130.53547,1
31.62134801,130.5330877,1
31.62233926,130.5320094,1
31.62796237,130.5353975,1
31.62498894,130.5319602,1
31.62956842,130.5352487,1
31.63110082,130.5390259,1
31.63142511,130.5387737,1
31.63170934,130.5411323,1
31.63028452,130.5462551,1
31.62856032,130.5403469,1
31.62700613,130.5426805,1
31.62881656,130.5498052,1
31.62740458,130.5474693,1
31.63036419,130.5479168,1
31.61203439,130.5660175,1
31.61241662,130.5659531,1
31.54865827,130.5417131,1
31.54448553,130.5403051,1
31.54493394,130.539035,1
31.54379886,130.5370437,1
31.54096526,130.5369839,1
31.54566572,130.5365224,1
31.54544476,130.5362327,1
31.54665389,130.5322491,1
31.55202154,130.5276748,1
31.55098,130.526022,1
31.55295185,130.5272057,1
31.55051162,130.5323477,1
31.55655689,130.524549,1
31.555008,130.52095,1
31.59965917,130.5335395,1
31.60078137,130.5363194,1
31.60136121,130.535405,1
31.60773848,130.5347526,1
31.60472385,130.5342521,1
31.60625907,130.5299869,1
31.51617624,130.5219017,1
31.61244947,130.5341864,1
31.6129794,130.5337573,1
31.61174691,130.5338601,1
31.60971799,130.5366305,1
31.6194004,130.5376314,1
31.62027365,130.538353,1
31.6219547,130.5414001,1
31.57460609,130.5591871,1
31.57490772,130.5595358,1
31.57346046,130.5580143,1
31.57478365,130.5535906,1
31.57125684,130.5543841,1
31.57051795,130.5540783,1
31.56966746,130.5540595,1
31.64818402,130.5625685,1
31.51800845,130.5055582,1
31.51913522,130.5036453,1
31.48704621,130.5002363,1
31.48691996,130.4993244,1
31.48253958,130.5017533,1
31.49531994,130.4895368,1
31.49647079,130.4533311,1
31.49663545,130.4533042,1
31.49612773,130.4532881,1
31.486258,130.49281,1
31.60446441,130.5605064,1
31.58639581,130.549838,1
31.584543,130.55291,1
31.70503641,130.4925989,1
31.70474292,130.4928009,1
31.70304674,130.5163697,1
31.64724793,130.5293465,1
31.65129214,130.5282051,1
31.64830086,130.5286449,1
31.65171524,130.5303923,1
31.65193196,130.5280402,1
31.65418758,130.5284506,1
31.64811401,130.5246172,1
31.6506848,130.5262578,1
31.65033558,130.5233428,1
31.65253837,130.5256588,1
31.64688259,130.5292445,1
31.67622609,130.5208082,1
31.67054916,130.5191369,1
31.67084,130.518918,1
31.5679062,130.5475842,1
31.56583935,130.5510277,1
31.56356334,130.5503632,1
31.56506256,130.5588926,1
31.56343197,130.5553578,1
31.54811556,130.558562,1
31.35104103,130.5225171,1
31.35161191,130.5221463,1
31.35135255,130.5232682,1
31.42199755,130.5214685,1
31.42218124,130.5202814,1
31.43237236,130.5099431,1
31.43205255,130.5100091,1
31.31158198,130.5708742,1
31.30958329,130.5740283,1
31.30558162,130.5810883,1
31.303775,130.573256,1
31.34276426,130.5504318,1
31.34336566,130.5513876,1
31.34380091,130.5514091,1
31.3911146,130.5332986,1
31.39135921,130.532961,1
31.39232,130.5338486,1
31.39359405,130.534324,1
31.37462617,130.5411353,1
31.37456294,130.542988,1
31.37102008,130.5364265,1
31.37125826,130.5355843,1
31.3749,130.5348502,1
31.36318412,130.5315948,1
31.53806331,130.5162157,1
31.60556153,130.5739242,1
31.60401539,130.5724145,1
31.64862908,130.5679578,1
31.65618495,130.5666227,1
31.65291355,130.566573,1
31.6587691,130.5671887,1
31.63555997,130.5690079,1
31.63822116,130.5654401,1
31.63805522,130.5657995,1
31.64660482,130.5719303,1
31.6463369,130.5709486,1
31.64806878,130.5848305,1
31.64756823,130.5842032,1
31.64841292,130.5863531,1
31.6478908,130.5861761,1
31.64564408,130.5894156,1
31.63354597,130.5949864,1
31.63433386,130.561734,1
31.61500813,130.5750175,1
31.65764858,130.6014031,1
31.64939387,130.5714096,1
31.64198754,130.5727107,1
31.65187144,130.5716397,1
31.65602227,130.5791695,1
31.6316352,130.5801727,1
31.67729528,130.5660563,1
31.67637327,130.5651013,1
31.67668523,130.5649028,1
31.68816944,130.5628152,1
31.67031479,130.5669469,1
31.53901925,130.5253956,1
31.5414797,130.5260547,1
31.54029703,130.5240321,1
31.54088053,130.5238887,1
31.54300685,130.5195958,1
31.54334483,130.5158194,1
31.54507121,130.5185509,1
31.54143968,130.5202972,1
31.61836982,130.5452846,1
31.62092332,130.5444895,1
31.61880368,130.542518,1
31.6204256,130.5465756,1
31.62310358,130.5491317,1
31.62290972,130.5477901,1
31.62335889,130.5477043,1
31.61250351,130.538612,1
31.61225558,130.5392488,1
31.61272004,130.5396028,1
31.50653821,130.5012719,1
31.49991889,130.4941109,1
31.50036256,130.494068,1
31.50419041,130.4999336,1
31.50000383,130.4978078,1
31.56857228,130.5451497,1
31.56348971,130.546654,1
31.56397421,130.5465735,1
31.70626664,130.4421546,1
31.68349836,130.4531977,1
31.67719147,130.4756956,1
31.67907995,130.4693193,1
31.67929147,130.4702527,1
31.67449624,130.4702104,1
31.679735,130.477062,1
31.6805266,130.4682197,1
31.68093993,130.467453,1
31.68887476,130.4663162,1
31.69746021,130.4592205,1
31.71565242,130.4654763,1
31.72569975,130.4711468,1
31.67974931,130.4747575,1
31.67836147,130.4669241,1
31.61622639,130.4721097,1
31.64260899,130.5126702,1
31.63703,130.48128,1
31.62980889,130.496722,1
31.64506452,130.5044613,1
31.646155,130.50523,1
31.59832752,130.5380288,1
31.59748509,130.5347837,1
31.598278,130.534547,1
31.59605446,130.5328318,1
31.593945,130.533636,1
31.59715572,130.5351355,1
31.55043,130.650102,1
31.549973,130.646508,1
31.550649,130.648525,1
31.55306418,130.6611504,1
31.55077259,130.6500479,1
31.55080766,130.649642,1
31.55377267,130.6590179,1
31.55360811,130.6590554,1
31.55002868,130.6471142,1
31.55050726,130.6509384,1
31.54948934,130.647414,1
31.54989163,130.650874,1
31.55863681,130.5159467,1
31.55981471,130.5175481,1
31.5583703,130.5173264,1
31.55613046,130.5171119,1
31.56490728,130.521428,1
31.56473054,130.5217874,1
31.56201344,130.5197327,1
31.57961556,130.5031946,1
31.56220963,130.5155972,1
31.55986,130.5195,1
31.55950692,130.4969312,1
31.56142056,130.4954469,1
31.55746496,130.495298,1
31.55506686,130.4921777,1
31.55644018,130.4927283,1
31.55691158,130.4927279,1
31.55875464,130.4865751,1
31.56311157,130.4882785,1
31.56192909,130.487294,1
31.562628,130.487732,1
31.55975576,130.4915979,1
31.56109341,130.4896004,1
31.56075372,130.4868124,1
31.55921099,130.4846612,1
31.56360473,130.4841502,1
31.56313089,130.4841395,1
31.56369234,130.4827543,1
31.56547669,130.4841002,1
31.56394282,130.4794446,1
31.56603039,130.4810742,1
31.57597534,130.5484191,1
31.5756082,130.5483655,1
31.57464825,130.5483778,1
31.57207059,130.5510255,1
31.56989526,130.5503084,1
31.62111418,130.6835203,1
31.61418461,130.701782,1
31.62424146,130.6830019,1
31.60759314,130.7087168,1
31.60747436,130.7097629,1
31.61491144,130.7019608,1
31.6244956,130.6830856,1
31.61871727,130.6856197,1
31.60607364,130.7094753,1
31.60958762,130.7063467,1
31.62097133,130.6953232,1
31.58022539,130.550745,1
31.579009,130.549971,1
31.57933765,130.55019,1
31.582704,130.708275,1
31.59264447,130.7081497,1
31.59233984,130.7080585,1
31.59846725,130.7104152,1
31.58448642,130.7058297,1
31.58430667,130.7060496,1
31.58299213,130.7087559,1
31.58448979,130.7064434,1
31.59928724,130.7100679,1
31.58193692,130.7088288,1
31.58879458,130.708995,1
31.60009505,130.7088395,1
31.63697197,130.552239,1
31.61551179,130.5569143,1
31.50380401,130.5154442,1
31.49776179,130.5057948,1
31.49504947,130.4961511,1
31.55974804,130.5127105,1
31.55987121,130.5148849,1
31.555934,130.5126975,1
31.55413436,130.5110737,1
31.54978787,130.5131162,1
31.55339018,130.5143559,1
31.55352056,130.517404,1
31.54964261,130.5208948,1
31.5482166,130.5180546,1
31.548991,130.51559,1
31.54792054,130.5217497,1
31.54535049,130.5208057,1
31.55387432,130.5228982,1
31.5440267,130.5286294,1
31.54549109,130.5259797,1
31.54292739,130.5287988,1
31.55229119,130.5101157,1
31.55446349,130.5109503,1
31.54824512,130.5222217,1
31.546495,130.5306,1
31.587401,130.599901,1
31.583432,130.602881,1
31.588652,130.593123,1
31.59261816,130.6000706,1
31.59724722,130.6041617,1
31.59147519,130.6299958,1
31.597074,130.605235,1
31.59701504,130.5996082,1
31.59730664,130.6064704,1
31.59733211,130.6088158,1
31.59738999,130.6082526,1
31.62296265,130.6498636,1
31.6241547,130.6518945,1
31.622182,130.649808,1
31.62052716,130.6438823,1
31.62025004,130.6440486,1
31.622887,130.650319,1
31.6213319,130.6378634,1
31.62067,130.638267,1
31.62056987,130.6396779,1
31.57287507,130.6078648,1
31.572901,130.609797,1
31.57291944,130.6097428,1
31.572577,130.61218,1
31.577653,130.604346,1
31.578452,130.606562,1
31.60326564,130.6072177,1
31.60130101,130.6089397,1
31.60216911,130.609224,1
31.603896,130.608967,1
31.61997977,130.6239803,1
31.62080658,130.6275315,1
31.6213901,130.6331794,1
31.62076544,130.632514,1
31.62042931,130.6329507,1
31.619508,130.624627,1
31.62617343,130.6585208,1
31.62556309,130.6585663,1
31.625864,130.658558,1
31.62556592,130.6588069,1
31.62680533,130.6652716,1
31.62618513,130.6647962,1
31.62588366,130.6651931,1
31.6260028,130.6621098,1
31.61879958,130.6767534,1
31.62486525,130.668684,1
31.62500421,130.668922,1
31.61263133,130.6163801,1
31.61281382,130.6176296,1
31.612893,130.61733,1
31.61340617,130.618697,1
31.608533,130.612722,1
31.615381,130.619981,1
31.61178038,130.6207284,1
31.55110832,130.5551213,1
31.595326,130.554447,1
31.59653248,130.5554735,1
31.59605424,130.5554681,1
31.59406323,130.5539194,1
31.56220772,130.504399,1
31.56277451,130.5048389,1
31.56378418,130.5043424,1
31.56224755,130.5361387,1
31.56032008,130.535217,1
31.55886008,130.5370652,1
31.55910997,130.5368023,1
31.55339923,130.5372761,1
31.55317215,130.5348923,1
31.5582862,130.5351066,1
31.55617884,130.5320784,1
31.55576287,130.5325719,1
31.55947605,130.5309246,1
31.55981004,130.5279617,1
31.56096482,130.5275282,1
31.56037988,130.5251985,1
31.56117219,130.5320076,1
31.56400331,130.5291586,1
31.56434612,130.5289548,1
31.56437777,130.5279256,1
