緯度,経度,情報
35.03128324,135.7092799,1
35.02810923,135.7040772,1
35.02292744,135.7155052,1
35.01904418,135.7220378,1
35.0231648,135.7200389,1
35.02171878,135.7226053,1
35.1460168,135.5786759,1
35.19639085,135.6320206,1
35.19705263,135.6393695,1
35.20373914,135.7197899,1
35.20420634,135.7196198,1
35.204127,135.719926,1
35.12382836,135.6418094,1
35.124342,135.642989,1
35.15562878,135.6353077,1
35.15747434,135.6354974,1
35.20282793,135.639108,1
35.13974799,135.5926378,1
35.13895102,135.5914773,1
35.20666189,135.6044332,1
35.18040186,135.6620181,1
35.18244648,135.6622147,1
35.18154829,135.6003358,1
35.029026,135.713869,1
35.0288058,135.7152022,1
35.03226232,135.7134457,1
35.02702831,135.7167069,1
35.08547664,135.6119864,1
35.08299054,135.6108818,1
35.01272888,135.6880522,1
35.02248372,135.6874999,1
35.024664,135.689701,1
35.02108011,135.676545,1
35.02271357,135.6840599,1
35.04535581,135.625372,1
35.02782759,135.6775468,1
35.02588825,135.6810738,1
35.01642091,135.6984036,1
35.01222424,135.696132,1
35.013426,135.6866354,1
35.07481471,135.6108452,1
35.01051,135.718489,1
35.00565557,135.7218404,1
35.00493467,135.7184528,1
35.01952363,135.7036746,1
35.001606,135.721846,1
35.00423364,135.7187673,1
35.00561942,135.7293751,1
35.003031,135.7244349,1
34.99978571,135.7292401,1
34.99850129,135.71803,1
34.9968807,135.7186483,1
34.99065207,135.7230754,1
34.9874771,135.7193507,1
34.994162,135.714322,1
34.99512278,135.715566,1
34.99570679,135.7184465,1
34.9862409,135.7161277,1
35.01447258,135.7203562,1
35.01250895,135.7070716,1
35.02213859,135.7028742,1
35.00952232,135.7033323,1
35.01189264,135.7038494,1
35.04536858,135.6819778,1
35.04583938,135.6812006,1
35.03197922,135.6964089,1
35.00621453,135.7002731,1
34.999066,135.694646,1
35.00142466,135.6999424,1
35.00606689,135.6976286,1
35.04156881,135.7146162,1
35.00223113,135.7680559,1
34.99253438,135.7629127,1
34.99002825,135.7620849,1
34.986726,135.746891,1
34.98837485,135.7453062,1
34.9901847,135.7483592,1
35.00078492,135.7657134,1
34.999999,135.757445,1
35.00062639,135.7533376,1
34.9871525,135.7278315,1
35.00305103,135.7579273,1
34.99797934,135.7569249,1
34.99070084,135.737249,1
34.99319523,135.7331854,1
34.98717357,135.735116,1
34.99322865,135.7651094,1
34.99817696,135.7528816,1
34.98640137,135.7662933,1
34.98664326,135.766962,1
35.00187657,135.7486896,1
34.99329272,135.7495406,1
34.98645351,135.7494457,1
34.99683369,135.7437535,1
34.998117,135.743556,1
34.99792017,135.7445288,1
34.987504,135.7525683,1
34.99731807,135.7642078,1
35.00170189,135.7617556,1
34.993806,135.751738,1
34.99524222,135.7572522,1
35.01068732,135.7875033,1
35.11816512,135.770881,1
35.105861,135.764666,1
35.04245594,135.7885355,1
35.04478349,135.7886697,1
35.01328256,135.7940678,1
35.014322,135.782678,1
35.01631929,135.7901172,1
35.02026048,135.7845901,1
35.01812939,135.782411,1
35.03741256,135.7684622,1
35.03854076,135.7749431,1
35.04550239,135.7732819,1
35.05070445,135.7723571,1
35.04654461,135.7714295,1
35.046862,135.763071,1
35.20882701,135.7744659,1
35.215332,135.777568,1
35.170382,135.78271,1
35.170923,135.78254,1
35.06681333,135.7861404,1
35.07523203,135.7866217,1
35.085273,135.7879744,1
35.0703703,135.787309,1
35.07022496,135.773017,1
35.06732875,135.784992,1
35.0731376,135.770978,1
35.024981,135.772781,1
35.02176312,135.7798586,1
35.02546612,135.7745802,1
35.26399135,135.8231855,1
35.24960501,135.7659432,1
35.01913589,135.792981,1
35.019419,135.79654,1
35.05298418,135.7943267,1
35.05004017,135.782933,1
35.057648,135.777968,1
35.054113,135.774208,1
35.05333076,135.7821715,1
35.06128283,135.7952581,1
35.0219515,135.7898153,1
35.012475,135.775089,1
35.01699154,135.7807941,1
35.086126,135.759945,1
35.10931073,135.7967565,1
35.08985506,135.7646077,1
35.11090365,135.8188604,1
35.1469588,135.8419703,1
35.1631704,135.8118234,1
35.121008,135.828331,1
35.121126,135.828443,1
35.024883,135.771979,1
35.0399481,135.7831913,1
35.03764898,135.7832325,1
35.03236389,135.77885,1
35.01811866,135.7734116,1
35.084619,135.8177433,1
35.032351,135.787411,1
35.032025,135.7929364,1
34.99615224,135.8182357,1
34.99683102,135.8170773,1
34.98593835,135.8253539,1
34.98282343,135.8209175,1
34.96648,135.810315,1
34.97021697,135.8083147,1
34.954795,135.805187,1
34.9664738,135.8122175,1
34.99262652,135.8030005,1
34.99079852,135.8063132,1
34.990963,135.807332,1
34.99063804,135.809743,1
34.99559108,135.8285934,1
34.96368517,135.8118037,1
34.984348,135.811925,1
34.98597074,135.8128482,1
34.97689968,135.7961774,1
34.98334041,135.8131355,1
34.98216717,135.8033864,1
34.97417966,135.8238936,1
34.96705161,135.8215615,1
34.96853602,135.8261287,1
34.97890683,135.8317893,1
34.98302524,135.8299903,1
34.98286966,135.8284027,1
34.98576158,135.8142605,1
34.99009606,135.8176434,1
34.97639433,135.8165192,1
34.9834139,135.8153726,1
34.97738655,135.8078332,1
34.976371,135.811464,1
34.97695862,135.8103557,1
35.00067208,135.7950487,1
34.98865401,135.8031434,1
34.9769072,135.8136837,1
34.97637566,135.8140287,1
35.02577948,135.7575615,1
35.03468575,135.7599446,1
35.02512,135.771005,1
35.01716085,135.7499786,1
35.02521691,135.76183,1
35.02507769,135.736999,1
35.03192543,135.7382173,1
35.030833,135.743723,1
35.02071292,135.7680081,1
35.02765016,135.7673016,1
35.03373546,135.7426228,1
35.03346523,135.7583868,1
35.02915775,135.7539916,1
35.03235809,135.7502958,1
35.01915341,135.7453171,1
35.02464158,135.7453883,1
35.018101,135.768498,1
35.01977054,135.7548442,1
35.0305486,135.7478752,1
35.01546083,135.7445964,1
35.02526959,135.7560202,1
35.03535118,135.750674,1
35.02441738,135.7510257,1
34.976256,135.71603,1
34.97621894,135.7152315,1
34.97562056,135.7149344,1
34.97259969,135.697408,1
34.97664336,135.6908343,1
34.97779838,135.7076704,1
34.99495404,135.6999949,1
34.98250176,135.7006182,1
34.98916441,135.7061006,1
34.987245,135.664853,1
34.9861739,135.663855,1
34.98839676,135.6643071,1
34.98161555,135.6891396,1
34.99713453,135.6907651,1
34.99256618,135.6893721,1
34.9960983,135.6978219,1
34.98501611,135.694201,1
34.98877187,135.6944369,1
34.97565226,135.7036987,1
34.972239,135.703896,1
34.97229155,135.7055419,1
34.95355305,135.6669494,1
34.96869,135.6216,1
34.95238523,135.6776775,1
34.95230584,135.6849849,1
34.96258346,135.6672157,1
34.96383121,135.6712246,1
34.963324,135.673544,1
34.96282522,135.6710234,1
34.958074,135.673801,1
34.957465,135.6762021,1
34.97434914,135.6637786,1
34.98152516,135.6534635,1
34.96860965,135.6697481,1
34.97366568,135.6723799,1
34.966296,135.675765,1
34.97112164,135.6795177,1
34.96957742,135.679781,1
34.95872364,135.6830718,1
34.95741199,135.6823588,1
34.98889924,135.6543702,1
35.01023829,135.6769755,1
35.00831797,135.6874505,1
35.00729738,135.6864295,1
35.01168374,135.7589538,1
35.01781037,135.7558799,1
35.015418,135.761012,1
35.0155273,135.7612184,1
35.00591436,135.7541114,1
35.00684151,135.7619796,1
35.00951328,135.7615152,1
35.00544166,135.7583892,1
35.00762192,135.7432591,1
34.99824025,135.7397168,1
35.00762211,135.7335602,1
35.003807,135.73808,1
34.99988744,135.7478026,1
35.0069946,135.7367556,1
35.00303159,135.7354342,1
35.00598501,135.7473804,1
35.01264409,135.7381984,1
35.01400682,135.7343343,1
35.01811654,135.7364882,1
35.01419163,135.745057,1
35.01684913,135.7384754,1
35.009271,135.742161,1
35.01788666,135.7280472,1
35.01688652,135.7288104,1
35.02177559,135.7314322,1
35.01137927,135.7303167,1
35.012604,135.7278,1
35.01012079,135.7339884,1
35.01292701,135.7436254,1
35.01645184,135.7267258,1
35.00991211,135.7481762,1
35.006019,135.770278,1
35.01564944,135.7708119,1
35.01483846,135.7701205,1
35.00686283,135.7614005,1
35.00528743,135.7526667,1
35.01397,135.748994,1
35.00679155,135.7652977,1
35.01596341,135.7644781,1
35.01177159,135.7642554,1
35.011932,135.752765,1
35.01897806,135.7384435,1
35.00397,135.782257,1
35.0032,135.77691,1
35.00318,135.77636,1
34.99342088,135.777234,1
34.99528945,135.7758503,1
34.99072691,135.7819913,1
34.98413122,135.7719502,1
34.98480526,135.7782313,1
34.97875046,135.7755043,1
34.99009621,135.7770175,1
34.988597,135.779809,1
35.00988889,135.7859412,1
34.9987316,135.7741158,1
34.991244,135.768078,1
34.997337,135.779696,1
34.99711436,135.7765287,1
34.978806,135.778343,1
34.97963903,135.7782509,1
35.00769998,135.7738047,1
35.00098951,135.7739047,1
34.98393285,135.7707961,1
34.98996233,135.7731076,1
34.99199953,135.7757645,1
34.9767345,135.7742716,1
34.9778093,135.7716278,1
34.9904045,135.7755621,1
35.00595612,135.7788729,1
35.0068558,135.7807445,1
35.00456153,135.7803668,1
34.996241,135.774162,1
34.966792,135.733465,1
34.96766171,135.7339214,1
34.97754398,135.7275565,1
34.96766162,135.7369818,1
34.971272,135.724429,1
34.97486555,135.7325559,1
34.979755,135.717178,1
34.97473911,135.7384519,1
34.965368,135.709443,1
34.96304998,135.7143701,1
34.960097,135.723444,1
34.96023266,135.718607,1
34.95667369,135.7189413,1
34.96390444,135.7431686,1
34.97085,135.750862,1
34.98284843,135.7468764,1
34.97597371,135.7484903,1
34.98105584,135.754696,1
34.97842596,135.7449637,1
34.9808772,135.7502029,1
34.97963456,135.7380289,1
34.98267562,135.7386293,1
34.977725,135.75771,1
34.97909346,135.7576164,1
34.97863614,135.7625606,1
34.98287473,135.7620261,1
34.97813556,135.7589939,1
34.98031773,135.7442365,1
34.923062,135.724205,1
34.928762,135.731565,1
34.93301134,135.7221194,1
34.93246405,135.722079,1
34.914221,135.734538,1
34.91498982,135.7328507,1
34.92403556,135.7336851,1
34.92813017,135.734365,1
34.91637646,135.7353728,1
34.92054907,135.7304749,1
34.943358,135.748604,1
34.93939,135.7439743,1
34.933565,135.752315,1
34.93878778,135.7616792,1
34.92779,135.763838,1
34.93329421,135.7291795,1
34.9384004,135.7327757,1
34.93828071,135.7645534,1
34.93818173,135.7605191,1
34.92569461,135.7778263,1
34.91259459,135.7645107,1
34.91399686,135.7658129,1
34.92685097,135.771375,1
34.922604,135.762044,1
34.92338218,135.7655245,1
34.919503,135.778795,1
34.92038766,135.7799464,1
34.917119,135.773977,1
34.91878506,135.7692206,1
34.91722255,135.7747403,1
34.94366622,135.7621857,1
34.94567903,135.799283,1
34.94272508,135.7980466,1
34.96414811,135.7695929,1
34.950917,135.764524,1
34.95083614,135.7652825,1
34.96933495,135.7718513,1
34.957397,135.773653,1
34.95700566,135.7752033,1
34.95612793,135.7720182,1
34.96234953,135.7781133,1
34.94867344,135.7703616,1
34.94242071,135.7889933,1
34.94149009,135.7776644,1
34.94184053,135.776077,1
34.94696037,135.7822393,1
34.95540085,135.765007,1
34.965416,135.767207,1
34.96377319,135.767936,1
34.95852979,135.7723844,1
34.951304,135.773843,1
34.94984152,135.7731416,1
34.96975235,135.7647718,1
34.94074997,135.8010722,1
34.941977,135.797994,1
34.94155346,135.7982262,1
34.94362258,135.8150192,1
34.9461168,135.80771,1
34.95544326,135.8182777,1
34.95292151,135.8118961,1
34.94490664,135.8128106,1
34.946432,135.808856,1
34.94660647,135.8078115,1
34.94997211,135.8177933,1
34.963407,135.824156,1
34.95727579,135.822183,1
34.92857051,135.7625758,1
34.95494192,135.7569478,1
34.96489863,135.7544054,1
34.94043164,135.7675453,1
34.94251588,135.7692973,1
34.941691,135.780854,1
34.93237599,135.7794583,1
34.93554273,135.7868669,1
34.939739,135.778781,1
34.92640282,135.788485,1
34.93290331,135.7753727,1
34.93885658,135.7667009,1
34.93937323,135.7703086,1
34.93654381,135.7702192,1
34.929197,135.76651,1
34.92850692,135.7663627,1
34.934567,135.820895,1
34.938543,135.817284,1
34.93890045,135.8180709,1
34.93809294,135.8160897,1
34.93943613,135.8121288,1
34.912487,135.727081,1
34.90872629,135.7179346,1
34.91079013,135.7202951,1
34.90923771,135.7189846,1
34.9095809,135.7196695,1
34.90208068,135.7236104,1
34.90365363,135.7218139,1
34.89682766,135.7133654,1
34.92528699,135.7578372,1
35.03675104,135.7269209,1
35.039225,135.731309,1
35.11302208,135.7197329,1
35.05317639,135.7505997,1
35.05476036,135.7520072,1
35.04901642,135.7465148,1
35.045614,135.75139,1
35.03990958,135.7457044,1
35.040047,135.73731,1
35.03742162,135.7368204,1
35.04517623,135.7522981,1
35.03992334,135.7397929,1
35.04320295,135.7413378,1
35.04385998,135.7388993,1
35.04039687,135.754519,1
35.04681588,135.7403043,1
35.04310205,135.7371662,1
35.03891363,135.7645238,1
35.04313873,135.7583405,1
35.05033593,135.7541563,1
35.04305168,135.7569455,1
35.0397275,135.7552467,1
35.045984,135.760796,1
35.028195,135.728787,1
35.11094795,135.6738403,1
35.05671792,135.7576444,1
35.06952295,135.7453445,1
35.06607,135.756724,1
35.06883804,135.7571825,1
35.12138465,135.7020872,1
35.09461,135.700535,1
35.07067641,135.7398425,1
35.064243,135.736479,1
35.053459,135.743357,1
35.05904166,135.7462922,1
35.061591,135.748678,1
35.0231198,135.7256797,1
35.02293672,135.7276881,1
35.02443061,135.7284799,1
35.141752,135.683635,1
35.04429596,135.7169779,1
35.0446219,135.7154582,1
35.05445497,135.7307544,1
35.089318,135.687777,1
35.08997489,135.6880705,1
35.033308,135.72324,1
35.03256065,135.7236994,1
35.03018619,135.7320032,1
35.03662166,135.7283181,1
34.88826233,135.7211184,1
35.29639333,135.11944,1
35.25234583,135.2096494,1
35.22334905,135.2222762,1
35.24418333,135.2650403,1
35.2432851,135.2616501,1
35.21722246,135.2372161,1
35.21629115,135.2355767,1
35.21819855,135.2353221,1
35.19975194,135.2618775,1
35.20068324,135.259115,1
35.3665214,135.0494392,1
35.29579438,135.1260875,1
35.41957135,135.0883514,1
35.25557995,135.1756795,1
35.32613544,135.0397718,1
35.25275994,135.209705,1
35.31903237,135.1812418,1
35.34185843,135.1081786,1
35.30688056,135.1051269,1
35.29854267,135.180861,1
35.2972652,135.1739824,1
35.29725093,135.1770053,1
35.2977773,135.1572595,1
35.29264418,135.163085,1
35.26970986,135.1831294,1
35.27109238,135.1835632,1
35.254541,135.1750323,1
35.32158177,135.1209382,1
35.32075716,135.1214069,1
35.30159239,135.1244758,1
35.29586482,135.1706279,1
35.32904158,135.0400546,1
35.27458711,135.1692751,1
35.29238418,135.1228938,1
35.30210719,135.1180402,1
35.29477243,135.1456371,1
35.29673927,135.1244116,1
35.29026938,135.0847028,1
35.28383572,135.0497784,1
35.28434556,135.0503426,1
35.30252971,135.0972172,1
35.28735659,135.1361625,1
35.28788057,135.1293101,1
35.33526367,135.0733609,1
35.33521426,135.0814257,1
35.30407436,135.1167637,1
35.39291253,135.1455397,1
35.39313944,135.1537964,1
35.37285639,135.1282678,1
35.38714088,135.1792886,1
35.40625945,135.1935464,1
35.40959297,135.1520667,1
35.3911373,135.1628735,1
35.37346884,135.139816,1
35.39296615,135.1777587,1
35.3127659,135.1360598,1
35.312041,135.134743,1
35.28832007,135.1601177,1
35.34227611,135.1074461,1
35.29649333,135.1259386,1
35.29799722,135.1281347,1
35.32163097,135.0054868,1
35.31851248,135.0025777,1
35.32874804,134.9552412,1
35.32868768,134.9508387,1
35.3514192,134.9456833,1
35.33474481,135.0704702,1
35.47885233,135.4050924,1
35.46624588,135.4125426,1
35.439294,135.331537,1
35.441931,135.330442,1
35.438914,135.32805,1
35.439071,135.322917,1
35.446158,135.32777,1
35.49967296,135.4401132,1
35.429805,135.228471,1
35.441934,135.223769,1
35.456304,135.326242,1
35.472613,135.232395,1
35.467016,135.242928,1
35.460619,135.287425,1
35.44981979,135.3035506,1
35.456368,135.229299,1
35.527459,135.418335,1
35.49271501,135.2912155,1
35.463884,135.267869,1
35.460297,135.272011,1
35.40565802,135.3905487,1
35.451175,135.312885,1
35.46061052,135.3146366,1
35.485624,135.456838,1
35.481685,135.315542,1
35.422625,135.256871,1
35.43423997,135.2712963,1
35.427939,135.256773,1
35.42787845,135.3274382,1
35.422448,135.2187879,1
35.40906149,135.2294286,1
35.43093374,135.3307711,1
35.472543,135.399783,1
35.476305,135.398505,1
35.477466,135.39922,1
35.4534864,135.392669,1
35.460847,135.400078,1
35.459729,135.40551,1
35.462547,135.396656,1
35.457115,135.393845,1
35.42732273,135.3163281,1
35.420718,135.340439,1
35.505249,135.362381,1
35.506114,135.373707,1
35.444462,135.267784,1
35.559567,135.399028,1
35.55659782,135.3940854,1
35.556238,135.393371,1
35.47630998,135.4089272,1
35.477187,135.401675,1
35.42920054,135.2476644,1
35.431868,135.250765,1
35.427188,135.386483,1
35.449608,135.32442,1
35.523572,135.41868,1
35.558568,135.402875,1
35.557629,135.403451,1
35.48127599,135.4297775,1
35.496733,135.470282,1
35.452344,135.343022,1
35.455102,135.340139,1
35.449511,135.334242,1
35.422917,135.380072,1
35.49270107,135.2429188,1
35.50224042,135.2381517,1
35.453978,135.273156,1
35.428809,135.297218,1
35.460399,135.395014,1
35.472865,135.290511,1
35.50656613,135.4622025,1
35.540573,135.349888,1
35.541784,135.349244,1
35.57928,135.448485,1
35.58096551,135.448049,1
35.45585807,135.3594959,1
35.525689,135.411117,1
35.510647,135.297414,1
35.50848,135.296409,1
35.439596,135.217487,1
35.443774,135.215526,1
35.448197,135.214944,1
35.48787381,135.3219942,1
35.489814,135.320564,1
35.511351,135.347014,1
35.48398523,135.4149284,1
35.482579,135.398887,1
35.448472,135.342025,1
35.45953041,135.4454507,1
35.47211651,135.3105193,1
35.548789,135.450868,1
35.4480061,135.258664,1
35.52183,135.349769,1
35.5215267,135.3505551,1
35.50552785,135.3978879,1
35.503029,135.418163,1
35.440493,135.188193,1
35.456835,135.203158,1
35.44254244,135.2083612,1
35.42606148,135.2172838,1
35.42592164,135.2132331,1
35.470258,135.283332,1
