緯度,経度,情報
33.240969,130.257802,1
33.241027,130.258947,1
33.308287,130.314599,1
33.320492,130.325253,1
33.319331,130.325639,1
33.254301,130.228269,1
33.23393781,130.2381577,1
33.23415676,130.2370488,1
33.232716,130.236716,1
33.232483,130.236775,1
33.232881,130.236706,1
33.232569,130.237428,1
33.231912,130.238489,1
33.258121,130.31665,1
33.254656,130.329158,1
33.256733,130.327904,1
33.294381,130.30609,1
33.309343,130.30276,1
33.307206,130.303127,1
33.282398,130.285127,1
33.296459,130.295267,1
33.286501,130.290074,1
33.286037,130.292436,1
33.256817,130.308053,1
33.432463,130.279836,1
33.431801,130.278858,1
33.433112,130.276422,1
33.42101,130.275993,1
33.275807,130.286623,1
33.277386,130.287053,1
33.221771,130.353755,1
33.219059,130.34535,1
33.221608,130.354552,1
33.22446894,130.3525014,1
33.234604,130.356186,1
33.224164,130.355357,1
33.248822,130.28006,1
33.247132,130.298273,1
33.249489,130.30188,1
33.255766,130.275151,1
33.25226496,130.278715,1
33.263317,130.28967,1
33.264846,130.291511,1
33.271131,130.296652,1
33.256323,130.298203,1
33.256635,130.296936,1
33.256517,130.294782,1
33.230116,130.274353,1
33.229337,130.273684,1
33.192357,130.321309,1
33.192764,130.321025,1
33.192787,130.321373,1
33.190165,130.318873,1
33.192705,130.318299,1
33.192157,130.31845,1
33.195044,130.318515,1
33.210702,130.312013,1
33.207425,130.31161,1
33.209228,130.339303,1
33.179482,130.343092,1
33.178596,130.343406,1
33.209933,130.333407,1
33.25714,130.306398,1
33.320512,130.286857,1
33.320448,130.285857,1
33.366251,130.26125,1
33.36514605,130.2563994,1
33.310235,130.257518,1
33.311004,130.253944,1
33.311787,130.277579,1
33.305383,130.254431,1
33.310499,130.267768,1
33.303043,130.274303,1
33.312175,130.282964,1
33.314241,130.277566,1
33.311136,130.277439,1
33.242874,130.302501,1
33.242099,130.304162,1
33.249385,130.284568,1
33.251556,130.282705,1
33.257885,130.278922,1
33.209855,130.289202,1
33.208108,130.289039,1
33.207974,130.287727,1
33.20965,130.285765,1
33.208844,130.286324,1
33.274968,130.26994,1
33.274353,130.270223,1
33.276492,130.26426,1
33.268152,130.270522,1
33.269515,130.269768,1
33.25391008,130.2719151,1
33.238603,130.315549,1
33.236002,130.320543,1
33.277206,130.294981,1
33.274996,130.292777,1
33.440771,130.24952,1
33.373856,130.206078,1
33.375208,130.208134,1
33.36496829,130.2358015,1
33.373792,130.208432,1
33.431042,130.201334,1
33.432436,130.202678,1
33.360226,130.250723,1
33.273266,130.323897,1
33.273384,130.322461,1
33.273461,130.301999,1
33.233189,130.292192,1
33.23583,130.285486,1
33.234887,130.294303,1
33.233193,130.292909,1
33.241181,130.323188,1
33.239308,130.323339,1
33.257782,130.285333,1
33.250281,130.364793,1
33.245748,130.360071,1
33.405634,129.988003,1
33.4052733,129.9889224,1
33.430872,130.009412,1
33.43091456,130.0079721,1
33.3214941,130.0647186,1
33.552449,129.885397,1
33.533755,129.895543,1
33.53303592,129.88734,1
33.47843818,129.93785,1
33.442897,130.118987,1
33.44101519,130.1168029,1
33.44124401,130.1159371,1
33.443841,129.954536,1
33.45263,129.968188,1
33.39288162,129.9703748,1
33.337763,129.982768,1
33.347468,130.002463,1
33.337973,130.041042,1
33.315326,130.012764,1
33.46162874,129.9070159,1
33.42023212,129.9194599,1
33.44138472,129.9627773,1
33.516446,129.904234,1
33.52775779,129.8768706,1
33.442154,129.981738,1
33.44848446,129.9879553,1
33.456239,129.957181,1
33.460789,129.953287,1
33.46322434,129.9579748,1
33.44288151,129.8147948,1
33.421109,129.870842,1
33.443801,130.065649,1
33.45022895,130.0388916,1
33.423866,130.079438,1
33.45249368,130.0459681,1
33.37464894,129.9503696,1
33.37522968,129.9507416,1
33.374336,129.946042,1
33.5263944,129.9526242,1
33.43322411,129.9782706,1
33.368064,130.510091,1
33.378289,130.534299,1
33.384386,130.502022,1
33.375599,130.48238,1
33.377527,130.528032,1
33.36807,130.495084,1
33.350754,130.488518,1
33.386446,130.517093,1
33.391106,130.52116,1
33.375425,130.511216,1
33.378539,130.510296,1
33.407072,130.516649,1
33.26285272,130.0582465,1
33.2603033,130.0899895,1
33.28251848,130.0899185,1
33.28374947,130.1505489,1
33.28611431,130.1420888,1
33.28167993,130.1160292,1
33.28213737,130.1181327,1
33.29103154,130.0960474,1
33.29173004,130.0963466,1
33.29240366,130.0961278,1
33.29300623,130.099972,1
33.28738108,130.1075468,1
33.28672713,130.107863,1
33.28581908,130.1103322,1
33.28718419,130.1065189,1
33.338531,129.901397,1
33.35283,129.855092,1
33.31522281,129.8084047,1
33.32351267,129.7851165,1
33.29934993,129.8247096,1
33.33353355,129.7926656,1
33.267278,129.943223,1
33.285051,129.964666,1
33.268185,129.947768,1
33.300292,129.857877,1
33.302718,129.971187,1
33.257979,129.901747,1
33.276554,129.887939,1
33.279752,129.781918,1
33.267393,129.850956,1
33.284751,129.836741,1
33.31810752,129.9278352,1
33.267272,129.869903,1
33.379685,129.891881,1
33.2848,129.874877,1
33.259497,129.883592,1
33.282324,129.878899,1
33.18045804,130.0542151,1
33.181978,130.054987,1
33.197182,129.946553,1
33.19563673,129.9474575,1
33.195148,129.941489,1
33.207397,129.933825,1
33.193376,129.964108,1
33.25492718,129.990777,1
33.253701,129.995105,1
33.137357,129.970518,1
33.2081,130.043995,1
33.21555557,130.0368473,1
33.214165,130.03877,1
33.161072,129.998492,1
33.161791,130.002066,1
33.14128,129.990959,1
33.242142,129.976382,1
33.23024849,129.9634813,1
33.226046,129.962274,1
33.19471752,130.0215144,1
33.196371,130.030581,1
33.200766,130.026875,1
33.198919,130.018698,1
33.186759,130.026808,1
33.19035747,130.0214818,1
33.217753,130.069998,1
33.220159,130.068996,1
33.224228,130.06295,1
33.221144,130.060206,1
33.205282,130.088498,1
33.07440796,130.1084834,1
33.08261803,130.1099945,1
33.081078,130.1093302,1
