緯度,経度,場所
34.721931,135.247407,神戸市東灘区御影三丁目
34.740452,135.246708,神戸市東灘区渦森台四丁目
34.738642,135.247655,神戸市東灘区渦森台三丁目
34.724623,135.246466,神戸市東灘区御影山手二丁目
34.729075,135.246738,神戸市東灘区御影山手三丁目
34.731524,135.248402,神戸市東灘区鴨子ケ原三丁目
34.727354,135.245856,神戸市東灘区御影山手四丁目
34.71232,135.248452,神戸市東灘区御影塚町二丁目
34.709363,135.245978,神戸市東灘区御影塚町三丁目
34.71163,135.245085,神戸市東灘区御影塚町四丁目
34.709448,135.249388,神戸市東灘区御影塚町一丁目
34.757463,135.269564,神戸市東灘区本山町森
34.707036,135.280371,神戸市東灘区魚崎浜町
34.711386,135.298052,神戸市東灘区深江浜町
34.704145,135.264167,神戸市東灘区住吉浜町
34.704035,135.257509,神戸市東灘区御影浜町
34.734225,135.29104,神戸市東灘区森北町五丁目
34.73812,135.290246,神戸市東灘区森北町七丁目
34.739053,135.283792,神戸市東灘区本山町中野
34.73383,135.287703,神戸市東灘区森北町六丁目
34.734349,135.285215,神戸市東灘区甲南台
34.740741,135.261804,神戸市東灘区本山町田中
34.739622,135.256869,神戸市東灘区住吉台
34.734005,135.253763,神戸市東灘区住吉山手七丁目
34.737217,135.253063,神戸市東灘区住吉山手八丁目
34.741948,135.253199,神戸市東灘区住吉山手九丁目
34.738867,135.251322,神戸市東灘区渦森台一丁目
34.737137,135.249831,神戸市東灘区渦森台二丁目
34.725112,135.299412,神戸市東灘区深江本町一丁目
34.726842,135.298543,神戸市東灘区深江北町一丁目
34.723781,135.296139,神戸市東灘区深江本町二丁目
34.730501,135.28993,神戸市東灘区森北町二丁目
34.727736,135.294186,神戸市東灘区本庄町一丁目
34.725392,135.287094,神戸市東灘区本山南町六丁目
34.727154,135.284896,神戸市東灘区本山中町二丁目
34.725376,135.295398,神戸市東灘区深江北町二丁目
34.729839,135.29352,神戸市東灘区森南町一丁目
34.72355,135.290513,神戸市東灘区深江北町四丁目
34.722314,135.2928,神戸市東灘区深江本町三丁目
34.724367,135.292696,神戸市東灘区深江北町三丁目
34.726772,135.291554,神戸市東灘区本庄町二丁目
34.726239,135.289212,神戸市東灘区本庄町三丁目
34.723493,135.287953,神戸市東灘区本山南町一丁目
34.724673,135.284693,神戸市東灘区本山南町七丁目
34.726496,135.282612,神戸市東灘区本山中町三丁目
34.728658,135.281903,神戸市東灘区本山北町二丁目
34.724081,135.282182,神戸市東灘区本山南町八丁目
34.731477,135.292728,神戸市東灘区森北町一丁目
34.729244,135.29056,神戸市東灘区森南町二丁目
34.728351,135.288807,神戸市東灘区森南町三丁目
34.729816,135.287599,神戸市東灘区森北町三丁目
34.731755,135.284344,神戸市東灘区本山北町四丁目
34.731854,135.289467,神戸市東灘区森北町四丁目
34.727877,135.287139,神戸市東灘区本山中町一丁目
34.729301,135.284898,神戸市東灘区本山北町一丁目
34.731311,135.280964,神戸市東灘区本山北町五丁目
34.734688,135.262066,神戸市東灘区本山町野寄
34.724416,135.274647,神戸市東灘区田中町二丁目
34.727193,135.273373,神戸市東灘区岡本二丁目
34.739042,135.279735,神戸市東灘区本山町北畑
34.730794,135.271278,神戸市東灘区岡本七丁目
34.724898,135.27701,神戸市東灘区田中町一丁目
34.725736,135.279826,神戸市東灘区本山中町四丁目
34.727581,135.275726,神戸市東灘区岡本一丁目
34.726222,135.271262,神戸市東灘区岡本三丁目
34.726625,135.268526,神戸市東灘区岡本四丁目
34.723925,135.268776,神戸市東灘区西岡本一丁目
34.72557,135.265596,神戸市東灘区西岡本三丁目
34.728188,135.278782,神戸市東灘区本山北町三丁目
34.731135,135.277824,神戸市東灘区本山北町六丁目
34.738086,135.275352,神戸市東灘区本山町田辺
34.730646,135.275198,神戸市東灘区岡本五丁目
34.732738,135.273726,神戸市東灘区岡本六丁目
34.729608,135.269099,神戸市東灘区岡本八丁目
34.740978,135.269441,神戸市東灘区本山町岡本
34.728861,135.266537,神戸市東灘区岡本九丁目
34.729709,135.262218,神戸市東灘区西岡本六丁目
34.727041,135.264362,神戸市東灘区西岡本四丁目
34.726386,135.259897,神戸市東灘区住吉山手一丁目
34.731071,135.254619,神戸市東灘区住吉山手五丁目
34.728017,135.250983,神戸市東灘区鴨子ケ原一丁目
34.728277,135.263312,神戸市東灘区西岡本五丁目
34.723946,135.260089,神戸市東灘区住吉本町三丁目
34.723397,135.254885,神戸市東灘区御影郡家二丁目
34.726111,135.256331,神戸市東灘区住吉山手二丁目
34.72288,135.250769,神戸市東灘区御影二丁目
34.725762,135.252019,神戸市東灘区御影山手一丁目
34.733024,135.256742,神戸市東灘区住吉山手六丁目
34.732096,135.26112,神戸市東灘区西岡本七丁目
34.72861,135.259232,神戸市東灘区住吉山手三丁目
34.728315,135.255263,神戸市東灘区住吉山手四丁目
34.732869,135.251195,神戸市東灘区鴨子ケ原二丁目
34.721889,135.298828,神戸市東灘区深江南町二丁目
34.721634,135.296697,神戸市東灘区深江南町三丁目
34.720747,135.293989,神戸市東灘区深江南町四丁目
34.722097,135.301182,神戸市東灘区深江南町一丁目
34.719034,135.290296,神戸市東灘区深江南町五丁目
