緯度,経度,場所
34.721931,135.247407,1
34.740452,135.246708,1
34.738642,135.247655,1
34.724623,135.246466,1
34.729075,135.246738,1
34.731524,135.248402,1
34.727354,135.245856,1
34.71232,135.248452,1
34.709363,135.245978,1
34.71163,135.245085,1
34.709448,135.249388,1
34.757463,135.269564,1
34.707036,135.280371,1
34.711386,135.298052,1
34.704145,135.264167,1
34.704035,135.257509,1
34.734225,135.29104,1
34.73812,135.290246,1
34.739053,135.283792,1
34.73383,135.287703,1
34.734349,135.285215,1
34.740741,135.261804,1
34.739622,135.256869,1
34.734005,135.253763,1
34.737217,135.253063,1
34.741948,135.253199,1
34.738867,135.251322,1
34.737137,135.249831,1
34.725112,135.299412,1
34.726842,135.298543,1
34.723781,135.296139,1
34.730501,135.28993,1
34.727736,135.294186,1
34.725392,135.287094,1
34.727154,135.284896,1
34.725376,135.295398,1
34.729839,135.29352,1
34.72355,135.290513,1
34.722314,135.2928,1
34.724367,135.292696,1
34.726772,135.291554,1
34.726239,135.289212,1
34.723493,135.287953,1
34.724673,135.284693,1
34.726496,135.282612,1
34.728658,135.281903,1
34.724081,135.282182,1
34.731477,135.292728,1
34.729244,135.29056,1
34.728351,135.288807,1
34.729816,135.287599,1
34.731755,135.284344,1
34.731854,135.289467,1
34.727877,135.287139,1
34.729301,135.284898,1
34.731311,135.280964,1
34.734688,135.262066,1
34.724416,135.274647,1
34.727193,135.273373,1
34.739042,135.279735,1
34.730794,135.271278,1
34.724898,135.27701,1
34.725736,135.279826,1
34.727581,135.275726,1
34.726222,135.271262,1
34.726625,135.268526,1
34.723925,135.268776,1
34.72557,135.265596,1
34.728188,135.278782,1
34.731135,135.277824,1
34.738086,135.275352,1
34.730646,135.275198,1
34.732738,135.273726,1
34.729608,135.269099,1
34.740978,135.269441,1
34.728861,135.266537,1
34.729709,135.262218,1
34.727041,135.264362,1
34.726386,135.259897,1
34.731071,135.254619,1
34.728017,135.250983,1
34.728277,135.263312,1
34.723946,135.260089,1
34.723397,135.254885,1
34.726111,135.256331,1
34.72288,135.250769,1
34.725762,135.252019,1
34.733024,135.256742,1
34.732096,135.26112,1
34.72861,135.259232,1
34.728315,135.255263,1
34.732869,135.251195,1
34.721889,135.298828,1
34.721634,135.296697,1
34.720747,135.293989,1
34.722097,135.301182,1
34.719034,135.290296,1
34.722764,135.285559,1
34.719982,135.283605,1
34.72193,135.282732,1
34.715755,135.28512,1
34.721261,135.290163,1
34.72206,135.288581,1
34.719883,135.287497,1
34.721206,135.286248,1
34.715814,135.289415,1
34.71813,135.284292,1
34.714681,135.281745,1
34.712639,135.279981,1
34.718416,135.281237,1
34.721099,135.279955,1
34.71621,135.281,1
34.717872,135.278815,1
34.723147,135.279056,1
34.720491,135.276989,1
34.722306,135.277489,1
34.721946,135.275601,1
34.711457,135.277549,1
34.710389,135.274886,1
34.709809,135.272379,1
34.714923,135.265896,1
34.722706,135.270304,1
34.723461,135.272516,1
34.714795,135.278807,1
34.713365,135.274474,1
34.715795,135.277463,1
34.715219,135.275029,1
34.714674,135.273103,1
34.71409,135.27061,1
34.712814,135.267031,1
34.717779,135.276317,1
34.717284,135.274065,1
34.719793,135.275373,1
34.721101,135.273564,1
34.719242,135.27315,1
34.718527,135.271223,1
34.716536,135.272116,1
34.720545,135.270973,1
34.716807,135.269588,1
34.718815,135.268739,1
34.720219,135.268121,1
34.715334,135.267707,1
34.718333,135.266431,1
34.721597,135.268237,1
34.723741,135.265535,1
34.717923,135.264295,1
34.71995,135.265002,1
34.713037,135.263537,1
34.721512,135.262963,1
34.718107,135.254252,1
34.720175,135.249919,1
34.714634,135.263176,1
34.713955,135.260297,1
34.71485,135.250817,1
34.718869,135.261866,1
34.71702,135.262225,1
34.716384,135.259327,1
34.71831,135.258801,1
34.720681,135.254783,1
34.720837,135.258899,1
34.715724,135.25715,1
34.718263,135.25613,1
34.716127,135.255031,1
34.71574,135.253616,1
34.717967,135.252725,1
34.715407,135.252521,1
34.717825,135.251473,1
34.7174,135.249881,1
34.709016,135.270079,1
34.712427,135.270991,1
34.71187,135.267768,1
34.710405,135.267347,1
34.708412,135.263951,1
34.708019,135.266983,1
34.709434,135.257226,1
34.70961,135.2559,1
34.712753,135.253711,1
34.713066,135.258072,1
34.712955,135.25497,1
34.712593,135.251612,1
34.710437,135.264211,1
34.709381,135.261421,1
34.711935,135.263313,1
