緯度,経度,情報
34.63865331,135.1025538,1
34.6411794,135.1060922,1
34.6728241,135.1157451,1
34.6704253,135.1115681,1
34.66316234,135.1335539,1
34.656148,135.130654,1
34.64647317,135.1208696,1
34.65354103,135.1081423,1
34.6562628,135.1041192,1
34.643536,135.126225,1
34.64614379,135.131547,1
34.6876362,135.1148719,1
34.6885015,135.0854611,1
34.6721939,135.0836983,1
34.6779933,135.0887922,1
34.6851425,135.0824564,1
34.6819375,135.0892339,1
34.6488167,135.1333241,1
34.6479475,135.1326031,1
34.65586753,135.1392949,1
34.6608772,135.0931745,1
34.6576629,135.1329026,1
34.6582739,135.1257339,1
34.65044166,135.1312818,1
34.6542553,135.1342833,1
34.65369057,135.134587,1
34.65448383,135.1354231,1
34.65129656,135.1297941,1
34.6507528,135.1289669,1
34.6839355,135.0954409,1
34.65274673,135.1179127,1
34.6920283,135.1102097,1
34.6800732,135.1012968,1
34.6823986,135.0994494,1
34.6852289,135.1009689,1
34.6763078,135.1014661,1
34.6927503,135.0964414,1
34.6960794,135.1006022,1
34.6866175,135.0917225,1
34.654805,135.1276478,1
34.6760865,135.1172147,1
34.6688778,135.0943419,1
34.6731275,135.0994969,1
34.6526467,135.1152711,1
34.6755908,135.0882228,1
34.6745411,135.0911614,1
34.6820128,135.1162619,1
34.6574376,135.0786778,1
34.6418375,135.0835281,1
34.6379922,135.0813161,1
34.633111,135.077551,1
34.6439331,135.0771217,1
34.6434643,135.0775417,1
34.6470275,135.0906539,1
34.6348258,135.0711864,1
34.6411637,135.0665735,1
34.65300896,135.0857628,1
34.6363944,135.0412611,1
34.63337,135.0427583,1
34.62842422,135.0400709,1
34.626427,135.049261,1
34.6546706,135.0542236,1
34.6559647,135.0551067,1
34.6586283,135.0552622,1
34.6494765,135.0256817,1
34.64942117,135.0295985,1
34.649665,135.0298064,1
34.64925332,135.0307916,1
34.6497317,135.0307367,1
34.6664886,135.0612669,1
34.6408164,135.0516019,1
34.6410918,135.0517939,1
34.633196,135.0692837,1
34.6598917,135.0340639,1
34.6601417,135.0332281,1
34.6438522,135.0477467,1
34.6449103,135.0495769,1
34.6465297,135.0478936,1
34.64352415,135.0300619,1
34.6560033,135.0387581,1
34.6409722,135.0721917,1
34.6427532,135.0756724,1
34.6433439,135.0581761,1
34.6621528,135.040405,1
34.6381384,135.0613262,1
34.6368394,135.0684339,1
34.6560514,135.0830569,1
34.6579178,135.0797656,1
34.6315758,135.0558767,1
34.6403306,135.0709614,1
34.6393497,135.0364975,1
34.6470497,135.0459026,1
34.66687,135.049208,1
34.640439,135.063445,1
34.62754354,135.0616837,1
34.62837341,135.0631429,1
34.62627849,135.0601363,1
34.6280792,135.0590125,1
34.6565978,135.0460825,1
34.6528678,135.0466269,1
34.6633169,135.0709858,1
34.6515827,135.0605674,1
34.6779617,135.0193008,1
34.6962522,135.0553447,1
34.6707128,135.0374164,1
34.6690519,135.0375386,1
34.6709433,135.0356914,1
34.6641328,135.0186403,1
34.6968239,135.0303164,1
34.6934683,135.0228586,1
34.7040231,135.0380156,1
34.705529,135.030916,1
34.7573756,135.0443642,1
34.7411234,135.0128176,1
34.7556728,135.0376092,1
34.67410326,134.9735438,1
34.6837347,135.0545452,1
34.67824652,135.0520776,1
34.6846672,135.0605806,1
