緯度,経度,情報
39.73346559,141.118002,1
39.73882238,141.1136563,1
39.73816102,141.1147788,1
39.74282078,141.1210377,1
39.74523927,141.1187871,1
39.70872279,141.1567546,1
39.71069731,141.162055,1
39.71069731,141.162055,1
39.70950653,141.1124362,1
39.86635946,141.1770888,1
39.65455218,141.1113857,1
39.65321801,141.1032574,1
39.65316801,141.141001,1
39.65270599,141.1444431,1
39.65305845,141.151686,1
39.652439,141.154819,1
39.65180515,141.1551113,1
39.61444535,141.2014806,1
39.60668543,141.1999766,1
39.60697474,141.1999605,1
39.61627,141.19363,1
39.61607361,141.1934662,1
39.61604881,141.1931282,1
39.6148242,141.2005757,1
39.69613366,141.1171337,1
39.83729677,141.1600906,1
39.85045324,141.1633851,1
39.85262436,141.1593441,1
39.836466,141.15331,1
39.83649363,141.1529546,1
39.86897571,141.113817,1
39.85905162,141.1132276,1
39.859522,141.124848,1
39.85803324,141.1242156,1
39.84903244,141.1497536,1
39.6717679,141.1288946,1
39.66836625,141.1252585,1
39.66522471,141.1185235,1
39.66666937,141.1236863,1
39.66717978,141.1246245,1
39.7157451,141.1743256,1
39.70535969,141.1656116,1
39.70641949,141.1689951,1
39.70915654,141.1696257,1
39.70887,141.1694,1
39.89232303,141.1954983,1
39.89429947,141.1951228,1
39.89310127,141.1949755,1
39.90745758,141.1884365,1
39.81529406,141.186579,1
39.80976978,141.2161837,1
39.81669139,141.2048316,1
39.81661615,141.2040991,1
39.87626782,141.2054114,1
39.892916,141.255995,1
39.88202086,141.1910219,1
39.67451977,141.0201973,1
39.67445428,141.0190767,1
39.66735191,141.000445,1
39.68365771,141.015012,1
39.694622,141.0248579,1
39.731365,141.108317,1
39.73198413,141.10857,1
39.68131134,141.1417427,1
39.68123282,141.1308794,1
39.679226,141.136307,1
39.67976934,141.1399725,1
39.8646518,141.1672821,1
39.87545356,141.1686115,1
39.87400681,141.1631875,1
39.87395087,141.1692205,1
39.86788679,141.1696523,1
39.87374108,141.1759084,1
39.8755516,141.1759626,1
39.891112,141.165672,1
39.87594433,141.1682238,1
39.87791724,141.1668397,1
39.87710748,141.1670717,1
39.87725156,141.1672219,1
39.87758909,141.1666654,1
39.72159854,141.145555,1
39.72832405,141.1419942,1
39.73018682,141.1386587,1
39.6851747,141.1630882,1
39.73928494,141.1476676,1
39.742434,141.145822,1
39.74158963,141.1409583,1
39.62158049,141.1868191,1
39.638776,141.188932,1
39.63517045,141.2929067,1
39.70165109,141.1561572,1
39.60211985,141.3201009,1
39.69893469,141.1527534,1
39.74915703,141.196714,1
39.74881278,141.1971076,1
39.72711378,141.1577881,1
39.65626079,141.1669984,1
39.70015513,141.165039,1
39.71424673,141.1684968,1
39.720535,141.171262,1
39.72356942,141.165583,1
39.728075,141.171729,1
39.70371641,141.1606229,1
39.652708,141.185116,1
39.64021122,141.1871049,1
39.7031845,141.1627038,1
39.84488516,141.1724349,1
39.8466488,141.1706631,1
39.843057,141.165762,1
39.84680416,141.1670134,1
39.84863331,141.1692695,1
39.84772695,141.1678379,1
39.84925242,141.1695706,1
39.69631364,141.1701152,1
39.74779196,141.1604073,1
39.75141134,141.1618648,1
39.88696114,141.1568816,1
39.69621052,141.1584787,1
39.712228,141.092209,1
39.68838411,141.0804461,1
39.69906272,141.0856301,1
39.6939271,141.0969032,1
39.71509991,141.1474404,1
39.71461287,141.1450967,1
39.7190648,141.1380008,1
39.71341252,141.1411436,1
39.72042452,141.1381165,1
39.71969528,141.1323125,1
39.721267,141.134891,1
39.730838,141.15573,1
39.729757,141.145488,1
39.730411,141.1551614,1
39.728619,141.127179,1
39.75500405,141.2006575,1
39.70414157,141.1276993,1
39.69691212,141.194868,1
39.69410933,141.2190146,1
39.745495,141.131299,1
39.74238441,141.1370013,1
39.75070834,141.1346715,1
39.69507247,141.147474,1
39.70185161,141.1327623,1
39.70113423,141.1335597,1
39.71304935,141.135066,1
39.63924479,141.1638631,1
39.641882,141.163036,1
39.64126751,141.1636521,1
39.64260672,141.1603348,1
39.647555,141.162464,1
39.64851616,141.1620071,1
39.64142104,141.1563008,1
39.75413817,141.1623695,1
39.75427427,141.1620208,1
39.72933817,141.1030091,1
39.722341,141.102232,1
39.72554989,141.1138494,1
39.72327301,141.1167491,1
39.72451693,141.1140793,1
39.72797416,141.1107067,1
39.728074,141.110718,1
39.685961,141.152633,1
39.68596,141.149532,1
39.6835808,141.1529453,1
39.85117796,141.1663911,1
39.78983374,141.1922222,1
39.67202721,141.1979478,1
39.67717644,141.1881361,1
39.71106881,141.2310458,1
39.71028423,141.096868,1
39.71321511,141.1285622,1
39.7171558,141.1210769,1
39.7168277,141.1211063,1
39.71723208,141.1221041,1
39.69256956,141.1583776,1
39.69924996,141.1460428,1
39.70410589,141.1416212,1
39.7038249,141.1404267,1
39.69124313,141.1605189,1
39.69066969,141.1623582,1
39.705951,141.122484,1
39.6931826,141.1007106,1
39.6931826,141.1007106,1
39.69120332,141.1666581,1
39.71009301,141.1387462,1
39.65506092,141.1587368,1
39.67167228,141.1578401,1
39.66322186,141.1486473,1
39.66428427,141.1548628,1
39.661052,141.156762,1
39.66176998,141.1565232,1
39.71294003,141.091319,1
39.67948611,141.1694371,1
39.6787066,141.1674701,1
39.68091074,141.1687566,1
39.692094,141.176346,1
39.75596043,141.1682741,1
39.75504138,141.1646995,1
39.75708062,141.1640407,1
39.70148859,141.1726374,1
39.6860791,141.1559449,1
39.68415951,141.1770712,1
39.64821427,141.1063967,1
39.63954885,141.0950472,1
39.64395983,141.0976829,1
39.70049243,141.1512455,1
39.71842912,141.1159596,1
39.717817,141.114938,1
39.71778129,141.1148384,1
39.69825175,141.1556297,1
39.79854764,141.2158316,1
39.79894652,141.1971636,1
39.80097746,141.2436848,1
39.79533597,141.1893466,1
39.79433836,141.1934755,1
39.79465021,141.1922053,1
39.69813241,141.1457571,1
39.73256119,141.1385959,1
39.69510966,141.1635383,1
39.75478636,141.1719229,1
39.75999173,141.1720085,1
39.760117,141.174722,1
39.76013148,141.1764291,1
39.712384,141.117484,1
39.67309561,141.1330979,1
39.67597104,141.1300213,1
39.670802,141.138758,1
39.68865227,141.142202,1
39.68786391,141.1393007,1
