緯度,経度,情報
41.7656663,140.7289806,1
41.76750772,140.7271259,1
41.91473659,140.9593307,1
41.93057757,140.9406804,1
41.92687148,140.9492002,1
41.93193267,140.939788,1
41.78267232,140.7244928,1
41.73853947,140.9316806,1
41.84175816,140.7669862,1
41.86183945,140.7810219,1
41.7941972,140.7328636,1
41.79442818,140.8577171,1
41.79594962,140.7305646,1
41.79513397,140.7290338,1
41.83127054,140.7280459,1
41.849646,140.7335145,1
41.84106578,140.734696,1
41.8478419,140.7192565,1
41.77850357,140.7641414,1
41.777025,140.763013,1
41.77657166,140.7561356,1
41.78284921,140.7681581,1
41.78668266,141.1467948,1
41.78770892,141.1492493,1
41.79060109,141.1617908,1
41.79299588,141.1643135,1
41.81433252,141.1806881,1
41.79200956,140.8028348,1
41.79308543,140.8041062,1
41.8211847,141.163333,1
41.76336187,140.710807,1
41.72835896,141.0384571,1
41.72952102,141.0317623,1
41.73143931,141.0319752,1
41.75890532,140.8664182,1
41.758649,140.869163,1
41.78824458,141.1121366,1
41.86403949,141.1155444,1
41.86447296,141.1188274,1
41.78387531,140.8028338,1
41.78609187,140.8058916,1
41.79972558,140.7524694,1
41.79828535,141.1748605,1
41.801758,140.73204,1
41.801758,140.73204,1
41.80103601,140.7306868,1
41.80190816,140.7284446,1
41.80142429,140.7291098,1
41.80156026,140.7285465,1
41.8017362,140.7251201,1
41.80192415,140.7257906,1
41.80421481,140.72436,1
41.80562487,140.7247079,1
41.80849818,140.718883,1
41.80789898,140.7219269,1
41.80739117,140.7220449,1
41.8092661,140.7183332,1
41.80996067,140.7184222,1
41.81092793,140.7152144,1
41.81311472,140.7170083,1
41.7875953,140.8029721,1
41.77612744,140.8016492,1
41.77675174,140.8103407,1
41.8092647,141.1095068,1
41.80262713,140.7760612,1
41.80544146,140.7864845,1
41.76631255,140.8191923,1
41.76743671,140.8228821,1
41.78305215,140.7522177,1
41.716469,140.952388,1
41.71566146,140.9525936,1
41.773792,140.725722,1
41.774496,140.727243,1
41.77268916,140.7265349,1
41.77211265,140.7280423,1
41.77410408,140.7282594,1
41.77718157,140.7307039,1
41.76165853,141.0807339,1
41.76106962,141.0862799,1
41.76200899,141.0874191,1
41.73956619,140.9301033,1
41.73964512,140.931309,1
41.7407441,140.9256516,1
41.74404003,140.9163201,1
41.81393004,140.7423874,1
41.8127813,140.7435268,1
41.82132659,140.7312299,1
41.79132912,140.7594849,1
41.78599472,140.7372593,1
41.78595872,140.7368301,1
41.78626272,140.7369267,1
41.78743785,140.7369868,1
41.78447493,140.7346436,1
41.77105838,140.7303307,1
41.77835389,140.7387757,1
41.78382997,140.8158918,1
41.78725661,140.8201297,1
41.77404684,140.7340886,1
41.7778757,140.737525,1
41.778072,140.736572,1
41.72001826,141.0273648,1
41.83019614,141.1457935,1
41.83004991,141.1438277,1
41.83471826,141.1409934,1
41.83281937,141.1412284,1
41.76148702,140.8463368,1
41.78861338,140.7794863,1
41.7863331,140.781346,1
41.78590987,140.7769751,1
41.82031469,140.7635804,1
41.82569881,140.770591,1
41.8351833,140.7897086,1
41.78731919,140.7567137,1
41.71287885,140.9742664,1
41.714487,140.979588,1
41.7147575,140.9807901,1
41.79660565,140.8241755,1
41.79959,140.82776,1
41.80398732,140.8323006,1
41.82799705,140.7237599,1
41.82803442,140.7199964,1
41.75819367,140.7147994,1
41.75778063,140.7180631,1
41.75457391,140.7186181,1
41.75615669,140.8763063,1
