緯度,経度,情報
36.55248045,136.5825136,1
36.52746211,136.6789628,1
36.62184263,136.6719696,1
36.62300616,136.6666877,1
36.57012759,136.5907047,1
36.56874778,136.5907129,1
36.57051685,136.5844456,1
36.56784044,136.5847913,1
36.56733831,136.5839218,1
36.55230671,136.6876501,1
36.555672,136.6849659,1
36.55968836,136.6838625,1
36.55076774,136.6879058,1
36.55357998,136.6840151,1
36.55581861,136.6813338,1
36.62561064,136.6278979,1
36.62799107,136.626058,1
36.62680927,136.6213539,1
36.63407535,136.6215949,1
36.62856087,136.6203539,1
36.62123295,136.6245675,1
36.62550141,136.6314891,1
36.59245918,136.6247949,1
36.59882301,136.6173127,1
36.59909098,136.6207434,1
36.59723914,136.6218657,1
36.59754244,136.6583608,1
36.59706661,136.6598392,1
36.59471031,136.6392825,1
36.59168204,136.6351604,1
36.59216806,136.636561,1
36.57983461,136.6399427,1
36.58299028,136.6361687,1
36.58557021,136.6265483,1
36.54799435,136.6136282,1
36.53530067,136.6230421,1
36.53927823,136.6302994,1
36.60704174,136.6775353,1
36.586739,136.665312,1
36.56985433,136.5736512,1
36.62268612,136.7556051,1
36.60365103,136.710508,1
36.54709684,136.7073725,1
36.5107,136.622989,1
36.51030313,136.621582,1
36.51061241,136.6181899,1
36.51935487,136.6214188,1
36.51905648,136.6236878,1
36.51809064,136.620223,1
36.51632765,136.6198569,1
36.51714833,136.6204257,1
36.51636187,136.6163309,1
36.51193589,136.6256056,1
36.50859,136.62611,1
36.51088342,136.6241778,1
36.50981237,136.6294954,1
36.50875738,136.6301444,1
36.509409,136.629936,1
36.50911708,136.6291085,1
36.54790797,136.6753552,1
36.54943203,136.6732055,1
36.60257221,136.6399427,1
36.590106,136.607238,1
36.56512302,136.618287,1
36.56775963,136.6597706,1
36.550046,136.661687,1
36.55134757,136.6599542,1
36.60960263,136.6924796,1
36.60731924,136.6927542,1
36.53266957,136.6322197,1
36.53255226,136.6292949,1
36.53328019,136.6306445,1
36.543557,136.633738,1
36.54208365,136.6346077,1
36.59600326,136.7365386,1
36.59676216,136.7372818,1
36.61126002,136.6402967,1
36.58208,136.658873,1
36.58447412,136.6576181,1
36.56907574,136.6508313,1
36.570021,136.650712,1
36.57353748,136.622811,1
36.609826,136.628096,1
36.61064277,136.6817193,1
36.60430974,136.5943079,1
36.60026642,136.597261,1
36.60767168,136.5970659,1
36.607933,136.599387,1
36.608937,136.598654,1
36.5960929,136.5968935,1
36.48327982,136.7279256,1
36.5268493,136.6396408,1
36.52665357,136.6380041,1
36.52591793,136.6380717,1
36.53002838,136.6413688,1
36.53068066,136.6391763,1
36.56552732,136.66613,1
36.56644534,136.6653046,1
36.58061602,136.6632017,1
36.56653865,136.6095217,1
36.57079556,136.6075111,1
36.55965121,136.6105907,1
36.54607544,136.7325575,1
36.60328943,136.6205224,1
36.57926794,136.6227611,1
36.579886,136.6226297,1
36.5812546,136.6257896,1
36.58163136,136.6226292,1
36.62589562,136.6881364,1
36.62741398,136.6885794,1
36.5803783,136.6966146,1
36.58090367,136.6924063,1
36.58118,136.70015,1
36.58191281,136.6972594,1
36.58360241,136.6820866,1
36.52072568,136.6257262,1
36.51632213,136.6278022,1
36.51313,136.62727,1
36.57845475,136.6433546,1
36.56313138,136.6555586,1
36.61628941,136.6852804,1
36.56661689,136.652371,1
36.56962748,136.6527016,1
36.56984623,136.6528536,1
36.57081556,136.6130908,1
36.57035583,136.6164172,1
36.52291499,136.6343828,1
36.52211336,136.636477,1
36.52139471,136.6303417,1
36.5232498,136.6270412,1
36.51527794,136.6343735,1
36.51727354,136.6309753,1
36.56129656,136.6155789,1
36.57736937,136.6522762,1
36.57717463,136.6519152,1
36.63347397,136.7076224,1
36.63262249,136.7082292,1
36.56692895,136.6675909,1
36.566764,136.668018,1
36.57922,136.62009,1
36.57676819,136.6213025,1
36.53989881,136.680627,1
36.54390839,136.6811566,1
36.54381035,136.677156,1
36.60789117,136.6401312,1
36.57050711,136.6455484,1
36.5699537,136.642311,1
36.50738858,136.6153934,1
36.50807005,136.6189146,1
36.50980493,136.6749714,1
36.51775163,136.6704311,1
36.5180448,136.67196,1
36.59632169,136.6729225,1
36.59741347,136.6689094,1
36.59305834,136.6705572,1
36.59359632,136.6707812,1
36.52515337,136.6312183,1
36.52651414,136.6348125,1
36.52845874,136.632137,1
36.52740118,136.6306028,1
36.57343423,136.7043939,1
36.57581139,136.6967748,1
36.5283824,136.6472696,1
36.529503,136.645737,1
36.51136924,136.686505,1
36.50347265,136.6182149,1
36.50276979,136.6175628,1
36.50365773,136.6188317,1
36.4998449,136.6211049,1
36.507066,136.623713,1
36.57264566,136.6694463,1
36.57223051,136.671725,1
36.5593155,136.6230302,1
36.53550018,136.6440863,1
36.53698712,136.6355873,1
36.59428184,136.6043739,1
36.57789925,136.617155,1
36.57540507,136.6156775,1
36.5816428,136.6098649,1
36.58156795,136.6071412,1
36.5751651,136.6312097,1
36.56005669,136.6976496,1
36.55420706,136.6914594,1
36.55737256,136.6890668,1
36.5573615,136.6864222,1
36.55799691,136.6941391,1
36.5441495,136.657608,1
36.544331,136.656789,1
36.54172445,136.6612,1
36.5450108,136.6609902,1
36.558206,136.6621251,1
36.57628886,136.6249644,1
36.5928866,136.642016,1
36.59062966,136.6415363,1
36.60029297,136.6468634,1
36.60261397,136.6491542,1
36.59411721,136.647952,1
36.58322889,136.6712046,1
36.58957268,136.6718964,1
36.58981564,136.6737764,1
36.59010151,136.6776713,1
36.58495928,136.6824429,1
36.58583923,136.6792725,1
36.593443,136.675689,1
36.59512422,136.6764992,1
36.564333,136.664874,1
36.52375634,136.7459503,1
36.54507827,136.6829796,1
36.54680392,136.6804982,1
36.550971,136.679032,1
36.551585,136.678373,1
36.55629952,136.6772484,1
36.55490268,136.6765663,1
36.55315583,136.6792867,1
36.60386147,136.6519044,1
36.60229692,136.6518202,1
36.60150254,136.6564589,1
36.58558901,136.6142002,1
36.58227107,136.6156361,1
36.59143314,136.6100386,1
36.56425625,136.6019436,1
36.56658031,136.6014603,1
36.56529804,136.5905354,1
36.56604097,136.5862184,1
36.56300021,136.5865412,1
36.54775076,136.5920853,1
36.553753,136.593355,1
36.557383,136.5894466,1
36.55327518,136.5886539,1
36.5504777,136.5898726,1
36.55049407,136.6915131,1
36.5204318,136.7054949,1
36.51739,136.703246,1
36.62775862,136.773865,1
36.543669,136.674374,1
36.56553,136.676437,1
36.56397337,136.6356117,1
36.56543712,136.635691,1
36.56499942,136.6347753,1
36.56116657,136.6305076,1
36.55570812,136.6568678,1
36.55276413,136.6062103,1
36.55186812,136.602132,1
36.55877682,136.602929,1
36.55609738,136.6046368,1
36.5794096,136.6690429,1
36.57836528,136.6681871,1
36.58741201,136.6681883,1
36.5866332,136.6664608,1
36.59863774,136.6890238,1
36.56221646,136.6373807,1
36.55949675,136.6352498,1
36.56391413,136.6001881,1
36.6210696,136.6416554,1
36.59232097,136.6099615,1
36.59179339,136.615675,1
36.59533646,136.6140916,1
36.59621236,136.6180191,1
36.55473086,136.6122129,1
36.55457348,136.6114257,1
36.5572135,136.6158939,1
36.55408389,136.6154379,1
36.54014038,136.6710197,1
36.59003541,136.6261688,1
36.58256724,136.6436167,1
36.58703858,136.6414598,1
36.586902,136.640583,1
36.58750733,136.6368238,1
36.57151325,136.655908,1
36.60578084,136.6741686,1
36.60575006,136.6753219,1
36.61093626,136.6675655,1
36.58219644,136.5805645,1
36.58273206,136.5866603,1
36.58621685,136.5790461,1
36.54705806,136.6358657,1
36.55061631,136.6353428,1
36.54805464,136.6362932,1
36.554056,136.638876,1
36.53936887,136.656177,1
36.53743785,136.6509445,1
36.538141,136.648931,1
36.53994487,136.6502078,1
36.53555012,136.6521944,1
36.518645,136.706788,1
36.58426294,136.6608786,1
36.52545366,136.7074872,1
36.5296754,136.705812,1
36.53386822,136.705545,1
36.53462662,136.7076216,1
36.5689676,136.5723628,1
36.56823948,136.5697928,1
36.57585503,136.601919,1
36.623324,136.653178,1
36.62438853,136.6531212,1
36.61430387,136.639517,1
36.61479179,136.6399429,1
36.61532814,136.6396038,1
36.51432862,136.6185543,1
36.51681583,136.6240343,1
36.53645755,136.6766789,1
36.53585843,136.6775641,1
36.52532371,136.6771646,1
36.63344999,136.6706282,1
36.62400924,136.687387,1
36.57287534,136.6328602,1
36.58336475,136.6789926,1
36.610353,136.603321,1
36.61082998,136.6029001,1
36.59960754,136.6263233,1
36.56934947,136.6393514,1
36.579353,136.598409,1
36.56260885,136.5860183,1
36.55943517,136.6419275,1
36.56086196,136.6420037,1
36.56118866,136.6441409,1
36.62699714,136.6922515,1
36.53498815,136.6573609,1
36.5351129,136.6563848,1
36.53239428,136.6526056,1
36.5303992,136.6567988,1
36.56335101,136.6492396,1
36.5627614,136.6499541,1
36.56317135,136.650077,1
36.56704004,136.6453662,1
36.56651068,136.6455649,1
36.56720591,136.6453501,1
36.5753721,136.6422278,1
36.57585732,136.6429925,1
36.57484604,136.6399953,1
36.568975,136.648137,1
36.61087833,136.6345049,1
36.60292557,136.6328412,1
36.61534252,136.6337685,1
36.61487437,136.6969503,1
36.55836305,136.6773957,1
36.56033246,136.6744657,1
36.50380372,136.6940383,1
36.5595,136.680178,1
36.56051664,136.6792105,1
36.54327507,136.6964987,1
36.54227427,136.6898825,1
36.54750183,136.6886028,1
36.54411066,136.6940164,1
36.54621952,136.6931889,1
36.54544025,136.6920642,1
36.54336203,136.6998277,1
36.53448302,136.693384,1
36.53208279,136.6989168,1
36.53777511,136.6965471,1
36.52830935,136.6914184,1
