緯度,経度,情報
36.120244,136.215326,1
36.117498,136.216518,1
36.117498,136.213876,1
36.062828,136.209558,1
36.04861,136.21605,1
36.04931679,136.2134317,1
36.049122,136.209912,1
36.05120027,136.2106235,1
36.04930626,136.2051026,1
36.04559259,136.1611266,1
36.04445736,136.1606318,1
36.040423,136.168691,1
36.16499618,136.1163364,1
36.15946987,136.1114655,1
36.15199824,136.1029608,1
36.09028644,136.0360361,1
36.084,136.031,1
36.09653933,136.0346843,1
36.094083,136.031965,1
36.091298,136.0343,1
36.06263,136.156617,1
36.14014456,136.1223126,1
36.02893867,136.2025798,1
36.02896469,136.199624,1
36.024063,136.200665,1
36.06076854,136.1401258,1
36.0634203,136.1456163,1
36.06249881,136.1434786,1
36.040045,136.228698,1
36.0526912,136.1797407,1
36.05136562,136.1786339,1
36.049776,136.179462,1
36.047866,136.181428,1
36.054537,136.177045,1
36.05315,136.177271,1
36.05147449,136.1773584,1
36.107636,136.222801,1
36.069865,136.245035,1
36.07102,136.248305,1
36.04133394,136.1804948,1
36.027647,136.200568,1
36.027594,136.207077,1
36.024874,136.204306,1
36.11047573,136.2267961,1
36.10754399,136.2279178,1
36.07360107,136.2592962,1
36.044832,136.237688,1
36.041876,136.238977,1
36.039965,136.234293,1
36.06022121,136.1959134,1
36.060553,136.191513,1
36.05707163,136.1940151,1
36.053499,136.280897,1
36.0616238,136.2532439,1
36.06985919,136.2109858,1
36.06942,136.205111,1
36.03849205,136.2097572,1
36.03819701,136.2108504,1
36.03620358,136.2100995,1
36.039548,136.210944,1
36.03845,136.221061,1
36.04111461,136.2206611,1
36.041719,136.220771,1
36.033924,136.216067,1
36.039914,136.217614,1
36.04170728,136.2175947,1
36.0423353,136.2099775,1
36.041689,136.207111,1
36.07745,136.243037,1
36.07704737,136.2394348,1
36.079831,136.244165,1
36.081296,136.238687,1
36.08608682,136.2416304,1
36.069734,136.200278,1
36.03892668,136.0136025,1
36.03697673,136.0138912,1
36.071696,136.209075,1
36.07316019,136.2420612,1
36.077424,136.248161,1
36.074521,136.245454,1
36.00941886,135.988211,1
36.012523,135.99234,1
36.115248,136.239847,1
36.114228,136.241619,1
36.088646,136.22235,1
36.089483,136.218387,1
36.04603989,136.2158318,1
36.046616,136.206531,1
36.105805,136.227989,1
36.10334007,136.2262347,1
36.0596837,136.1789335,1
36.058434,136.227957,1
36.056289,136.238462,1
36.066861,136.201479,1
36.06491,136.19951,1
36.066098,136.196282,1
36.031439,136.182265,1
36.029556,136.180461,1
36.03445379,136.1970713,1
36.03785888,136.1977066,1
36.0378432,136.1942306,1
36.03667035,136.1999557,1
36.03690026,136.2008838,1
36.03346461,136.2005514,1
36.03741646,136.2002025,1
35.991518,136.187601,1
35.994353,136.187852,1
36.028597,136.208193,1
36.03039968,136.2104912,1
36.027359,136.214552,1
36.031413,136.217452,1
36.057088,136.179788,1
36.096886,136.225734,1
36.09305997,136.2286329,1
36.09714545,136.2233424,1
36.087417,136.23192,1
36.091657,136.231071,1
36.090922,136.235755,1
36.093773,136.233693,1
36.09149193,136.2395421,1
36.09122376,136.2266321,1
36.10026227,136.2329255,1
36.099658,136.23134,1
36.0974799,136.2322697,1
36.096545,136.235787,1
36.09476685,136.2397489,1
36.09374819,136.2422594,1
36.09708371,136.2392379,1
36.088515,136.244809,1
36.09803,136.23801,1
