緯度,経度,情報
33.84643801,132.7497798,1
33.84001712,132.7773883,1
33.93346794,132.7747488,1
33.88165353,132.7408482,1
33.87019803,132.7395465,1
33.84520539,132.7350722,1
33.80012386,132.7682185,1
33.79171139,132.783443,1
33.80769579,132.7870463,1
33.81036808,132.7802465,1
33.97546757,132.8358154,1
33.87387799,132.8025546,1
33.87815143,132.7985614,1
33.87786589,132.7991308,1
33.87518635,132.8096238,1
33.9835598,132.7736915,1
33.90178287,132.8708725,1
33.90115037,132.8720182,1
33.94512929,132.7678692,1
33.94629316,132.7804368,1
33.95739097,132.7812024,1
33.86311106,132.7259963,1
33.86366341,132.7281126,1
33.87348578,132.7505726,1
33.87425029,132.7493929,1
33.85042199,132.7566385,1
33.86936626,132.7590802,1
33.87364451,132.7548337,1
33.86059885,132.7340332,1
33.74942514,132.8250742,1
33.74905182,132.8258733,1
33.73565066,132.8309003,1
33.72368989,132.8414387,1
33.80127305,132.816471,1
33.80687401,132.8111239,1
33.93977683,132.7657698,1
33.85678964,132.7411481,1
33.85642885,132.749167,1
33.85777675,132.7373549,1
33.85993135,132.7375535,1
33.86474775,132.7376076,1
33.8604024,132.7388951,1
33.84763794,132.7533506,1
33.95048211,132.7855949,1
33.80880115,132.7720277,1
33.82679938,132.7331803,1
33.8274808,132.7503708,1
33.74042768,132.8382987,1
33.83288688,132.7965033,1
33.83471669,132.7946,1
33.83247794,132.7945902,1
33.83061868,132.7940325,1
33.76592346,132.8092623,1
33.90108433,132.7638115,1
33.97296094,132.5490908,1
33.97541901,132.5427031,1
33.85694053,132.7233844,1
33.80793499,132.7587037,1
33.80495561,132.7638528,1
33.81392043,132.7627644,1
33.81282758,132.7627923,1
33.85501806,132.7655169,1
33.92400512,132.764934,1
33.92071111,132.7621713,1
33.92309042,132.7617099,1
33.86871002,132.7154274,1
33.84742287,132.8069588,1
33.85175897,132.8074828,1
33.85265926,132.8058222,1
33.85290874,132.8065088,1
33.85328465,132.8033225,1
33.79525232,132.812292,1
33.82570951,132.7174712,1
33.82597662,132.7243292,1
33.83218201,132.71587,1
33.83527803,132.7178298,1
33.83175094,132.71394,1
33.83062292,132.7127646,1
33.83197286,132.7211807,1
33.89305823,132.7083056,1
33.89521699,132.7076465,1
33.88680659,132.7032121,1
33.85484919,132.8115722,1
33.84019015,132.7809061,1
33.80460022,132.790841,1
33.82392032,132.798015,1
33.83718035,132.7729964,1
33.8381426,132.7597269,1
33.85633676,132.7554524,1
33.85676054,132.7583447,1
33.86440788,132.7635238,1
33.86216559,132.7544919,1
33.86028398,132.7508023,1
33.86044148,132.7529688,1
33.85682116,132.7510014,1
33.85163489,132.7261571,1
33.85410177,132.7227332,1
33.80938,132.744676,1
33.80868393,132.7541525,1
33.82830368,132.783771,1
33.82431688,132.7845986,1
33.83129557,132.7860078,1
33.84350514,132.7837564,1
33.84190115,132.7825225,1
33.84220563,132.7788723,1
33.84437357,132.781522,1
33.93644248,132.7735144,1
33.93905791,132.7726577,1
33.85604567,132.7183327,1
33.86364177,132.716344,1
33.78473989,132.8098342,1
33.85657673,132.7774093,1
33.86065722,132.776197,1
33.89832845,132.7257726,1
33.8988622,132.7280714,1
33.90162053,132.7241929,1
33.89736611,132.7303137,1
33.82685381,132.7552119,1
33.83421725,132.7798746,1
33.82545125,132.7810031,1
33.99163659,132.8439168,1
33.96620363,132.6286402,1
33.97190711,132.8023647,1
33.886466,132.793357,1
33.84530121,132.7893687,1
33.76878309,132.7960291,1
33.77197594,132.8040489,1
33.77503936,132.7983572,1
33.77645413,132.809872,1
33.93409605,132.7760837,1
33.75860636,132.8188234,1
33.75556962,132.8197648,1
33.86082877,132.8148064,1
33.86265015,132.8152794,1
33.87362763,132.713874,1
33.79253482,132.7982332,1
33.79364941,132.7976668,1
33.79595563,132.7923915,1
33.83221767,132.7615597,1
33.8609669,132.7190167,1
33.82296491,132.7340215,1
33.82351598,132.7363038,1
33.85768218,132.7175721,1
33.8057847,132.8346795,1
33.90319173,132.8188621,1
33.90331194,132.8187709,1
33.81483526,132.7848808,1
33.8381456,132.8003325,1
33.85442282,132.71904,1
33.850132,132.762921,1
33.85194334,132.7636833,1
33.85199769,132.7679934,1
33.81621887,132.7036237,1
33.8105842,132.6992864,1
33.81281531,132.6982064,1
33.80868322,132.6996922,1
33.80917279,132.7060858,1
33.81365027,132.7058208,1
33.81246776,132.7743209,1
33.81238886,132.7751928,1
33.81497964,132.7704908,1
33.86630067,132.7399555,1
33.86637535,132.7366967,1
33.86699572,132.7458287,1
33.76370423,132.8021323,1
33.85773163,132.7342035,1
33.84498638,132.7917087,1
33.82856506,132.7670261,1
33.87317784,132.7181414,1
33.87835315,132.715309,1
33.83781724,132.7551114,1
33.83620032,132.7538595,1
34.00193294,132.7946356,1
34.00995715,132.8019187,1
34.00966597,132.8033118,1
33.94961233,132.7930683,1
33.82817703,132.7888691,1
33.88792183,132.7273044,1
33.89224797,132.7222806,1
33.88241632,132.7348915,1
33.88930744,132.7319359,1
33.88254669,132.7227447,1
33.88441267,132.7325347,1
33.85462742,132.7147449,1
33.84327615,132.7702944,1
33.81116986,132.8066113,1
33.8099833,132.8063672,1
33.81744505,132.8087473,1
33.82648217,132.7656567,1
33.86665302,132.7192298,1
33.88202939,132.7543172,1
33.83825519,132.7941717,1
33.8343588,132.7471237,1
33.8646204,132.723813,1
33.86454994,132.7245173,1
33.96179042,132.786323,1
33.95903592,132.7820238,1
33.83161151,132.7757263,1
33.83041343,132.7759057,1
33.9830289,132.7947686,1
33.9781234,132.7895622,1
33.99449384,132.6376181,1
33.97398555,132.6291272,1
33.97321069,132.62638,1
33.77907841,132.8287139,1
33.823214,132.764785,1
33.8196643,132.7651795,1
33.84386873,132.7395232,1
33.84760635,132.7436076,1
33.9571415,132.6252388,1
33.96266523,132.6258154,1
33.96403979,132.6256057,1
33.77145982,132.840148,1
33.97546507,132.5081317,1
33.98211582,132.5126026,1
33.81976294,132.7745173,1
33.79857037,132.7902555,1
33.82449068,132.7542923,1
33.82343493,132.7534552,1
33.82417373,132.7459932,1
33.82033215,132.7437885,1
33.8318661,132.7581863,1
33.84578624,132.7736788,1
33.81561364,132.7143822,1
33.81468887,132.7163005,1
33.81623955,132.71493,1
33.81547545,132.7170805,1
33.81786504,132.7150717,1
33.81686757,132.7149424,1
33.81683929,132.7112521,1
33.86360726,132.7313464,1
33.81100923,132.7761877,1
33.80683037,132.7755132,1
33.81538576,132.7808397,1
33.90818781,132.7872221,1
33.77657594,132.8217886,1
33.76866834,132.8182109,1
33.76879372,132.8168902,1
33.7689447,132.8215749,1
33.84354609,132.8029739,1
33.86988877,132.8138142,1
33.87189758,132.8180897,1
33.86904697,132.8171992,1
33.87142545,132.8169953,1
33.8682589,132.8138206,1
33.87254175,132.8146527,1
33.87120272,132.8185725,1
33.87253633,132.8213496,1
33.87039211,132.8191304,1
33.83927572,132.7823088,1
33.8485383,132.7866132,1
33.84951193,132.7891894,1
33.85047419,132.7906429,1
33.8534425,132.7777068,1
33.89363466,132.74979,1
33.89630432,132.7501593,1
33.86581205,132.727683,1
33.82668527,132.7054824,1
33.826969,132.709387,1
33.82146225,132.7047234,1
33.82303543,132.7024703,1
33.82351674,132.7092751,1
33.82378413,132.7090444,1
33.82237868,132.7145923,1
33.81253802,132.8028618,1
33.818826,132.80547,1
33.83748148,132.7424507,1
33.79223645,132.7993685,1
33.79175088,132.8109859,1
33.8311156,132.7348739,1
33.8456354,132.7332534,1
33.79624526,132.802746,1
33.79966975,132.832444,1
33.79969458,132.8395812,1
33.93506128,132.5444245,1
33.83917905,132.7663793,1
33.89016837,132.7473782,1
33.8932231,132.7472173,1
33.89332107,132.7438914,1
33.89153989,132.7458306,1
33.88921748,132.7453131,1
33.87587317,132.7089672,1
33.87565469,132.7102154,1
33.85926984,132.7147698,1
33.89461085,132.6376051,1
33.87888914,132.6830188,1
33.88116592,132.6801679,1
33.87312148,132.6696748,1
33.89361531,132.6714975,1
33.89365984,132.6713688,1
33.8749606,132.7804135,1
33.87856813,132.780215,1
33.87170963,132.7786123,1
33.87543783,132.7769913,1
33.82551562,132.8039559,1
33.83211844,132.8000167,1
33.83624435,132.805795,1
33.97034254,132.7944248,1
33.97082539,132.7904171,1
33.97542176,132.8286785,1
33.85096337,132.7462402,1
33.86487062,132.7561643,1
33.82343039,132.7279028,1
33.82126506,132.7899311,1
33.82010828,132.7983449,1
33.90203697,132.7547103,1
33.89569478,132.7557199,1
33.90170721,132.7578341,1
33.89604606,132.7512268,1
33.84931674,132.7747155,1
33.85024931,132.774879,1
33.84975722,132.7689963,1
33.85004235,132.7664536,1
33.80719829,132.8379784,1
33.80757748,132.8369197,1
33.80952295,132.8361545,1
33.81015908,132.8270114,1
33.80584884,132.8163416,1
33.81638113,132.8330034,1
33.891258,132.751311,1
33.84389353,132.7251856,1
33.84435913,132.7287556,1
33.84897051,132.7206981,1
33.84619845,132.7282647,1
33.84662545,132.7157177,1
33.95134771,132.7695967,1
33.81375999,132.7422128,1
33.818464,132.748967,1
33.80603524,132.7791906,1
33.83838218,132.7088897,1
33.81740187,132.7954547,1
33.81591438,132.7895775,1
33.81241452,132.7914261,1
33.83749793,132.7227946,1
33.83743269,132.7251053,1
33.84283469,132.7250139,1
33.84133588,132.718939,1
33.8343658,132.7295908,1
33.83813697,132.7326574,1
33.97923435,132.7832009,1
33.97571034,132.7810832,1
33.96597713,132.7718928,1
33.97595654,132.7736867,1
33.97078105,132.7824409,1
33.9691084,132.7753432,1
33.97494905,132.7782795,1
33.96406846,132.7746232,1
33.80759582,132.7852675,1
33.81377705,132.8466084,1
33.80994392,132.8418878,1
33.81924565,132.8488347,1
33.8056515,132.857069,1
33.95760524,132.6646239,1
33.9018568,132.7414758,1
33.90670536,132.7544255,1
33.9044592,132.7501179,1
33.90478898,132.7484575,1
33.89947471,132.7420713,1
33.84199297,132.7618544,1
33.83286936,132.7629596,1
33.87167269,132.8279691,1
33.84249547,132.7554043,1
33.85212692,132.7600655,1
33.86334038,132.7491282,1
33.90428584,132.6884825,1
33.97540793,132.6893998,1
33.95962179,132.7732099,1
33.9017054,132.6740224,1
33.9039732,132.6808715,1
33.89952967,132.6678842,1
33.81418775,132.7229739,1
33.81837418,132.7292239,1
33.816296,132.73215,1
33.81519844,132.7370471,1
33.81593874,132.7361983,1
33.81181307,132.7332665,1
33.81686232,132.7373637,1
33.80978919,132.7272087,1
33.80169403,132.801856,1
33.80561912,132.7998555,1
33.88982834,132.737183,1
33.90127706,132.7361248,1
33.89687791,132.7343143,1
33.81857226,132.7672823,1
33.815376,132.759143,1
33.81063935,132.7600288,1
33.81917315,132.7566055,1
33.85889123,132.7202933,1
33.86043552,132.7209856,1
33.98420823,132.6051973,1
34.06926746,132.980367,1
34.04411884,132.9621299,1
34.06429082,132.957584,1
34.06236204,133.0049571,1
34.05163924,132.9956389,1
34.18778846,132.8832791,1
34.05480464,132.8732756,1
34.03230634,132.862483,1
34.03257601,132.8459224,1
34.03201955,132.8524364,1
34.1559867,133.0647012,1
34.14448574,133.0408574,1
34.13333143,133.04101,1
34.06575019,132.9887443,1
34.16861794,133.0878728,1
34.15936354,133.0696723,1
34.17200372,133.0723354,1
34.01673348,133.0344838,1
34.0167735,133.0332071,1
34.0183735,132.943511,1
34.02173087,132.9365953,1
34.02119699,132.9385065,1
34.0221318,132.9562081,1
33.98609357,132.957404,1
34.08964126,132.9855687,1
34.08642766,132.9819898,1
34.03295594,133.0316272,1
34.03276998,132.9845063,1
34.02325918,133.0349974,1
34.01208032,133.0459025,1
34.02328567,133.0143939,1
34.0577964,132.9765594,1
34.03118338,133.0007841,1
34.26313454,133.0322475,1
34.26491811,133.0365342,1
34.03390432,133.0135343,1
34.05507973,132.9890347,1
34.24654608,133.0010881,1
34.06088394,132.9299738,1
34.06611779,132.9266747,1
34.06345353,132.9231773,1
34.098895,132.980121,1
34.10568525,132.9652087,1
34.06111582,132.9928054,1
34.05943429,132.9896695,1
34.05770445,132.9869488,1
34.10082728,132.9584227,1
33.99750343,133.0168547,1
33.9987184,133.0164324,1
34.02088087,132.9986325,1
34.05975583,133.0130718,1
34.04854601,133.0133967,1
