緯度,経度,情報
34.39080556,134.1362138,1
34.36835329,134.1214739,1
34.38295362,134.1271945,1
34.38364714,134.1313905,1
34.38532754,134.1309438,1
34.38538919,134.1303282,1
34.38526081,134.1299098,1
34.29259742,134.0243844,1
34.2948989,134.0247035,1
34.28594803,134.0243805,1
34.29089379,134.0239199,1
34.29068029,134.0289302,1
34.28540254,134.0055212,1
34.28469538,134.005042,1
34.29512124,134.0096204,1
34.19635225,134.041365,1
34.19762783,134.0406564,1
34.15611149,134.0245504,1
34.18168731,134.073955,1
34.170303,134.08352,1
34.16961964,134.0828802,1
34.16230668,134.0993698,1
34.15225054,134.0768043,1
34.15050999,134.076672,1
34.12612882,134.0738301,1
34.34775961,134.0993203,1
34.35098191,134.0900079,1
34.35228008,134.089186,1
34.34054791,134.1049372,1
34.34371413,134.101343,1
34.35498863,134.1159421,1
34.35437335,134.1164314,1
34.33387803,134.0577429,1
34.33606571,134.0569027,1
34.32708866,133.9932813,1
34.32668092,133.9885833,1
34.33786418,134.0397848,1
34.33961697,134.0353108,1
34.3491377,134.0508011,1
34.34586918,134.0409621,1
34.33061905,134.0496498,1
34.32888503,134.0480381,1
34.30705509,134.0894688,1
34.30727073,134.0862832,1
34.30092777,133.9947065,1
34.30043688,133.9938784,1
34.33992558,134.0365773,1
34.34298714,133.9992513,1
34.34521356,133.9985536,1
34.34691248,133.9962626,1
34.21201917,134.0314016,1
34.25509649,134.0287091,1
34.24146264,134.0344276,1
34.24105427,134.035103,1
34.22679929,134.0378182,1
34.25283306,134.0316716,1
34.25938283,134.040857,1
34.25663455,134.0356787,1
34.26709825,134.0274465,1
34.26720106,134.0246513,1
34.21658192,134.0504988,1
34.20461858,134.0616751,1
34.24162395,134.0085224,1
34.24174026,134.0067987,1
34.24258677,134.0085278,1
34.24521471,134.000386,1
34.24003829,134.0128954,1
34.24031324,134.0189894,1
34.3356547,134.1074787,1
34.33101921,134.1151905,1
34.32866685,134.1222946,1
34.33162773,134.1073061,1
34.29929463,133.9421268,1
34.30286946,133.9464752,1
34.30799757,133.9519143,1
34.29987003,133.9577979,1
34.29740121,133.9649126,1
34.29734648,133.9652885,1
