緯度,経度,情報
34.06010271,134.5549509,1
34.06000578,134.5546078,1
34.07904334,134.5791774,1
34.089144,134.584703,1
34.06917681,134.5730571,1
34.06964706,134.5710528,1
34.07033968,134.571647,1
34.07133149,134.5744348,1
34.0693238,134.5752914,1
34.06909381,134.5776721,1
34.06965802,134.5779509,1
34.06988658,134.5774463,1
34.06939999,134.5777192,1
34.06582713,134.5441079,1
34.06354068,134.5441131,1
34.06178362,134.5437863,1
34.0628465,134.5501401,1
34.06186099,134.5498243,1
34.062041,134.549795,1
34.06116,134.550472,1
34.07255804,134.5523788,1
34.06126602,134.5484498,1
34.11485349,134.5268985,1
34.11509332,134.5268824,1
34.10945029,134.5322643,1
34.10871089,134.5325307,1
34.10902094,134.5326035,1
34.12084363,134.5261939,1
34.12617194,134.5296942,1
34.12757697,134.5288069,1
34.11576717,134.5310536,1
34.11267279,134.5300474,1
34.11293928,134.5300796,1
34.10958632,134.5333816,1
34.1090332,134.5346814,1
34.10564071,134.5428486,1
34.10318887,134.5532922,1
34.1034465,134.5538463,1
34.10310263,134.5518739,1
34.10388062,134.5518892,1
34.10402038,134.5595058,1
34.10507728,134.5570446,1
34.10311734,134.5582472,1
34.1113519,134.546596,1
34.10360682,134.5468224,1
34.10322805,134.5481109,1
34.10664698,134.5487264,1
34.10667695,134.5480199,1
34.10670789,134.5475306,1
34.12105467,134.5211353,1
34.12085927,134.5209475,1
34.05242445,134.5522498,1
34.05359808,134.5520645,1
34.05243602,134.5513871,1
34.04964647,134.5511435,1
34.05024304,134.5502595,1
34.05598924,134.552189,1
34.05520635,134.5551878,1
34.05410418,134.5540094,1
34.05231995,134.5539879,1
34.05292993,134.5551296,1
34.05234837,134.5559798,1
34.05167683,134.5547424,1
34.05148679,134.5545204,1
34.05120394,134.5538687,1
34.05103505,134.5539652,1
34.04922423,134.5548597,1
34.08024747,134.5572365,1
34.08056527,134.5574822,1
34.08062495,134.5569235,1
34.08088936,134.5569952,1
34.07945437,134.551473,1
34.07958255,134.5512329,1
34.088137,134.5536819,1
34.06649914,134.5459763,1
34.07436507,134.5828029,1
34.07620262,134.581301,1
34.07464942,134.581042,1
34.07694109,134.5806501,1
34.07765201,134.5805858,1
34.07294328,134.583948,1
