緯度,経度,情報
35.8535135,139.6563437,1
35.85233178,139.6596311,1
35.85622132,139.6565488,1
35.8509016,139.6503664,1
35.87132309,139.6646219,1
35.87281551,139.6631002,1
35.86935699,139.6577331,1
35.87086589,139.6577852,1
35.88756479,139.6423642,1
35.86228945,139.6507041,1
35.86195854,139.6426657,1
35.86375773,139.6409981,1
35.86999355,139.6436748,1
35.86851714,139.6437644,1
35.87755851,139.6394375,1
35.87933155,139.6390575,1
35.87941003,139.6614952,1
35.89360175,139.6481839,1
35.89625261,139.6495894,1
35.88296812,139.6646029,1
35.87692725,139.6487179,1
35.86136421,139.6611347,1
35.86590514,139.6571269,1
35.88906464,139.654331,1
35.87322873,139.6590333,1
35.88265341,139.6524066,1
35.87751165,139.6515565,1
35.88141973,139.6490494,1
35.95572,139.681262,1
35.961643,139.693811,1
35.925493,139.720115,1
35.914327,139.726747,1
35.978589,139.714105,1
35.981235,139.707862,1
35.96522,139.705138,1
35.941866,139.703221,1
35.935499,139.703318,1
35.969758,139.709141,1
35.968941,139.70541,1
35.953079,139.683756,1
35.945148,139.720324,1
35.950149,139.705861,1
35.950409,139.710066,1
35.97789,139.691883,1
35.925632,139.72687,1
35.979614,139.716193,1
35.951087,139.72928,1
35.972484,139.714916,1
35.941492,139.731208,1
35.948748,139.702819,1
35.947568,139.70424,1
35.94754,139.732163,1
35.973648,139.716479,1
35.93506,139.712829,1
35.955435,139.717756,1
35.933207,139.701237,1
35.910348,139.732834,1
35.972163,139.711389,1
35.966804,139.671786,1
35.964904,139.688707,1
35.952976,139.699267,1
35.98489,139.704794,1
35.9491445,139.662004,1
35.94763705,139.6588957,1
35.95675704,139.6681575,1
35.95557027,139.6659979,1
35.95622027,139.6628018,1
35.9522298,139.6681731,1
35.90444496,139.6653579,1
35.90657256,139.6738105,1
35.9407308,139.6644338,1
35.95206282,139.6554057,1
35.92357581,139.680279,1
35.92505835,139.6669429,1
35.92121742,139.6653124,1
35.92567207,139.6781631,1
35.92912765,139.676467,1
35.91052918,139.6708863,1
35.90808202,139.6603744,1
35.9188606,139.6533183,1
35.92731008,139.6855143,1
35.93445159,139.6618005,1
35.92730678,139.6445233,1
35.93710871,139.6468441,1
35.94661717,139.6523328,1
35.92740586,139.680578,1
35.93758505,139.6447338,1
35.94614,139.636928,1
35.94837636,139.6324507,1
35.94935325,139.6445412,1
35.9516791,139.6503508,1
35.94032004,139.6466382,1
35.9362341,139.653336,1
35.86134982,139.617705,1
35.86270869,139.6075952,1
35.87177954,139.5983116,1
35.8671074,139.5972418,1
35.8671685,139.5940802,1
35.87240698,139.6158848,1
35.85054607,139.6181095,1
35.87481733,139.6074564,1
35.85348538,139.6256194,1
35.85752615,139.6270213,1
35.8586182,139.635181,1
35.87109676,139.603238,1
35.8634162,139.5970285,1
35.87772283,139.5938718,1
35.87470676,139.58199,1
35.83709791,139.6199925,1
35.8371501,139.6133406,1
35.86519038,139.6240491,1
35.86061721,139.6231086,1
35.83756904,139.623576,1
35.83829529,139.6230449,1
35.92931691,139.5980556,1
35.92364478,139.5948964,1
35.90388822,139.5910262,1
35.91377018,139.5956395,1
35.91977381,139.5895598,1
35.92643779,139.5793516,1
35.90459918,139.5608514,1
35.88655325,139.5838458,1
35.92241737,139.5728946,1
35.88907434,139.5897905,1
35.89727153,139.5972249,1
35.92726619,139.5765328,1
35.90911181,139.5608915,1
35.90372742,139.5714947,1
35.93325072,139.572127,1
35.93604214,139.5654708,1
35.89538295,139.5894046,1
35.89400796,139.5946545,1
35.91158498,139.5718169,1
