緯度,経度,情報
33.228329,131.584797,1
33.17174867,131.6394598,1
33.215625,131.586701,1
33.248385,131.719578,1
33.209869,131.675142,1
33.237214,131.589936,1
33.243172,131.588048,1
33.228899,131.634091,1
33.240341,131.607923,1
33.247474,131.70812,1
33.233965,131.613352,1
33.23053,131.605997,1
33.235506,131.578628,1
33.22828708,131.7473631,1
33.23322,131.757038,1
33.229164,131.75111,1
33.252887,131.680294,1
33.241907,131.669152,1
33.247196,131.664035,1
33.22386693,131.7468124,1
33.24725224,131.696686,1
33.205576,131.576825,1
33.21690101,131.6039415,1
33.22155439,131.6119921,1
33.228724,131.612649,1
33.23350211,131.590702,1
33.2482074,131.6055533,1
33.246694,131.723832,1
33.24022,131.596743,1
33.246896,131.626403,1
33.24806,131.612231,1
33.242037,131.732243,1
33.20083319,131.8580953,1
33.21395335,131.6327384,1
33.21678577,131.6286361,1
33.213087,131.579518,1
33.183948,131.618743,1
33.185918,131.541587,1
33.190394,131.532086,1
33.199031,131.589046,1
33.211011,131.68987,1
33.20655,131.559879,1
33.236722,131.686772,1
33.179979,131.611871,1
33.184136,131.604635,1
33.214391,131.731396,1
33.19010971,131.699924,1
33.202081,131.697651,1
33.20534803,131.6146438,1
33.202093,131.61215,1
33.188177,131.577491,1
33.10770315,131.4504885,1
33.24594,131.874245,1
33.24913357,131.8729872,1
33.249323,131.862829,1
33.26566046,131.8993613,1
33.214911,131.722968,1
33.24155425,131.7747688,1
33.24555191,131.835375,1
33.233572,131.668023,1
33.181067,131.667632,1
33.1229056,131.4780707,1
33.119833,131.655454,1
33.16046948,131.6207632,1
33.224602,131.676939,1
33.227488,131.685549,1
33.254414,131.545132,1
33.234625,131.721874,1
33.242598,131.575763,1
33.20238068,131.706811,1
33.112447,131.652777,1
33.13973,131.653453,1
33.133715,131.650154,1
33.146321,131.50999,1
33.15669347,131.6589014,1
33.204198,131.558136,1
33.218472,131.66569,1
33.210912,131.619698,1
33.113954,131.693496,1
33.111137,131.693856,1
33.190592,131.559842,1
33.178295,131.590231,1
33.187665,131.596513,1
33.222327,131.700993,1
33.239466,131.798751,1
33.183624,131.563688,1
33.21739492,131.7969069,1
33.165017,131.530037,1
33.15932277,131.5245083,1
33.15498,131.52309,1
33.23318,131.600118,1
33.243571,131.607848,1
33.236664,131.618603,1
33.24074,131.630223,1
33.24125898,131.6955492,1
33.23606079,131.5948717,1
33.239338,131.691678,1
33.21470014,131.5939253,1
33.24965,131.658998,1
33.245532,131.650457,1
33.243984,131.640093,1
33.164281,131.636864,1
33.15905595,131.630407,1
33.16614769,131.6336765,1
33.235361,131.610873,1
33.190915,131.622364,1
33.20892076,131.600748,1
33.20746697,131.5926766,1
33.238829,131.644921,1
33.21847,131.657356,1
33.221993,131.646686,1
33.21837486,131.650935,1
33.230438,131.65543,1
33.22869332,131.6581242,1
33.23493164,131.7421134,1
33.340651,131.486635,1
33.273044,131.481491,1
33.26600507,131.5041648,1
33.322437,131.493321,1
33.321534,131.494088,1
33.32384695,131.4938571,1
33.32605824,131.4942308,1
33.32692254,131.4943704,1
33.33271,131.493735,1
33.245968,131.499996,1
33.337537,131.495159,1
33.314908,131.475886,1
33.273575,131.498554,1
33.286259,131.497824,1
33.310514,131.490505,1
33.291304,131.501969,1
33.3478814,131.4953621,1
33.272413,131.505918,1
33.309503,131.502138,1
33.314919,131.497006,1
33.308847,131.484264,1
33.29448512,131.4933179,1
33.298779,131.492132,1
33.302565,131.492703,1
33.291439,131.49804,1
33.295121,131.497978,1
33.29872411,131.4999422,1
33.303337,131.497386,1
33.254704,131.512283,1
33.295434,131.481843,1
33.336952,131.404816,1
33.298212,131.488392,1
33.29907506,131.4870086,1
33.295131,131.467595,1
33.308012,131.47757,1
33.320942,131.477121,1
33.311814,131.465582,1
33.338704,131.487343,1
33.34282,131.489576,1
33.34505,131.494081,1
33.337329,131.485872,1
33.291082,131.474127,1
33.288071,131.463161,1
33.282719,131.479753,1
33.29138436,131.465022,1
33.285793,131.476777,1
33.258113,131.493408,1
33.306835,131.498616,1
33.324907,131.480961,1
33.350703,131.464942,1
33.300396,131.47098,1
33.303493,131.475424,1
33.304747,131.465247,1
33.309452,131.489832,1
33.309031,131.493108,1
33.271469,131.499138,1
33.269437,131.500664,1
33.261753,131.506757,1
33.300302,131.477843,1
33.314524,131.484081,1
33.315761,131.479947,1
33.288047,131.495743,1
33.291902,131.48618,1
33.293115,131.486457,1
33.325106,131.454397,1
33.233963,131.486582,1
33.331091,131.484429,1
33.290124,131.482574,1
33.270864,131.505238,1
33.30704475,131.4785167,1
33.273085,131.508174,1
33.270036,131.510218,1
33.312114,131.477689,1
33.284158,131.505462,1
33.278768,131.506856,1
33.280133,131.50357,1
33.288533,131.461079,1
33.31532,131.452761,1
33.282005,131.491151,1
33.28697,131.487664,1
33.26466148,131.5164956,1
33.60594506,131.1857881,1
33.60461305,131.1855135,1
33.604621,131.186856,1
33.6053607,131.1943727,1
33.587696,131.197385,1
33.537157,131.182803,1
33.504186,131.261812,1
33.538116,131.20953,1
33.531477,131.240215,1
33.403023,131.053351,1
33.402259,131.042051,1
33.45329249,130.988317,1
33.410472,131.03362,1
33.612841,131.188864,1
33.593214,131.206596,1
33.5941869,131.2081832,1
33.56413,131.197317,1
33.561103,131.208073,1
33.60879,131.209936,1
33.610039,131.19337,1
33.585983,131.177667,1
33.586628,131.223673,1
33.592612,131.185727,1
33.569491,131.26513,1
33.588515,131.2385,1
33.574537,131.192358,1
33.566337,131.212641,1
33.563759,131.211328,1
33.58612822,131.2442331,1
33.608629,131.244987,1
33.59801434,131.1851763,1
33.59653792,131.2176252,1
33.57469086,131.1913677,1
33.584103,131.270676,1
33.564753,131.235965,1
33.594655,131.190497,1
33.5859221,131.1949332,1
33.597458,131.187789,1
33.596877,131.18864,1
33.423489,131.181204,1
33.456576,131.185542,1
33.495125,131.169233,1
33.495619,131.16949,1
33.4809048,131.2154608,1
33.444443,131.214843,1
33.50405,131.172635,1
33.453474,131.11373,1
33.40734249,131.1570949,1
33.386627,131.166914,1
33.429392,131.099073,1
33.476987,131.083774,1
33.469929,131.141096,1
33.22006801,130.8838694,1
33.30604691,130.9483786,1
33.30797148,130.9466038,1
33.30702078,130.9471868,1
33.33166167,130.9363153,1
33.31609629,130.9155979,1
33.31014787,130.9285333,1
33.3307408,130.8875224,1
33.30991245,131.0252966,1
33.32529776,130.9361703,1
33.35354344,130.9543665,1
33.30451651,130.948424,1
33.31919977,130.9341455,1
33.365715,130.971848,1
33.30853295,130.939181,1
33.31055555,130.9391053,1
33.33104985,130.968743,1
33.33163618,130.9827851,1
33.33107758,130.980215,1
33.33078852,130.9791915,1
33.29543358,130.9060707,1
33.33590354,130.9458985,1
33.32607774,130.9428969,1
33.32720237,130.9428596,1
33.32594017,130.9418496,1
33.054386,130.987115,1
33.08864321,130.9863236,1
33.09495436,130.976343,1
33.1125952,130.962014,1
33.3095477,130.9238808,1
33.32725008,130.9389971,1
33.33109758,130.9337068,1
33.35063198,130.9429503,1
33.35138262,130.9371969,1
33.349702,130.942535,1
33.30163679,130.9368664,1
33.30206047,130.93668,1
33.31228667,130.9114564,1
33.31052267,130.9084389,1
33.33654321,130.9621739,1
33.33650736,130.9610527,1
33.30681629,130.9312747,1
33.202679,130.937653,1
33.19285079,130.9681135,1
33.20934547,130.9192794,1
33.210093,130.918382,1
33.2113885,130.91668,1
33.21092654,130.9162095,1
33.210578,130.920875,1
33.191523,130.91601,1
33.21937485,130.8842389,1
33.255327,130.848616,1
33.249711,130.956418,1
33.25782299,130.9679003,1
33.25698,130.969788,1
33.243632,130.976204,1
33.232347,130.979063,1
33.19879197,130.9912254,1
33.20026195,130.9886063,1
33.26054,130.960739,1
33.19351884,130.9883633,1
33.26209206,130.988759,1
33.26139629,130.9882162,1
33.27459,130.955122,1
33.33049295,130.9147937,1
33.32834077,130.8958648,1
33.370866,130.889729,1
33.37076564,130.8909651,1
33.365087,130.882562,1
33.32219744,130.9366305,1
33.32153469,130.9360283,1
33.312825,130.938293,1
33.31447844,130.9285226,1
33.31248802,130.9261355,1
33.31156676,130.9184992,1
33.32514544,130.9405748,1
33.13630173,130.9066744,1
33.12912953,130.8826701,1
33.12896279,130.9514179,1
33.139943,130.972508,1
33.3310635,130.9162596,1
33.34161787,130.9186827,1
33.34093659,130.9194678,1
33.23312847,131.0194337,1
33.227605,131.019124,1
33.28359375,131.007463,1
33.274047,131.000558,1
33.25052574,131.0350958,1
33.25508749,131.0199072,1
33.2465393,131.0325138,1
33.204633,131.014232,1
33.28241503,130.9772267,1
33.21945901,131.0274807,1
33.28731577,131.0054996,1
33.40443267,130.9370432,1
33.31743682,130.9413552,1
33.3150236,130.9424027,1
33.31749406,130.9440181,1
33.3197653,130.9418983,1
33.3223264,130.9443127,1
33.31885126,130.951201,1
33.32056641,130.9510713,1
33.3192415,130.9392213,1
33.31988275,130.9396229,1
33.31205488,130.9351079,1
33.36157282,130.9578964,1
33.3135719,130.94005,1
33.32213358,130.9067097,1
33.33466235,131.0276942,1
33.3154826,130.9240474,1
33.3149758,130.9253758,1
33.33326235,130.9401591,1
33.381967,130.994148,1
33.32846211,130.9231093,1
33.328298,130.921948,1
33.32533526,130.9055575,1
33.32287894,130.9007296,1
33.31643017,130.9358911,1
33.31526465,130.9372751,1
33.325024,130.870669,1
33.39432321,130.9414867,1
33.381006,130.940112,1
32.954716,131.908505,1
32.856541,131.693287,1
32.859686,131.695706,1
32.826677,131.656911,1
32.864392,131.633509,1
32.856297,131.630751,1
32.852453,131.629169,1
32.854112,131.630295,1
32.849578,131.630169,1
32.854673,131.680455,1
32.857302,131.673809,1
32.858469,131.682443,1
32.848999,131.650326,1
32.845862,131.718505,1
32.84239,131.613534,1
32.970058,131.904409,1
