緯度,経度,情報
34.62967918,135.5078249,1
34.64248409,135.507534,1
34.62855257,135.5096723,1
34.62600305,135.5117665,1
34.63687849,135.5070391,1
34.6366551,135.5086426,1
34.63981802,135.50866,1
34.63867146,135.5059908,1
34.63716349,135.5128626,1
34.63671072,135.51508,1
34.63539605,135.5166186,1
34.63543583,135.5147953,1
34.63359613,135.5147305,1
34.6318052,135.5132728,1
34.62767778,135.5149829,1
34.62421824,135.5124396,1
34.62099,135.511404,1
34.64225017,135.5214486,1
34.639777,135.52098,1
34.63991921,135.5193825,1
34.6294191,135.5173339,1
34.62829737,135.5184045,1
34.64441883,135.5184836,1
34.64101551,135.5171873,1
34.6418175,135.5178512,1
34.64155825,135.5136889,1
34.63669135,135.5096554,1
34.63580788,135.5035371,1
34.6347869,135.5048297,1
34.63214769,135.5039757,1
34.63313647,135.5075313,1
34.63043184,135.5034128,1
34.62183754,135.5186252,1
34.6244008,135.4964423,1
34.64282928,135.522187,1
34.63986192,135.5259604,1
34.6473713,135.524812,1
34.64492786,135.5231687,1
34.64382969,135.5244767,1
34.64346678,135.5252788,1
34.64189382,135.5262322,1
34.63075519,135.5214424,1
34.62834529,135.5213311,1
34.61796029,135.5083456,1
34.63955552,135.5224141,1
34.63907514,135.525232,1
34.63865653,135.5192286,1
34.63514602,135.5212963,1
34.63634157,135.5217673,1
34.62655923,135.5063467,1
34.62610211,135.5051816,1
34.62727649,135.5040696,1
34.62965184,135.5001863,1
34.71888899,135.5347615,1
34.7210723,135.5329266,1
34.719559,135.536481,1
34.71645972,135.537199,1
34.71426773,135.5393934,1
34.71392819,135.5394023,1
34.71293792,135.5395723,1
34.71501866,135.5417274,1
34.71771357,135.5385231,1
34.71994645,135.5394974,1
34.72043588,135.5395028,1
34.71701614,135.53958,1
34.71766623,135.5420075,1
34.71843343,135.5408775,1
34.71830266,135.5401104,1
34.71893319,135.5395811,1
34.71786984,135.5429766,1
34.71791687,135.5433754,1
34.71769903,135.5491489,1
34.72658882,135.5539215,1
34.71606246,135.5501513,1
34.71723928,135.5516275,1
34.72010351,135.5542408,1
34.715427,135.556769,1
34.7181162,135.556771,1
34.71637327,135.5620322,1
34.71595272,135.5619531,1
34.71740795,135.5612889,1
34.71784448,135.5614463,1
34.71816644,135.5630406,1
34.7209896,135.5489982,1
34.72025556,135.5500809,1
34.72227479,135.5514925,1
34.72273701,135.5514022,1
34.72357101,135.5497472,1
34.72188966,135.5589642,1
34.72098373,135.5586884,1
