緯度,経度,情報
38.282692,140.917396,1
38.28340205,140.9150357,1
38.28836354,140.9295893,1
38.24565681,140.983527,1
38.2566625,140.9783425,1
38.24918904,140.9882463,1
38.25409106,140.9874728,1
38.25819579,140.9856968,1
38.29974329,140.9427685,1
38.30151078,140.9454647,1
38.30647263,140.9535253,1
38.25840537,140.9040392,1
38.25456348,140.8997552,1
38.2668459,140.9032698,1
38.26056339,140.897017,1
38.26285699,140.9007564,1
38.262139,140.899899,1
38.27759334,140.893368,1
38.2769208,140.8978311,1
38.27784348,140.9064834,1
38.274122,140.8992513,1
38.26482259,141.0056881,1
38.2636463,140.9973857,1
38.26758767,140.9934968,1
38.27473156,140.9932206,1
38.27059912,140.9726763,1
38.27021682,140.9737859,1
38.27845,140.984853,1
38.277289,140.985819,1
38.278251,140.985809,1
38.277648,140.988491,1
38.27583,140.98745,1
38.2785819,140.9878807,1
38.27622239,140.9286582,1
38.26576453,140.8982507,1
38.27151349,140.9429846,1
38.26478314,140.9529287,1
38.267849,140.956196,1
38.27110533,140.9804556,1
38.26533178,140.9818234,1
38.267687,140.985056,1
38.282417,140.975725,1
38.28696934,140.9095157,1
38.290746,140.910452,1
38.29234527,140.9150192,1
38.291025,140.919896,1
38.263102,140.967759,1
38.27997776,140.9622212,1
38.278805,140.958226,1
38.2608778,140.9158053,1
38.26044861,140.917534,1
38.25895534,140.9196568,1
38.277276,140.9172696,1
38.27754408,140.9123799,1
38.26343986,140.9330035,1
38.26484756,140.9763197,1
38.28033427,140.971565,1
38.281267,140.974065,1
38.277906,140.975905,1
38.278134,140.975449,1
38.278513,140.975328,1
38.278829,140.975164,1
38.279595,140.97494,1
38.280185,140.974381,1
38.280538,140.974179,1
38.280879,140.974033,1
38.281107,140.973378,1
38.28141,140.973555,1
38.280816,140.974634,1
38.280479,140.975144,1
38.280467,140.975525,1
38.280075,140.975134,1
38.279094,140.975708,1
38.279048,140.976147,1
38.278563,140.976002,1
38.27362141,140.9583445,1
38.25922244,140.9607541,1
38.28106383,140.9041201,1
38.261583,140.890734,1
38.24738955,140.941092,1
38.20314733,140.9705054,1
38.20105717,140.9599968,1
38.24445935,140.9053087,1
38.24395787,140.9049411,1
38.24217774,140.8851855,1
38.23845988,140.9130343,1
38.228531,140.915456,1
38.22594672,140.9137826,1
38.22262077,140.9224285,1
38.2556386,140.9317249,1
38.25918264,140.9475738,1
38.24244707,140.9290808,1
38.246863,140.928509,1
38.25046632,140.8926322,1
38.23614996,140.8970279,1
38.23384338,140.906946,1
38.24094106,140.9425174,1
38.2373455,140.9457679,1
38.22655059,140.9660649,1
38.24847818,140.8811131,1
38.22246526,140.98025,1
38.21020886,140.952237,1
38.2134614,140.9564269,1
38.22666044,140.9007432,1
38.22985481,140.899377,1
38.1961638,140.9444632,1
38.24674667,140.9173406,1
38.18126478,140.9566738,1
38.24148972,140.8894943,1
38.24136567,140.8926136,1
38.19889564,140.9498679,1
38.25136959,140.901737,1
38.25325789,140.8871035,1
38.25301982,140.888612,1
38.2153739,140.9327846,1
38.21351195,140.9338485,1
38.25288,140.944576,1
38.252943,140.939096,1
38.249364,140.941375,1
38.251553,140.949424,1
38.27390193,140.7621547,1
38.29703926,140.8861131,1
38.25936,140.874625,1
38.29018053,140.7470319,1
38.29983404,140.7738811,1
38.2718014,140.7761194,1
38.25489523,140.8646125,1
38.265185,140.8530283,1
38.28900424,140.8247567,1
38.29065686,140.8254591,1
38.26617685,140.8842199,1
38.2762213,140.882287,1
38.26439316,140.7648162,1
38.25629632,140.7604111,1
38.30007127,140.682074,1
38.26754799,140.7861819,1
38.25176521,140.8791988,1
38.26836175,140.8412091,1
38.28657786,140.8568172,1
38.27717037,140.8445392,1
38.28222432,140.8342305,1
38.27492336,140.8369526,1
38.28844832,140.8336031,1
38.31678722,140.6355646,1
38.2616475,140.8619159,1
38.30334674,140.8494853,1
38.30425212,140.8520175,1
38.28019927,140.8537458,1
38.28081007,140.8892501,1
38.2688723,140.8903918,1
38.27335731,140.7394836,1
38.2684665,140.7587347,1
38.28509008,140.6933815,1
38.27127754,140.8736975,1
38.277655,140.87568,1
38.27908,140.873512,1
38.2712632,140.8798865,1
38.30389919,140.6330523,1
38.28095192,140.8632731,1
38.29193615,140.7503305,1
38.26561782,140.8063749,1
38.26022199,140.8085945,1
38.30699381,140.8411767,1
38.30501708,140.8416161,1
38.30573715,140.837418,1
38.28643244,140.8803922,1
38.28694039,140.8807103,1
38.29418284,140.8794468,1
38.33432745,140.6985645,1
38.29193929,140.850041,1
38.28854988,140.8458465,1
38.29661405,140.8389758,1
38.29656092,140.8340344,1
38.27656368,140.8631158,1
38.26339249,140.8570561,1
38.29337672,140.8637138,1
