緯度,経度,情報
31.862083,131.418491,1
31.859299,131.414729,1
31.859307,131.414743,1
31.94270569,131.4513789,1
31.942672,131.451465,1
31.93117073,131.4527352,1
31.930686,131.461467,1
31.939547,131.462633,1
31.933967,131.463573,1
31.909941,131.42589,1
31.909459,131.425791,1
31.909812,131.428142,1
31.9069415,131.4433111,1
31.90734339,131.4428187,1
31.90680223,131.4443691,1
31.90660829,131.4454678,1
31.89938993,131.4496942,1
31.90613553,131.4448641,1
31.969016,131.388924,1
31.90740534,131.4337812,1
31.922167,131.433019,1
31.923354,131.431506,1
31.92356911,131.4321675,1
32.03641058,131.4687915,1
32.037433,131.469239,1
32.01957801,131.4857103,1
32.02569568,131.4743395,1
32.0253874,131.4744611,1
32.02671826,131.4752514,1
32.02556927,131.4755993,1
32.00300522,131.4763319,1
32.00932003,131.479961,1
32.00771915,131.4791095,1
31.948791,131.406484,1
31.94224277,131.4189545,1
31.942242,131.419004,1
31.94512646,131.4175967,1
31.94367437,131.4274981,1
31.94368157,131.4276792,1
31.811103,131.445641,1
31.94743,131.431462,1
31.937283,131.431271,1
31.9542,131.432776,1
31.902445,131.397592,1
31.902935,131.402777,1
31.903617,131.406253,1
31.900099,131.395081,1
31.899212,131.400811,1
31.89931048,131.4004804,1
31.92425,131.416767,1
31.92483,131.416749,1
31.924879,131.417931,1
31.924874,131.417931,1
31.830823,131.424216,1
31.831003,131.412556,1
31.831021,131.412556,1
31.831116,131.426954,1
31.831124,131.4269602,1
31.828807,131.428488,1
31.82580539,131.4237137,1
31.825881,131.423306,1
31.827467,131.423952,1
31.833475,131.430021,1
31.9277743,131.4221095,1
31.857973,131.42422,1
31.859247,131.420628,1
31.92661986,131.4101755,1
31.93253896,131.410882,1
31.90886364,131.4429032,1
31.92264682,131.4397418,1
31.92291019,131.4398312,1
31.92269203,131.4384797,1
31.90851307,131.4462691,1
31.90935514,131.4473401,1
31.90957874,131.4475426,1
31.91517222,131.4528471,1
31.9223,131.439075,1
31.92610233,131.445692,1
31.925843,131.445462,1
31.92555874,131.4448966,1
31.930696,131.445065,1
31.914066,131.449534,1
31.910993,131.45023,1
31.90157697,131.4423304,1
31.91978323,131.4427413,1
31.92049489,131.442588,1
31.92028377,131.4422261,1
31.9156912,131.4446941,1
31.92255089,131.4421807,1
31.90923972,131.4392573,1
31.91553789,131.4400029,1
31.91091876,131.4470285,1
31.92180838,131.444736,1
31.91743132,131.4505293,1
31.91809158,131.4507423,1
31.91045732,131.451166,1
31.91719629,131.4415522,1
31.92164478,131.4411646,1
31.916501,131.446953,1
31.91837036,131.4486359,1
31.91809121,131.4486234,1
31.91829112,131.4481012,1
31.91816749,131.447292,1
31.91531184,131.4459529,1
31.908645,131.41869,1
31.90968022,131.4203392,1
31.92359,131.423424,1
31.92378745,131.4239906,1
31.913619,131.433451,1
31.914128,131.4353071,1
31.91460958,131.4353132,1
31.917371,131.434717,1
31.91975749,131.4352655,1
31.919463,131.431805,1
31.91135,131.42469,1
