緯度,経度,情報
36.68535473,137.227136,1
36.69424,137.202615,1
36.508709,137.229834,1
36.69893974,137.2323543,1
36.69573261,137.2321262,1
36.69393498,137.2251699,1
36.701854,137.225706,1
36.708122,137.221155,1
36.582746,137.326586,1
36.71305319,137.2259976,1
36.634278,137.212192,1
36.719318,137.220611,1
36.605104,137.208066,1
36.604529,137.204395,1
36.730608,137.262086,1
36.74095,137.256756,1
36.610713,137.290695,1
36.611271,137.290665,1
36.61000681,137.2907101,1
36.76330365,137.2513437,1
36.461964,137.24361,1
36.54777,137.226946,1
36.549843,137.224815,1
36.75419945,137.2305934,1
36.75635468,137.234327,1
36.76015292,137.2335911,1
36.76020509,137.2402452,1
36.75554696,137.2321036,1
36.721183,137.139494,1
36.62696176,137.2366908,1
36.62632045,137.2379332,1
36.629346,137.221072,1
36.70526777,137.2130335,1
36.70302817,137.2123715,1
36.70354428,137.2131279,1
36.69228,137.165585,1
36.634142,137.251327,1
36.6296831,137.2456868,1
36.691601,137.141257,1
36.686964,137.219482,1
36.703321,137.190003,1
36.698519,137.193533,1
36.699312,137.186103,1
36.70194563,137.1848215,1
36.70228029,137.184582,1
36.69692777,137.1894266,1
36.69598552,137.1947281,1
36.705228,137.194911,1
36.716828,137.161363,1
36.71697407,137.1647623,1
36.715469,137.16407,1
36.713886,137.169028,1
36.712375,137.164895,1
36.70047596,137.2631309,1
36.700538,137.262473,1
36.706625,137.265264,1
36.69433045,137.2463708,1
36.69438917,137.2479556,1
36.694394,137.253705,1
36.67135449,137.2453468,1
36.686201,137.184558,1
36.69112553,137.1882841,1
36.68484,137.1853323,1
36.73320402,137.2645852,1
36.577642,137.206353,1
36.74919242,137.2299423,1
36.74643,137.229759,1
36.7462758,137.2289473,1
36.67130575,137.211805,1
36.66944289,137.2167273,1
36.66973006,137.2163228,1
36.585483,137.223966,1
36.586411,137.214291,1
36.583688,137.221539,1
36.69943,137.215913,1
36.70042261,137.2139976,1
36.69913704,137.2125355,1
36.562368,137.213234,1
36.668552,137.240693,1
36.67344103,137.2398548,1
36.67185,137.253602,1
36.67136727,137.2522801,1
36.583455,137.097037,1
36.589492,137.049224,1
36.579935,137.064937,1
36.551109,137.063537,1
36.587471,137.084196,1
36.580053,137.080844,1
36.5847,137.080571,1
36.75685641,137.1949582,1
36.75488198,137.1954115,1
36.75345834,137.202912,1
36.75245111,137.2007983,1
36.75721272,137.1952662,1
36.697035,137.204354,1
36.69669,137.204492,1
36.695882,137.203698,1
36.64658217,137.1899752,1
36.64487305,137.1900923,1
36.560027,137.220895,1
36.471098,137.24289,1
36.470854,137.242972,1
36.561304,137.20223,1
36.56497,137.189973,1
36.564573,137.191424,1
36.574347,137.384049,1
36.67567782,137.2200448,1
36.693026,137.188356,1
36.622538,137.252915,1
36.62225749,137.253088,1
36.62233069,137.252514,1
36.586493,137.207665,1
36.609758,137.30096,1
36.70887375,137.2408237,1
36.71593251,137.24751,1
36.69690522,137.2140659,1
36.70268715,137.2519482,1
36.702115,137.251822,1
36.69831297,137.2522985,1
36.711098,137.26298,1
36.69558353,137.2123138,1
36.63260844,137.193906,1
36.74282661,137.2392888,1
36.74151185,137.238496,1
36.701221,137.20677,1
36.729686,137.267702,1
36.73150143,137.2712538,1
36.75974736,137.2604039,1
36.75039254,137.3102614,1
36.75031586,137.3091987,1
36.75096039,137.3069873,1
36.75504216,137.3146562,1
36.73913776,137.3264337,1
36.71995005,137.2923315,1
36.7206389,137.2913089,1
36.721096,137.292954,1
36.739732,137.324639,1
36.69247506,137.2824339,1
36.722435,137.312816,1
36.72312898,137.3132998,1
36.72344825,137.3137046,1
36.72648514,137.314108,1
36.75457242,137.3122931,1
36.75173939,137.3069652,1
36.75596627,137.296825,1
36.75014697,137.2941944,1
