緯度,経度,情報
33.973583,130.95992,1
34.003422,130.924716,1
34.005582,130.917778,1
34.00655,130.91727,1
34.023275,130.915596,1
34.028727,130.919935,1
34.032605,130.917005,1
34.033111,130.919044,1
34.026028,130.908524,1
33.953532,130.919784,1
34.00469056,130.934344,1
34.003494,130.931609,1
34.00370284,130.9351787,1
33.999305,130.958062,1
34.00266084,130.9571454,1
34.053235,131.00022,1
34.07388753,130.8956078,1
34.07021214,130.8903481,1
34.06342266,131.0544235,1
34.064016,131.053223,1
34.071393,131.049652,1
34.046119,131.015079,1
34.05020499,131.013354,1
33.95804669,130.9268998,1
33.95828431,130.9367836,1
33.954625,130.931078,1
33.968315,130.941539,1
33.968735,130.94165,1
34.120764,131.030822,1
34.12219101,131.0305988,1
34.1216581,131.0305935,1
34.12331489,131.0309825,1
34.1230786,131.0268975,1
34.13073189,131.0343528,1
34.13432232,131.0200136,1
34.11561465,131.0490516,1
34.11838831,131.0309379,1
34.132722,131.00086,1
34.13540501,130.9946329,1
34.073306,130.898549,1
34.072389,130.9011019,1
34.07247,130.899156,1
33.969162,130.915815,1
33.969655,130.919388,1
33.99547,130.941229,1
34.00056653,130.9193886,1
33.96884984,130.9312929,1
33.97264836,130.9295616,1
33.973194,130.92742,1
33.975718,130.931538,1
33.971203,130.9305,1
33.9676699,130.926583,1
33.96613412,130.9316974,1
33.96502495,130.9301011,1
33.99297,130.920748,1
33.962951,130.944815,1
33.960751,130.942372,1
33.951386,130.930245,1
33.96225396,130.9221979,1
33.985913,130.942158,1
33.98744535,130.9263827,1
33.986017,130.928292,1
33.98950499,130.9272736,1
34.00964843,130.9607473,1
34.01070493,130.958324,1
34.009468,130.94776,1
34.00823979,130.9535623,1
34.011896,130.951803,1
34.00663,130.971407,1
34.068728,131.031327,1
34.07164374,131.0425434,1
34.074256,131.030977,1
34.07092734,131.0394613,1
34.071428,131.033963,1
33.962191,130.920341,1
33.96057222,130.920062,1
33.95744635,130.913567,1
33.96660829,130.9384289,1
33.96768053,130.9371457,1
33.98932444,130.9132256,1
33.986055,130.915813,1
34.065593,131.021966,1
34.064018,131.021468,1
34.063518,131.018587,1
34.05842169,131.0240704,1
33.96024713,130.9233163,1
33.95971934,130.9424699,1
34.033331,131.006518,1
34.031208,131.006864,1
33.997827,130.939772,1
33.974267,130.969882,1
33.98797444,130.9335138,1
33.990247,130.937849,1
34.011417,130.92612,1
34.012371,130.924705,1
34.100094,130.787207,1
34.10175175,130.7876302,1
34.071075,130.902857,1
34.089746,131.073901,1
34.08826429,131.071629,1
34.091233,131.073089,1
34.088557,130.879943,1
34.08946936,130.8789457,1
33.99793232,130.9149669,1
33.994664,130.918212,1
34.038001,130.958951,1
34.099865,130.970784,1
34.10139025,130.9698104,1
