緯度,経度,情報
35.6506172,138.5664387,1
35.64507429,138.5674906,1
35.63957122,138.5639542,1
35.69022612,138.5436434,1
35.67200052,138.5605876,1
35.67118556,138.5600244,1
35.67023193,138.5572429,1
35.6769364,138.5408444,1
35.6651948,138.5326612,1
35.66610349,138.5340103,1
35.66608824,138.5329026,1
35.6643451,138.533397,1
35.57713323,138.5834466,1
35.58630991,138.5886107,1
35.61368558,138.5800228,1
35.614161,138.579911,1
35.64902798,138.5512563,1
35.64787543,138.5540783,1
35.59440701,138.5755777,1
35.594801,138.575525,1
35.71294709,138.5525679,1
35.66899315,138.5476785,1
35.66650818,138.5470531,1
35.66081577,138.5495678,1
35.6628279,138.5650237,1
35.66625331,138.5665533,1
35.66092966,138.5633359,1
35.67469285,138.5755947,1
35.66720315,138.5388043,1
35.5307945,138.6099125,1
35.6295587,138.556047,1
35.68675272,138.574269,1
35.68634752,138.5769423,1
35.62856563,138.5658108,1
35.64466304,138.6120451,1
35.64351531,138.6130065,1
35.67684925,138.5405064,1
35.66038804,138.5382628,1
35.65367025,138.5512081,1
35.6544932,138.5488475,1
35.64875885,138.5655205,1
35.64620365,138.5650829,1
35.64068958,138.5580555,1
35.63724503,138.5547892,1
35.6354641,138.557428,1
35.63276073,138.5522211,1
35.80446698,138.5871422,1
35.691698,138.529308,1
35.69124029,138.5296862,1
35.65579659,138.5973198,1
35.6568531,138.6025675,1
35.6574753,138.5615464,1
35.65830468,138.5613354,1
35.63867508,138.5842624,1
35.62167462,138.5869682,1
35.64564115,138.602901,1
35.62604218,138.5749078,1
35.62618356,138.5786708,1
35.6515616,138.5551944,1
35.65261164,138.557089,1
35.64882824,138.5558009,1
35.602557,138.587517,1
35.60289837,138.5877055,1
35.6594276,138.5805366,1
35.65979715,138.5817106,1
35.65840768,138.5834871,1
35.66255051,138.5391092,1
35.60887927,138.5760008,1
35.609307,138.575437,1
35.65221766,138.5760735,1
35.64306349,138.5833483,1
35.68043445,138.5412236,1
35.68452991,138.5422808,1
35.65295981,138.6253965,1
35.65632865,138.6224362,1
35.66283883,138.5900208,1
35.65646,138.565894,1
35.65528415,138.5676194,1
35.67763987,138.5763371,1
35.67881807,138.5777089,1
35.68172751,138.579032,1
35.59768957,138.5613658,1
35.60174954,138.5644589,1
35.619218,138.569234,1
35.61846953,138.569052,1
35.61408996,138.5658599,1
35.625347,138.550476,1
35.67922346,138.5555502,1
35.67108399,138.5467088,1
35.66001207,138.567861,1
35.66333985,138.5766264,1
35.63034447,138.5741141,1
35.66559437,138.5360845,1
35.65148326,138.5831496,1
35.65502046,138.5807821,1
35.6502494,138.583757,1
35.66491181,138.5403668,1
35.66625546,138.5416986,1
35.66316902,138.5857986,1
35.68027133,138.5500628,1
35.64888661,138.5751942,1
35.64341572,138.5751612,1
35.65547789,138.5448269,1
35.64752351,138.5420545,1
35.65368541,138.54,1
