緯度,経度,情報
35.47960327,133.0511261,1
35.476378,132.949349,1
35.48066646,132.9489507,1
35.4807975,132.9484036,1
35.452517,133.0489251,1
35.47070849,133.0417509,1
35.47955399,133.067242,1
35.46944412,133.0670809,1
35.47240551,133.0654937,1
35.47165408,133.066942,1
35.51541222,132.9216276,1
35.51545152,132.9219388,1
35.42646065,133.0091678,1
35.38873219,132.9888968,1
35.38853248,132.9888861,1
35.43117095,133.0068455,1
35.42597295,133.0025943,1
35.42644264,133.0043556,1
35.426936,133.005094,1
35.42744617,133.0044011,1
35.44555967,133.08053,1
35.44319024,133.0752114,1
35.4414971,133.0752276,1
35.441048,133.07414,1
35.440566,133.07401,1
35.48553108,132.9992943,1
35.4848724,132.9997755,1
35.45688972,133.0610024,1
35.456421,133.0610451,1
35.45729192,133.0636119,1
35.44115896,133.0904823,1
35.53785226,133.0275573,1
35.53575679,133.0279638,1
35.53573121,133.0290039,1
35.5358676,133.0292051,1
35.52001045,132.9972491,1
35.52051474,132.9975763,1
35.52205989,132.9957552,1
35.52192579,132.9965961,1
35.52782842,132.9867144,1
35.53348237,132.9749685,1
35.5287311,132.9794285,1
35.52207081,133.0229919,1
35.52285966,133.02225,1
35.52258278,133.0266121,1
35.52171308,133.0268439,1
35.51790142,133.0098534,1
35.40600341,132.9034758,1
35.40560325,132.9034518,1
35.40265192,132.9051316,1
35.41082105,132.9159148,1
35.41070989,132.9175234,1
35.40922279,132.9151754,1
35.40812976,132.9094774,1
35.40680081,132.9561624,1
35.40251806,132.9616175,1
35.40304872,132.9608196,1
35.50580693,132.9460895,1
35.48495341,133.0461946,1
35.45456546,133.0538314,1
35.49212457,132.9206193,1
35.4917435,132.920947,1
35.48868742,132.9206405,1
35.47454053,132.9187446,1
35.45341943,133.0570467,1
35.45351556,133.0570306,1
35.43712097,133.0642152,1
35.44792262,133.0580215,1
35.44643814,133.0684114,1
35.48016192,133.0621902,1
35.48348078,133.0627958,1
35.49596098,133.0258612,1
35.49484537,133.0258776,1
35.4945129,133.0271657,1
35.48523431,133.0684015,1
35.47980103,133.0863123,1
35.47840226,133.074906,1
35.47954684,133.0785549,1
35.48168134,133.0780637,1
35.48712923,133.076833,1
35.48507782,133.0790778,1
35.48599111,133.0763805,1
35.45087218,133.0769982,1
35.45843501,133.0689867,1
35.45235072,133.0715172,1
35.4523114,133.0716298,1
35.46937226,133.0911927,1
35.477702,133.020311,1
35.47698132,133.004571,1
35.46537763,133.0410187,1
35.48028093,132.9832239,1
35.46149879,133.0636553,1
35.46157307,133.06343,1
35.43168418,133.0802719,1
35.432417,133.061725,1
35.43158709,133.0832325,1
35.43120213,133.0832583,1
35.48039664,133.0602408,1
35.46531648,133.1046662,1
35.4659369,133.104811,1
35.46474136,133.1028979,1
35.47275997,133.0529982,1
35.441548,133.053281,1
35.56550773,133.0684596,1
35.5645337,133.065451,1
35.56481832,133.0660771,1
35.56455942,133.064019,1
35.55266413,133.0506689,1
35.58600358,133.1003311,1
35.48590955,133.0540003,1
35.48540723,133.0544455,1
35.40107574,133.0322683,1
35.39988177,133.0305932,1
35.39980744,133.0308292,1
35.4982371,133.0802829,1
35.5009247,133.0797476,1
35.5013858,133.0795066,1
35.42750985,133.1289112,1
35.43818854,133.1651192,1
35.4379403,133.16835,1
35.43826083,133.1685748,1
35.43737929,133.1692138,1
35.42636333,133.128948,1
35.42648407,133.1303762,1
35.42631256,133.129507,1
35.40425686,133.1553908,1
35.40466555,133.155399,1
35.42913679,133.1523663,1
35.428138,133.150881,1
35.42583334,133.1490595,1
35.42767819,133.1542374,1
35.42846981,133.1564727,1
35.42821239,133.1544839,1
35.49529714,133.0295914,1
35.46190609,133.0698096,1
35.46193956,133.070355,1
35.490003,132.973372,1
35.45736431,133.0822486,1
35.45696492,133.0818897,1
35.45702609,133.081482,1
35.44727576,133.085126,1
35.46654371,133.0396126,1
35.46673077,133.0402127,1
35.47228115,133.0470418,1
35.47570877,133.0458643,1
35.47192621,133.049084,1
35.47198519,133.0485556,1
35.4629566,133.0549283,1
35.46286047,133.0549498,1
35.4730883,133.062867,1
35.4377237,133.0549903,1
35.44050788,133.0478656,1
35.43648716,133.0423354,1
35.46526356,133.0559467,1
35.43957399,133.0695454,1
35.406222,133.090489,1
35.40343476,133.0986838,1
35.4029919,133.0880416,1
35.40422927,133.0896718,1
35.40633713,133.0957024,1
35.419544,133.096686,1
35.50865975,133.1931143,1
35.50189043,133.1602982,1
35.49481849,133.1746156,1
35.49518534,133.1754087,1
35.49460192,133.172677,1
35.495678,133.172355,1
35.49612487,133.1712286,1
35.44094581,133.1178593,1
35.44507436,133.1185232,1
35.44580419,133.1181316,1
35.49326221,133.0392238,1
35.48616679,133.0349884,1
35.48770458,133.034878,1
35.53410326,133.1633897,1
35.53535244,133.1655724,1
35.53507435,133.165289,1
35.534748,133.1648629,1
35.56764229,133.2204738,1
35.57140626,133.2299195,1
35.55083406,133.2285171,1
35.56362395,133.1371302,1
35.55844202,133.3027674,1
35.55914099,133.1843573,1
35.55206633,133.1643514,1
35.44479222,133.0545751,1
35.44579107,133.055036,1
35.43941386,133.0604393,1
35.43689132,133.0575784,1
35.43500463,133.0579058,1
35.50909731,133.1073671,1
35.47529501,133.0560474,1
35.49232043,133.0461446,1
35.47715312,133.0650923,1
35.47633621,133.0654946,1
35.47735407,133.0650923,1
35.4784064,133.0550629,1
35.51140839,133.1285261,1
35.51522451,133.1356337,1
35.44351968,133.096078,1
35.51480949,133.1326236,1
34.85958724,132.2548531,1
34.86541636,132.1651242,1
34.90222951,132.095503,1
34.9040617,132.0964108,1
34.78323298,131.9547858,1
34.78093602,131.9571372,1
34.77683984,132.1097308,1
35.38891916,132.7697243,1
35.38949643,132.769684,1
35.38821561,132.7688472,1
35.36039997,132.7572084,1
35.36049049,132.7579572,1
35.3610912,132.7560041,1
35.453379,132.862277,1
35.4533343,132.8612012,1
35.36193899,132.7493223,1
35.36204398,132.7503576,1
35.35026045,132.7502941,1
35.35148774,132.7500339,1
35.3511208,132.751069,1
35.3482619,132.756443,1
35.34565721,132.7546112,1
35.35302875,132.7541142,1
35.36178301,132.7449626,1
35.36174801,132.7456144,1
35.36084364,132.7475563,1
35.358235,132.7466605,1
35.4506044,132.7592972,1
35.45085834,132.7588751,1
35.38622866,132.7693509,1
35.28675304,132.7241593,1
35.28642025,132.7238803,1
35.28453513,132.7252643,1
35.35461259,132.7092013,1
35.33877826,132.7320012,1
35.33971079,132.7268764,1
35.34177787,132.7277353,1
35.34090707,132.7291569,1
35.44115218,132.7453966,1
35.4408091,132.7456085,1
35.44031393,132.7458993,1
35.35125257,132.6748804,1
35.34338335,132.7409249,1
35.33987723,132.7437283,1
35.33928627,132.7433612,1
35.33961447,132.743152,1
35.33135848,132.6682568,1
