緯度,経度,情報
41.93193267,140.939788,1
41.73853947,140.9316806,1
41.84175816,140.7669862,1
41.86183945,140.7810219,1
41.79442818,140.8577171,1
41.83127054,140.7280459,1
41.849646,140.7335145,1
41.81433252,141.1806881,1
41.79200956,140.8028348,1
41.76336187,140.710807,1
41.758649,140.869163,1
41.78824458,141.1121366,1
41.78609187,140.8058916,1
41.7875953,140.8029721,1
41.77612744,140.8016492,1
41.77675174,140.8103407,1
41.8092647,141.1095068,1
41.80262713,140.7760612,1
41.80544146,140.7864845,1
41.76631255,140.8191923,1
41.76743671,140.8228821,1
41.73956619,140.9301033,1
41.73964512,140.931309,1
41.74404003,140.9163201,1
41.82132659,140.7312299,1
41.78382997,140.8158918,1
41.78725661,140.8201297,1
41.83004991,141.1438277,1
41.83471826,141.1409934,1
41.83281937,141.1412284,1
41.76148702,140.8463368,1
41.7863331,140.781346,1
41.82031469,140.7635804,1
41.8351833,140.7897086,1
41.79660565,140.8241755,1
41.80398732,140.8323006,1
41.75778063,140.7180631,1
41.75457391,140.7186181,1
41.75615669,140.8763063,1
41.8303021,140.7616409,1
41.837171,140.769194,1
41.90609078,140.9713262,1
41.90508181,140.9688695,1
41.90576186,140.9792837,1
41.76355239,141.0753747,1
41.76135551,140.8364984,1
41.74745102,141.0739891,1
41.74603193,141.0735614,1
41.81160601,140.7656004,1
41.75361872,141.0761097,1
41.75769804,141.077235,1
41.83977551,141.1426233,1
41.80557963,140.7734687,1
41.81393399,140.7749261,1
41.78296266,140.7841277,1
41.78225987,140.7832273,1
41.78400723,140.7876035,1
41.78637303,140.7860877,1
41.78032145,140.7965349,1
41.78503606,141.1055698,1
41.79404817,140.7874063,1
41.80032677,140.7925615,1
41.80478091,140.7939817,1
41.78709341,141.1406511,1
41.89656186,140.9942637,1
41.89613167,140.9949819,1
41.88793545,141.0217589,1
41.72270024,141.012762,1
41.8013854,140.7428924,1
41.80272129,140.741839,1
41.76703624,140.8631608,1
41.8252681,140.8504288,1
41.76856769,140.7082984,1
43.20301588,140.9944071,1
43.20711989,140.9286046,1
43.18492944,140.9891904,1
43.18820088,140.9954911,1
43.18695074,140.9962254,1
43.13714494,141.1413695,1
43.1397339,141.1551402,1
43.13892559,141.1586532,1
43.22023311,140.9646618,1
43.2247077,140.998766,1
43.18013698,140.9810097,1
43.1807327,140.9793491,1
43.17449524,141.0328722,1
43.17359664,141.0269147,1
43.17920083,141.0240467,1
43.18666582,141.0058832,1
43.23246415,141.0080972,1
43.17382544,141.0571354,1
43.1721841,141.060207,1
43.18190885,141.0143205,1
43.14817401,141.1460939,1
43.140358,141.161071,1
43.138839,141.16617,1
43.155199,141.039605,1
43.17987159,141.0185117,1
43.17923265,141.0103581,1
43.21325579,140.9836634,1
43.2109774,140.9653106,1
43.208953,140.974417,1
43.16926017,140.9885631,1
43.19323896,141.0029504,1
43.20113933,140.8672317,1
43.19365894,140.9941564,1
43.16601798,141.0411132,1
43.16113413,141.0303703,1
43.2133502,140.9979613,1
43.19918375,140.8632367,1
43.79905594,142.3224905,1
43.73775267,142.3895751,1
43.76611904,142.3562688,1
43.78010771,142.4026317,1
43.78976891,142.4203046,1
43.8095141,142.4103161,1
