緯度,経度,情報
34.55145784,132.4449427,1
34.381756,132.631878,1
34.383655,132.626452,1
34.384567,132.626545,1
34.3849,132.626493,1
34.397285,132.620662,1
34.383913,132.625273,1
34.381403,132.625366,1
34.381196,132.625544,1
34.429369,132.638467,1
34.425103,132.620118,1
34.417639,132.63153,1
34.432459,132.629796,1
34.420508,132.620171,1
34.420962,132.605145,1
34.421272,132.606132,1
34.421787,132.606828,1
34.422081,132.607396,1
34.42165,132.59756,1
34.4267,132.590125,1
34.424314,132.598708,1
34.428643,132.589313,1
34.429908,132.590062,1
34.437074,132.58698,1
34.419879,132.60089,1
34.375894,132.517672,1
34.377329,132.518412,1
34.378748,132.52562,1
34.374697,132.528161,1
34.374805,132.52716,1
34.373873,132.526146,1
34.374436,132.52576,1
34.383084,132.533293,1
34.37212,132.526794,1
34.369656,132.52348,1
34.371329,132.52644,1
34.387504,132.55657,1
34.38938,132.560558,1
34.396652,132.570104,1
34.399315,132.57315,1
34.398675,132.573654,1
34.401156,132.57265,1
34.402982,132.581653,1
34.403904,132.58096,1
34.403117,132.579161,1
34.402781,132.578947,1
34.420801,132.588286,1
34.391189,132.566028,1
34.392655,132.553387,1
34.394147,132.549026,1
34.393913,132.550107,1
34.394128,132.551037,1
34.398065,132.548299,1
34.396327,132.551495,1
34.400343,132.548489,1
34.350871,132.52413,1
34.351294,132.52941,1
34.350577,132.521257,1
34.345218,132.523754,1
34.350466,132.530946,1
34.350136,132.533754,1
34.349827,132.53312,1
34.350109,132.537316,1
34.34747,132.536534,1
34.347883,132.535236,1
34.347848,132.537227,1
34.347816,132.537012,1
34.344616,132.536836,1
34.319718,132.54326,1
34.320862,132.550821,1
34.359133,132.539947,1
34.356704,132.542873,1
34.354092,132.535525,1
34.352527,132.537406,1
34.346013,132.539978,1
34.340325,132.53122,1
34.339597,132.530445,1
34.337944,132.534452,1
34.339396,132.530617,1
34.474221,132.458714,1
34.472732,132.456107,1
34.474096,132.456571,1
34.475884,132.454376,1
34.476026,132.459393,1
34.479458,132.452306,1
34.443531,132.467156,1
34.442268,132.463104,1
34.442695,132.464046,1
34.448489,132.456531,1
34.445026,132.455645,1
34.444191,132.465326,1
34.454645,132.471761,1
34.454833,132.472114,1
34.457565,132.47436,1
34.456325,132.469793,1
34.471387,132.436614,1
34.468355,132.434049,1
34.467735,132.432662,1
34.468371,132.432759,1
34.464979,132.431344,1
34.479688,132.436156,1
34.480491,132.435577,1
