緯度,経度,情報
35.111092,136.792548,1
35.24188372,136.905289,1
35.10387,136.87351,1
35.10034502,136.8721744,1
35.10706483,136.8434944,1
35.10649335,136.8418251,1
35.1047258,136.8436851,1
35.10122781,136.8436764,1
35.091816,136.866269,1
35.08896816,136.8621839,1
35.08701951,136.8647887,1
35.08734803,136.8645847,1
35.08767159,136.8625203,1
35.08627178,136.8635935,1
35.08732235,136.8627146,1
35.08169,136.85678,1
35.084717,136.859975,1
35.08458,136.85939,1
35.084241,136.858795,1
35.08394,136.858086,1
35.0838857,136.8599846,1
35.08192565,136.8610048,1
35.08504176,136.8561855,1
35.08529501,136.8565295,1
35.08635211,136.8568807,1
35.08580151,136.856578,1
35.08599165,136.8574555,1
35.08552336,136.8589103,1
35.08525617,136.8597037,1
35.08573148,136.8594651,1
35.08598588,136.8586843,1
35.08617632,136.8592217,1
35.0867044,136.858939,1
35.08505772,136.8591693,1
35.08669676,136.8581583,1
35.08474256,136.8584517,1
35.08515319,136.8581987,1
35.08450116,136.8542624,1
35.08588508,136.8549377,1
35.09888,136.86341,1
35.10010696,136.8635972,1
35.09953134,136.8637856,1
35.1004394,136.8645085,1
35.106722,136.864336,1
35.10518451,136.8620785,1
35.10563215,136.8619605,1
35.11717338,136.8701195,1
35.1181786,136.870504,1
35.11480845,136.8707471,1
35.04772,136.84453,1
35.046083,136.844034,1
35.047932,136.845064,1
35.050579,136.84938,1
35.05108121,136.8496074,1
35.11068461,136.8758369,1
35.117263,136.883222,1
35.117456,136.885453,1
35.117008,136.885357,1
35.116596,136.885271,1
35.11701844,136.8845303,1
35.11668197,136.8833951,1
35.059868,136.851661,1
35.066254,136.852881,1
35.1066669,136.8841698,1
35.10636,136.883427,1
35.10383597,136.88353,1
35.09938688,136.8813714,1
35.10721,136.88676,1
35.10535353,136.888301,1
35.10517155,136.8881331,1
35.105772,136.888651,1
35.1055566,136.8884985,1
35.10183497,136.8887938,1
35.10651649,136.886599,1
35.1034563,136.8844421,1
35.10364023,136.8856149,1
35.09190626,136.8827783,1
35.10946673,136.8613251,1
35.10948031,136.8606253,1
35.10925948,136.8592325,1
35.10784766,136.8583876,1
35.1107168,136.8920859,1
35.11051396,136.8864932,1
35.1077918,136.8855529,1
35.11116076,136.8907105,1
35.10844159,136.8814896,1
35.10912356,136.8827045,1
35.10341776,136.8878411,1
35.10223207,136.8874156,1
35.10203251,136.8894287,1
35.10016,136.89057,1
35.10187868,136.8487848,1
35.099371,136.848473,1
35.10200214,136.8681964,1
35.1139886,136.8012981,1
35.1009263,136.833077,1
35.11533607,136.8209796,1
35.1131338,136.8214269,1
35.1135754,136.8208214,1
35.1137004,136.8203908,1
