緯度,経度,情報
37.85827046,139.1443232,1
37.85717572,139.1439141,1
37.87593328,139.1370608,1
37.87539128,139.1354997,1
37.85854699,139.1407534,1
37.87198587,139.1133419,1
37.85828324,139.1455482,1
37.84982913,139.1452079,1
37.85474176,139.1397869,1
37.85281843,139.1365893,1
37.85728217,139.1359937,1
37.86156857,139.1341196,1
37.85646221,139.1448269,1
37.85627924,139.1467147,1
37.85492761,139.1491835,1
37.8546775,139.151251,1
37.85189387,139.1485401,1
37.85555927,139.1544203,1
37.8568356,139.0961417,1
37.85604872,139.0973643,1
37.87918178,139.1298159,1
37.8781089,139.102292,1
37.88026902,139.1104234,1
37.88124458,139.1086957,1
37.87150042,139.0823669,1
37.87020868,139.0998423,1
37.86812379,139.1109521,1
37.86700155,139.1103261,1
37.86905666,139.1183583,1
37.88351118,139.1032763,1
37.88528002,139.1023067,1
37.86735656,139.1138299,1
37.86748817,139.1152415,1
37.87208274,139.1019208,1
37.87415081,139.1381565,1
37.87440785,139.0958632,1
37.86430699,139.1226033,1
37.88223393,139.1518626,1
37.83790742,139.0722642,1
37.83782832,139.0709471,1
37.85756802,139.1279471,1
37.87381576,139.162193,1
37.87519624,139.1614036,1
37.87544862,139.1609664,1
37.8683537,139.048949,1
37.86296153,139.1109931,1
37.86020328,139.1156387,1
37.86220048,139.1078561,1
37.87399333,139.111611,1
37.8830876,139.1384352,1
37.88550259,139.1400067,1
37.87338532,139.1049667,1
37.87284953,139.1042281,1
37.8672748,139.1039813,1
37.85578391,139.043002,1
37.86660089,139.0410522,1
37.86180236,139.087323,1
37.86906738,139.0940019,1
37.89984176,139.1400332,1
37.82907374,139.1534933,1
37.85743483,139.0327037,1
37.84681655,139.1146001,1
37.84742845,139.1129517,1
37.84658903,139.0410533,1
37.87301633,139.1206883,1
37.83698758,139.1324509,1
37.83772378,139.1282207,1
37.83570287,139.1217542,1
37.83970369,139.1320146,1
37.84522753,139.0824577,1
37.83457423,139.1016419,1
37.807591,139.1189239,1
37.82538664,139.1140056,1
37.7526456,139.0772343,1
37.74535535,139.0730798,1
37.75285786,139.0750571,1
37.75250503,139.0761614,1
37.75331518,139.0765252,1
37.75208258,139.0721849,1
37.83383011,139.1187418,1
37.83010929,139.1069466,1
37.78051596,139.1709844,1
37.76797991,139.1195104,1
37.73173238,139.0841504,1
37.73150328,139.0844883,1
37.78678468,139.1721599,1
37.7491325,139.1121752,1
37.8279552,139.1214435,1
37.82855569,139.1205644,1
37.76822203,139.1129051,1
37.76827675,139.1180835,1
37.80058997,139.1126242,1
37.8014038,139.1127476,1
37.83363899,139.0771287,1
37.81722696,139.143539,1
