緯度,経度,情報
39.70970334,140.1098256,1
39.71040489,140.1095601,1
39.710129,140.108875,1
39.70296919,140.1021393,1
39.703971,140.102674,1
39.70347125,140.1028896,1
39.69809178,140.1017772,1
39.7059591,140.144184,1
39.69912493,140.1074532,1
39.70164424,140.1081675,1
39.79920636,140.0776189,1
39.79946125,140.0767344,1
39.80023195,140.0766271,1
39.79899201,140.0473729,1
39.80593009,140.0541342,1
39.80604548,140.053292,1
39.80022191,140.0636689,1
39.61807822,140.0648925,1
39.6106839,140.0705391,1
39.61467077,140.0636247,1
39.60662383,140.0813678,1
39.60365105,140.0701896,1
39.61125399,140.0724615,1
39.60174334,140.0782591,1
39.612904,140.065612,1
39.611408,140.065609,1
39.61345063,140.0651722,1
39.60579853,140.0738866,1
39.64210606,140.0725451,1
39.62596724,140.0649008,1
39.63014973,140.0679431,1
39.61269308,140.1290323,1
39.71443946,140.1590407,1
39.71722068,140.1619804,1
39.699847,140.1422351,1
39.72278954,140.164498,1
39.72372202,140.1639723,1
39.72077504,140.169481,1
39.72036242,140.1687461,1
39.71814938,140.1730767,1
39.70997829,140.2950585,1
39.64219637,140.1968936,1
39.64172132,140.1976768,1
39.706621,140.286946,1
39.70765223,140.2867602,1
39.70800715,140.2862184,1
39.70831048,140.2875461,1
39.74167898,140.3176912,1
39.74140367,140.3163421,1
39.677877,140.2588769,1
39.67714621,140.2593382,1
39.652879,140.212419,1
39.65259584,140.2129214,1
39.65854006,140.2153169,1
39.65793916,140.2162529,1
39.6581328,140.2327138,1
39.65857057,140.2333065,1
39.65101398,140.218668,1
39.650983,140.216208,1
39.65114952,140.216639,1
39.652783,140.215301,1
39.747097,140.1090189,1
39.7477693,140.1093917,1
39.74894359,140.1143053,1
39.74833317,140.1147612,1
39.74943362,140.1014446,1
39.7551954,140.0928835,1
39.74386388,140.1078765,1
39.68712788,140.1032201,1
39.70036406,140.1136445,1
39.69501016,140.1242635,1
39.69458751,140.1271615,1
39.69512411,140.1267216,1
39.82316248,140.0668636,1
39.83955402,140.0533712,1
39.83912152,140.0536823,1
39.81508513,140.0585402,1
39.82381311,140.0911558,1
39.82352883,140.0917459,1
39.66558978,140.1560188,1
39.66072129,140.1661683,1
39.6609794,140.1653395,1
39.66111039,140.1557121,1
39.66059004,140.1557336,1
39.65727929,140.1553998,1
39.67290929,140.1353193,1
39.72836865,140.1441636,1
39.7291319,140.1440456,1
39.710929,140.141253,1
39.72414207,140.1518749,1
39.71565928,140.147322,1
39.71619984,140.1472791,1
39.76943147,140.0738323,1
39.70909646,140.1547246,1
39.70971135,140.1548855,1
39.702826,140.153225,1
39.71129274,140.1559808,1
39.71100387,140.1547685,1
39.70960134,140.1558228,1
39.710105,140.158165,1
39.71992324,140.1035872,1
39.7176481,140.1061157,1
39.71752018,140.1068882,1
39.71640687,140.106218,1
39.71688347,140.106438,1
39.71779056,140.1048154,1
39.71664649,140.100261,1
39.71434681,140.0903641,1
39.71783581,140.0925081,1
39.66730932,140.1392254,1
39.66777219,140.1382499,1
39.73999506,140.0822248,1
