緯度,経度,情報
35.694133,139.7567743,1
35.676144,139.740509,1
35.70120546,139.7698634,1
35.70425689,139.7708205,1
35.69439079,139.7779435,1
35.69520224,139.7520558,1
35.685356,139.739761,1
35.69051329,139.7407586,1
35.6934106,139.768504,1
35.69922771,139.7786294,1
35.69171046,139.7731382,1
35.6945488,139.7810002,1
35.6891351,139.7675844,1
35.69741089,139.7462103,1
35.68057102,139.7386449,1
35.6881118,139.734079,1
35.67318406,139.7716407,1
35.67225297,139.7614579,1
35.66547476,139.7648268,1
35.662054,139.782316,1
35.660681,139.780102,1
35.66038166,139.7761889,1
35.673533,139.784296,1
35.67588757,139.7818529,1
35.65526989,139.7818156,1
35.658896,139.785571,1
35.659859,139.784863,1
35.652051,139.774822,1
35.666229,139.776556,1
35.67073759,139.7720614,1
35.66809418,139.7709064,1
35.670674,139.785284,1
35.66866858,139.7845448,1
35.66831151,139.7850496,1
35.69227613,139.7869761,1
35.6824555,139.7842832,1
35.68335943,139.7879075,1
35.67971388,139.7768053,1
35.688807,139.7842784,1
35.69096378,139.7770914,1
35.68482236,139.7815209,1
35.68826679,139.7705503,1
35.679164,139.769081,1
35.67479928,139.7755948,1
35.653487,139.771411,1
35.672165,139.7787335,1
35.66871421,139.7763354,1
35.657226,139.731113,1
35.667846,139.748776,1
35.633009,139.749549,1
35.633302,139.749189,1
35.634319,139.751406,1
35.629514,139.747112,1
35.629474,139.749232,1
35.631003,139.749144,1
35.631028,139.749688,1
35.640814,139.734212,1
35.641971,139.73399,1
35.642382,139.734824,1
35.636174,139.73437,1
35.633153,139.735756,1
35.653027,139.742324,1
35.643176,139.738062,1
35.645328,139.741022,1
35.646547,139.739558,1
35.650966,139.750092,1
35.648793,139.749751,1
35.64506669,139.7446945,1
35.646746,139.751886,1
35.646084,139.750911,1
35.640548,139.748568,1
35.638412,139.746409,1
35.659933,139.750146,1
35.661336,139.749778,1
35.66561,139.757058,1
35.661199,139.753813,1
35.66163,139.750419,1
35.660909,139.722781,1
35.656452,139.724888,1
35.656892,139.720523,1
35.674757,139.731694,1
35.670358,139.734936,1
35.669633,139.737538,1
35.669195,139.73124,1
35.633986,139.777247,1
35.629996,139.777122,1
35.658175,139.742695,1
35.656942,139.740899,1
35.669159,139.721259,1
35.669966,139.719079,1
35.666481,139.717319,1
35.663463,139.716128,1
35.651408,139.735148,1
35.650701,139.735665,1
35.649779,139.729964,1
35.651053,139.72745,1
35.644881,139.730975,1
35.644283,139.729296,1
35.643672,139.726904,1
35.643503,139.724573,1
35.636767,139.728694,1
35.6377,139.725011,1
35.658827,139.756887,1
35.658824,139.757538,1
35.674238,139.722164,1
35.661842,139.738504,1
35.660657,139.735062,1
35.660894,139.732209,1
35.718228,139.701719,1
35.677574,139.718297,1
35.709045,139.721121,1
35.713384,139.693306,1
35.689447,139.689571,1
35.721122,139.675148,1
35.705066,139.714415,1
35.684842,139.711762,1
35.681146,139.728869,1
35.70689797,139.7005819,1
35.70489457,139.7484712,1
35.7208123,139.7266708,1
35.71859764,139.7324048,1
35.7198756,139.7441602,1
35.71201647,139.7627191,1
35.73282093,139.7461753,1
35.71518049,139.7212219,1
35.723414,139.78595,1
35.713522,139.799231,1
35.728465,139.792101,1
35.71223,139.786782,1
35.721218,139.774904,1
35.724912,139.803592,1
35.719345,139.793992,1
35.699323,139.782184,1
35.699848,139.789926,1
35.704487,139.789297,1
35.706931,139.777511,1
35.72393,139.765347,1
35.713938,139.766735,1
35.713874,139.78366,1
35.724371,139.798267,1
35.717291,139.784295,1
35.710174,139.792873,1
35.632641,139.72435,1
35.634586,139.72226,1
