緯度,経度,情報
36.57149242,139.9915058,1
36.555115,139.882807,1
36.66580364,139.9248095,1
36.56871005,139.8577151,1
36.61753268,139.8901577,1
36.62268209,139.8864375,1
36.62134972,139.8661074,1
36.62095034,139.8828771,1
36.59770586,139.9439135,1
36.59728594,139.9433246,1
36.59456687,139.9498156,1
36.68305649,139.9012426,1
36.62765908,139.8580368,1
36.62961357,139.8516693,1
36.53303137,139.9060531,1
36.50717354,139.9300532,1
36.56870942,139.8387412,1
36.67373763,139.8211538,1
36.68026219,139.8110796,1
36.68180228,139.8129978,1
36.63799756,139.9047066,1
36.52771717,139.8416317,1
36.55899,139.945959,1
36.55446688,139.9456731,1
36.64677491,139.8867536,1
36.61540126,139.876243,1
36.60700303,139.8927405,1
36.68389369,139.8883297,1
36.597873,139.8985077,1
36.60035645,139.8973157,1
36.60295999,139.8992693,1
36.5878157,139.9029704,1
36.6101691,139.8989985,1
36.6552238,139.9009561,1
36.54209796,139.8728427,1
36.54272534,139.8736699,1
36.72011526,139.8642248,1
36.71785138,139.8460701,1
36.55327485,139.8715699,1
36.57211883,139.8951773,1
36.574414,139.894052,1
36.66568256,139.8979545,1
36.59003052,139.8321898,1
36.51696741,139.9588634,1
36.56125263,139.9030389,1
36.56044673,139.9095933,1
36.56110886,139.9107449,1
36.61063474,139.7488936,1
36.57295688,139.8670094,1
36.56897748,139.8825774,1
36.49580971,139.8645233,1
36.57612544,139.9257522,1
36.66886258,139.8775247,1
36.56873612,139.8991876,1
36.56401311,139.9100122,1
36.57316513,139.9157991,1
36.5717141,139.8987697,1
36.6941341,139.894835,1
36.5904398,139.8559396,1
36.56320438,139.8684133,1
36.57918642,139.8885871,1
36.7016836,139.8192387,1
36.67395258,139.8289908,1
36.69403944,139.8178968,1
36.49978133,139.8630781,1
36.584825,139.863029,1
36.58081642,139.8610241,1
36.58730499,139.8615995,1
36.56251419,139.8746747,1
36.56775997,139.8711334,1
36.65302005,139.855765,1
36.52307581,139.8779559,1
36.64051608,139.8561629,1
36.60131708,139.8630908,1
36.68432532,139.7867465,1
36.63597355,139.9086856,1
36.64356551,139.9008452,1
36.64054193,139.9037216,1
36.67546453,139.911297,1
36.52429964,139.9665569,1
36.55070847,139.9033791,1
36.48619098,139.8733724,1
36.6322439,139.8162121,1
36.63492577,139.8141361,1
36.62722922,139.8119326,1
36.62553913,139.8222024,1
36.62510879,139.8235471,1
36.63829958,139.8215919,1
36.49437719,139.8522078,1
36.5113771,139.9220572,1
36.49190466,139.8742394,1
36.48794609,139.8629277,1
36.56993047,139.8749965,1
36.54661296,139.9822258,1
36.55970415,139.8782732,1
36.5540811,139.872789,1
36.53611653,139.8567218,1
36.53594838,139.8544652,1
36.51130279,139.8430626,1
36.54036116,139.9298924,1
36.540478,139.929034,1
36.54453307,139.9288664,1
36.66519699,139.8056743,1
36.66761756,139.8314032,1
36.66790495,139.8043822,1
36.67985913,139.7949414,1
36.56704985,139.9189202,1
36.56703576,139.9202399,1
36.55791202,139.8699775,1
36.57173782,139.8909053,1
36.58908,139.825568,1
36.60504423,139.8272558,1
36.59923611,139.82094,1
36.59135604,139.8213252,1
36.59253486,139.812729,1
36.59470692,139.8313607,1
36.53541276,139.8624132,1
36.66762952,139.8415093,1
36.53411141,139.8637595,1
36.54142008,139.8631358,1
36.58003715,139.9077964,1
36.5594267,139.882663,1
36.55925966,139.8847723,1
36.61242044,139.9516047,1
36.61396839,139.9501132,1
36.60203616,139.9529825,1
36.61754326,139.9449256,1
36.61619127,139.9430543,1
36.61720635,139.9433325,1
36.60680589,139.9317421,1
36.60848016,139.9311713,1
36.56849641,139.9081832,1
36.68422247,139.9019909,1
36.68177688,139.9016183,1
36.68181054,139.9028614,1
36.67473452,139.9020452,1
36.55584307,139.8886676,1
36.60846831,139.8160078,1
36.59620016,139.8019546,1
36.54463084,139.8468557,1
36.57232704,139.8840977,1
36.485114,139.896558,1
36.56521382,139.8911201,1
36.56255443,139.9741311,1
36.56271161,139.9764918,1
36.64083716,139.8359571,1
36.65599328,139.8393331,1
36.65098208,139.8420051,1
36.66380404,139.8345011,1
36.64630702,139.8442416,1
36.64528429,139.8486223,1
36.64472,139.847495,1
36.55458094,139.8934885,1
36.48203607,139.8657778,1
36.48250263,139.8643887,1
36.48214,139.864889,1
36.56250413,139.8858018,1
36.63689484,139.9397688,1
36.5792697,139.8863608,1
36.56478249,139.8841409,1
36.56597633,139.8835939,1
36.57060168,139.8851636,1
36.59331113,139.977946,1
36.58899466,139.9792232,1
36.59564667,139.9804618,1
36.59878947,139.9742124,1
36.56407549,139.8098802,1
36.57456607,139.8056441,1
36.58443584,139.8865305,1
36.6182168,139.7906196,1
36.59865206,139.7942879,1
36.58335534,139.9302672,1
36.57035351,139.9351763,1
36.60000613,139.9555284,1
36.5759378,139.9516204,1
36.57439974,139.9390786,1
36.60650052,139.8542811,1
36.61507123,139.839651,1
36.55265453,139.9197986,1
36.549136,139.913915,1
36.60305141,139.8933076,1
36.57270639,139.8617365,1
36.56048227,139.8651285,1
36.55999968,139.864179,1
36.55849345,139.8627682,1
36.55441294,139.8853322,1
36.5470944,139.8682038,1
36.57345654,139.8589568,1
36.55223684,139.926871,1
36.55020523,139.929638,1
36.53530472,139.8761225,1
36.53818217,139.8684454,1
36.63813708,139.8835686,1
36.64348979,139.8862555,1
36.52226383,139.8597564,1
36.54621349,139.8919919,1
36.54154422,139.9729637,1
36.53349356,139.9624669,1
36.334598,139.454902,1
36.32780536,139.456572,1
36.337663,139.4522201,1
36.2901623,139.5052126,1
36.32160822,139.532719,1
36.31831403,139.5298691,1
36.37161828,139.4553395,1
36.37202864,139.4548522,1
36.348923,139.4272791,1
36.33812044,139.4254353,1
36.28234105,139.4923666,1
36.35279956,139.4100064,1
36.34676289,139.4152091,1
36.33429964,139.4666083,1
36.27739705,139.4750831,1
36.37582419,139.3772232,1
36.31833354,139.4838698,1
36.32683785,139.4684361,1
36.36141132,139.4769593,1
36.340498,139.441715,1
36.347707,139.442038,1
36.31704716,139.4329944,1
36.32645456,139.4659933,1
36.33481,139.459912,1
36.31892592,139.4996908,1
36.34403743,139.464196,1
36.35396972,139.4829152,1
36.34475819,139.4608146,1
36.3602158,139.4729096,1
36.33147,139.447309,1
36.32398115,139.4371985,1
36.31985164,139.5009351,1
36.29382665,139.4619618,1
36.299486,139.454448,1
36.30015,139.4550976,1
36.30351111,139.4572971,1
36.30615988,139.4793172,1
36.31883867,139.4381279,1
36.34834882,139.4568056,1
36.34046915,139.4513966,1
36.36526795,139.3889608,1
36.368711,139.3910069,1
36.35618869,139.4722037,1
36.35686428,139.4724997,1
36.30937143,139.4248331,1
36.33701165,139.4347933,1
36.37714675,139.7373475,1
36.37768556,139.7221461,1
36.3764367,139.7177741,1
36.37419254,139.7127488,1
36.39274315,139.6812532,1
36.39826441,139.6918676,1
36.39545575,139.6824215,1
36.30968407,139.6344356,1
36.337606,139.6452947,1
36.33921832,139.6475552,1
36.36174608,139.6249231,1
36.33248053,139.6385973,1
36.31462096,139.6555459,1
36.31706592,139.66462,1
36.31658583,139.6637119,1
36.31636221,139.6654462,1
36.32290571,139.6638246,1
36.31542061,139.6847912,1
36.31627166,139.680227,1
36.38443107,139.7071326,1
36.38827728,139.7797102,1
36.38425898,139.7494607,1
36.3841655,139.7490104,1
36.38096344,139.7458938,1
36.48083735,139.5951167,1
36.39003363,139.7307457,1
36.37274976,139.7346387,1
36.36406541,139.7390556,1
36.37613812,139.7414298,1
36.41145134,139.7199763,1
36.41402683,139.7086647,1
36.41065233,139.7050327,1
36.46679961,139.7424673,1
36.46530572,139.7349047,1
36.46101306,139.7333173,1
36.47242372,139.7012377,1
36.4725098,139.7001548,1
36.45463838,139.7397464,1
36.46707931,139.7446328,1
36.41557204,139.6928416,1
36.40146254,139.7246568,1
36.40015027,139.725705,1
36.40169128,139.7779107,1
36.38906483,139.7689285,1
36.38977569,139.7542495,1
36.38803712,139.7575275,1
36.41378155,139.6965806,1
36.40846725,139.7740571,1
36.34816786,139.734505,1
36.34717735,139.7335825,1
36.33009567,139.7049243,1
36.33128517,139.7042784,1
36.31647158,139.7141615,1
36.31735746,139.7175106,1
36.33606387,139.7187087,1
36.32798498,139.7173521,1
36.32783132,139.7153951,1
36.36496872,139.7265072,1
36.34229871,139.7138497,1
36.3440819,139.7118894,1
36.34496627,139.7121943,1
36.34468602,139.7121454,1
36.3450333,139.7154901,1
36.33966518,139.6966533,1
36.34252818,139.6948575,1
36.43337064,139.713983,1
36.42978046,139.7595726,1
36.44243001,139.7618126,1
36.43123704,139.7430966,1
36.42894994,139.7386914,1
36.42877791,139.7394435,1
36.40846662,139.7461946,1
36.44154608,139.7216312,1
36.40980347,139.7480318,1
36.40962059,139.7528091,1
36.42884208,139.7242303,1
36.28687441,139.633857,1
36.27039137,139.6668174,1
36.26344835,139.6694743,1
36.2637124,139.6690342,1
36.29670948,139.6253043,1
36.27005709,139.6526526,1
36.25941235,139.6534998,1
36.25559289,139.6514045,1
36.24924161,139.6522328,1
36.26660788,139.6509266,1
36.28324017,139.6966594,1
36.2524873,139.6941272,1
36.270625,139.708627,1
36.27335564,139.7119488,1
36.37111009,139.761008,1
36.44650471,139.6462515,1
36.38323577,139.739169,1
36.38295909,139.7427331,1
36.38390372,139.7305496,1
36.38230571,139.7299739,1
36.38094701,139.7297936,1
36.44426304,139.6492771,1
36.39330531,139.7265133,1
36.37221736,139.7194578,1
36.37433584,139.7170509,1
36.37653867,139.739183,1
36.40760769,139.6054264,1
36.31826555,139.6110585,1
36.42299476,139.6272662,1
36.40397778,139.6080756,1
36.41078269,139.6115155,1
36.40165225,139.6118434,1
36.40243921,139.6139798,1
36.40098113,139.5208724,1
36.396367,139.514665,1
36.3977621,139.5711068,1
36.34755449,139.5772058,1
36.35106465,139.5739275,1
36.31187494,139.5721506,1
36.31058698,139.5805567,1
36.32234022,139.6019147,1
36.32369158,139.5990827,1
36.39326751,139.5743283,1
36.38016878,139.5702527,1
36.37463344,139.5689705,1
36.37813511,139.5576544,1
36.38533044,139.5371077,1
36.3015792,139.5761531,1
36.31648613,139.5790915,1
36.3644007,139.5412112,1
36.36092764,139.5503501,1
36.29544264,139.5415645,1
36.29606543,139.5408689,1
36.30002308,139.583053,1
36.30062561,139.577355,1
36.48637223,139.5433216,1
36.35536388,139.5618002,1
36.35196945,139.5391253,1
36.35289032,139.5395196,1
36.43084857,139.5935593,1
36.27080742,139.5664046,1
36.29579475,139.5402792,1
36.38107173,139.5976045,1
36.31501539,139.5614227,1
36.30962753,139.5765681,1
36.38597756,139.6048106,1
36.43655327,139.5393539,1
36.36628102,139.5759407,1
36.36069157,139.5906312,1
36.35988206,139.5869589,1
36.36366624,139.5792065,1
36.36275389,139.5767467,1
36.28533342,139.6011339,1
36.2855659,139.5983755,1
36.45939701,139.5214557,1
36.45545855,139.4661916,1
36.45465042,139.4672912,1
36.3213456,139.5906546,1
36.32501607,139.5506657,1
36.3240786,139.5494418,1
36.43375022,139.5907213,1
36.32382923,139.5796644,1
36.32494406,139.5799658,1
36.32114708,139.5823756,1
36.53596401,139.8072636,1
36.54244858,139.8070887,1
36.52150183,139.7703446,1
36.53993754,139.6967497,1
36.49366124,139.7543317,1
36.49213069,139.7550082,1
36.55482118,139.7701297,1
36.509296,139.797318,1
36.55831489,139.6886472,1
36.55643603,139.7405644,1
36.55931411,139.7380558,1
36.50978008,139.7035174,1
36.59177221,139.7320692,1
36.58543444,139.7476289,1
36.5088315,139.660124,1
36.50883447,139.6631583,1
36.52234373,139.6676858,1
36.52195308,139.66744,1
36.52355567,139.6684304,1
36.51764073,139.6727533,1
36.55972068,139.7677482,1
36.56480149,139.7445415,1
36.56755862,139.7431899,1
36.55173958,139.8151852,1
36.49784962,139.6001353,1
36.5924115,139.6508704,1
36.52487496,139.8029389,1
36.5302736,139.7996096,1
36.54354873,139.6786378,1
36.56558767,139.7157726,1
36.56975049,139.710539,1
36.57561826,139.5422829,1
36.54408234,139.8155609,1
36.49580861,139.7183102,1
36.58180457,139.7674025,1
36.52146859,139.7026309,1
36.54693254,139.7709659,1
36.55071681,139.7695742,1
36.57284966,139.7441666,1
36.57396253,139.7463078,1
36.639778,139.607025,1
36.639808,139.605887,1
36.49961329,139.7884104,1
36.55097481,139.6147779,1
36.5202809,139.6078443,1
36.5650209,139.7553161,1
36.56447502,139.7531612,1
36.49729768,139.7670235,1
36.51830944,139.7726281,1
36.5633173,139.7304483,1
36.64137676,139.7040121,1
36.64142981,139.6966493,1
36.56292831,139.7584614,1
36.5697864,139.7515093,1
36.49541765,139.7268999,1
36.55805593,139.7502625,1
36.55049615,139.7782186,1
36.51944043,139.7162301,1
36.55759533,139.7704503,1
36.5050053,139.7470616,1
36.50720881,139.7539662,1
36.53732368,139.7524982,1
36.53457787,139.7486233,1
36.47242187,139.7011776,1
36.47247463,139.6998834,1
36.730932,139.791974,1
36.74178815,139.795455,1
36.736485,139.77404,1
37.056731,139.736483,1
36.712895,139.800434,1
36.751953,139.585829,1
36.81340483,139.7144112,1
36.82507289,139.7149656,1
36.82199347,139.7151789,1
36.8237392,139.7128148,1
36.80762047,139.7102106,1
36.799471,139.703291,1
36.797579,139.704064,1
36.817888,139.715499,1
36.8326399,139.7187794,1
36.833556,139.718341,1
36.82531488,139.711007,1
36.712352,139.703887,1
36.75040719,139.5781019,1
36.74847,139.5773,1
36.75649,139.582199,1
36.750244,139.714887,1
36.720512,139.809896,1
36.734592,139.729109,1
36.72803029,139.7172796,1
36.728115,139.726872,1
36.74840274,139.6131242,1
36.923581,139.7377469,1
36.7824935,139.7067636,1
36.748247,139.735648,1
36.749347,139.735894,1
36.86912,139.603638,1
36.86642616,139.6034643,1
36.72766197,139.7131616,1
36.726756,139.712414,1
36.726064,139.680636,1
