緯度,経度,情報
26.22895485,127.6957971,1
26.237373,127.689314,1
26.191453,127.665043,1
26.189014,127.667465,1
26.204514,127.675171,1
26.20855994,127.6926224,1
26.206587,127.699934,1
26.21544,127.673809,1
26.214572,127.674298,1
26.218925,127.682258,1
26.196826,127.678662,1
26.204679,127.665974,1
26.19921678,127.6657393,1
26.198186,127.662624,1
26.199127,127.663644,1
26.225758,127.70833,1
26.227943,127.708093,1
26.197936,127.685857,1
26.199909,127.691914,1
26.197237,127.68907,1
26.23121,127.681239,1
26.241628,127.678573,1
26.244683,127.678283,1
26.183051,127.663857,1
26.18551853,127.6642216,1
26.20217,127.670365,1
26.194229,127.702171,1
26.204976,127.715044,1
26.186404,127.674681,1
26.198235,127.673401,1
26.19819,127.67234,1
26.222837,127.700371,1
26.199573,127.718363,1
26.216135,127.698793,1
26.214762,127.698094,1
26.196849,127.707436,1
26.194803,127.708435,1
26.207899,127.705775,1
26.207923,127.707903,1
26.220089,127.672264,1
26.22213,127.672913,1
26.222303,127.676097,1
26.223693,127.677279,1
26.215244,127.719627,1
26.2134,127.722692,1
26.219154,127.717072,1
26.227824,127.727118,1
26.227467,127.721472,1
26.226913,127.73124,1
26.223884,127.732588,1
26.230825,127.731517,1
26.22306613,127.722505,1
26.232401,127.711995,1
26.217717,127.731388,1
26.219613,127.723837,1
26.22848118,127.7156507,1
26.240804,127.682718,1
26.190186,127.67247,1
26.2183698,127.6772306,1
26.221544,127.679226,1
26.214157,127.70291,1
26.223169,127.706419,1
26.21232498,127.6862263,1
26.22293724,127.7019338,1
26.22617355,127.7012143,1
26.22371878,127.7042533,1
26.211574,127.679865,1
26.221637,127.686944,1
26.220575,127.685947,1
26.224834,127.68443,1
26.209752,127.684795,1
26.205961,127.685841,1
26.204308,127.700454,1
26.201516,127.702856,1
26.23179808,127.6885366,1
26.231199,127.690509,1
26.19617175,127.6692197,1
26.22464,127.688484,1
26.226846,127.684216,1
26.213684,127.712484,1
26.212735,127.714479,1
26.20966,127.710469,1
26.20680625,127.6869979,1
26.210481,127.691576,1
26.209776,127.690691,1
26.2171919,127.6850309,1
26.215223,127.689835,1
26.216773,127.692206,1
26.231097,127.698868,1
26.235604,127.698517,1
26.206047,127.690921,1
26.26862551,127.7698221,1
26.28701169,127.7533856,1
26.29366007,127.7557585,1
26.26925603,127.7285795,1
26.27083384,127.7263854,1
26.27416802,127.730903,1
26.25859803,127.7359195,1
26.26194633,127.7300687,1
26.25866538,127.7402664,1
26.25431293,127.7508677,1
26.28679538,127.7637048,1
26.26721526,127.7631266,1
26.25623904,127.7610656,1
26.27749267,127.7748953,1
26.28685565,127.7748086,1
26.28542567,127.7719163,1
26.25724578,127.7463955,1
26.26341037,127.743106,1
26.26364529,127.7453644,1
26.26396821,127.7479013,1
26.2697341,127.7419627,1
26.27482017,127.7380932,1
26.27265703,127.7386109,1
26.27382825,127.7360406,1
26.27610388,127.7333515,1
26.27719743,127.7339579,1
26.28134082,127.7363104,1
26.27187585,127.7704085,1
26.27742397,127.7385346,1
26.27887586,127.7384785,1
26.26098487,127.7661942,1
26.29273702,127.7799974,1
26.28009913,127.7793173,1
26.28439778,127.781768,1
26.27905417,127.781353,1
26.28792626,127.7833674,1
26.29143729,127.7840667,1
24.51575101,124.2824143,1
24.53336352,124.3004997,1
24.50872924,124.2815169,1
24.35575588,124.2232767,1
24.35580433,124.231586,1
24.44080851,124.1046559,1
24.35564348,124.1431639,1
24.33647842,124.1826761,1
24.33815179,124.1863117,1
24.344419,124.185245,1
24.34529095,124.162593,1
24.34782972,124.1710705,1
24.34252649,124.1513051,1
24.34071902,124.1534551,1
24.34658285,124.1472883,1
24.35153847,124.1463913,1
24.35531239,124.1359702,1
24.34776636,124.1541918,1
24.36876715,124.1436461,1
24.33491241,124.1700421,1
24.33300615,124.168253,1
24.3327317,124.1778847,1
24.33683587,124.182882,1
24.33592431,124.1893705,1
24.34033396,124.1878003,1
24.35141084,124.1884078,1
24.33444178,124.1686826,1
24.34533229,124.1586978,1
24.44745511,124.1681069,1
24.44770511,124.1580464,1
24.43899175,124.1349572,1
24.46285125,124.1374051,1
24.45905944,124.1393001,1
24.34510824,124.1644447,1
24.34646184,124.1951702,1
24.33990344,124.1897604,1
24.33812548,124.1582753,1
24.34468882,124.1675748,1
24.34492321,124.1730251,1
24.33715772,124.1591711,1
24.38405333,124.1747895,1
24.34179967,124.164846,1
24.34233479,124.1636748,1
24.33467149,124.1661357,1
24.33550732,124.1679423,1
24.33574193,124.1680228,1
24.33541934,124.1683607,1
24.42015613,124.2452035,1
24.43946921,124.2422768,1
24.45166832,124.2415239,1
24.468412,124.2454077,1
24.36684981,124.2344365,1
24.33504292,124.1593485,1
24.33462795,124.1590569,1
24.33971397,124.1546822,1
24.3371626,124.1583343,1
24.33816541,124.1559916,1
24.33847251,124.1551114,1
24.33888796,124.1549236,1
24.33899549,124.1568923,1
24.33967029,124.1515839,1
24.34110724,124.1519916,1
24.3385608,124.1486227,1
24.58220992,124.3140214,1
24.56194099,124.2897153,1
24.54579851,124.2975848,1
24.60090037,124.3260531,1
24.49360868,124.2342062,1
24.50795075,124.2508962,1
24.49973007,124.2444961,1
24.45312352,124.203972,1
24.47790935,124.2293924,1
24.45185487,124.1948824,1
26.244734,127.719001,1
26.247659,127.718379,1
26.242256,127.720841,1
