緯度,経度,情報
41.7656663,140.7289806,1
41.76750772,140.7271259,1
41.91473659,140.9593307,1
41.93057757,140.9406804,1
41.92687148,140.9492002,1
41.93193267,140.939788,1
41.78267232,140.7244928,1
41.73853947,140.9316806,1
41.7941972,140.7328636,1
41.79594962,140.7305646,1
41.79513397,140.7290338,1
41.777025,140.763013,1
41.77657166,140.7561356,1
41.78284921,140.7681581,1
41.78668266,141.1467948,1
41.78770892,141.1492493,1
41.79060109,141.1617908,1
41.81433252,141.1806881,1
41.8211847,141.163333,1
41.76336187,140.710807,1
41.72835896,141.0384571,1
41.73143931,141.0319752,1
41.758649,140.869163,1
41.78824458,141.1121366,1
41.86403949,141.1155444,1
41.78387531,140.8028338,1
41.78609187,140.8058916,1
41.79828535,141.1748605,1
41.801758,140.73204,1
41.801758,140.73204,1
41.80103601,140.7306868,1
41.80190816,140.7284446,1
41.80142429,140.7291098,1
41.80156026,140.7285465,1
41.8017362,140.7251201,1
41.80192415,140.7257906,1
41.80421481,140.72436,1
41.80562487,140.7247079,1
41.80849818,140.718883,1
41.80789898,140.7219269,1
41.80739117,140.7220449,1
41.8092661,140.7183332,1
41.80996067,140.7184222,1
41.81092793,140.7152144,1
41.81311472,140.7170083,1
41.8092647,141.1095068,1
41.76631255,140.8191923,1
41.78305215,140.7522177,1
41.716469,140.952388,1
41.773792,140.725722,1
41.774496,140.727243,1
41.77268916,140.7265349,1
41.77211265,140.7280423,1
41.77410408,140.7282594,1
41.77718157,140.7307039,1
41.76165853,141.0807339,1
41.76106962,141.0862799,1
41.76200899,141.0874191,1
41.73956619,140.9301033,1
41.73964512,140.931309,1
41.7407441,140.9256516,1
41.74404003,140.9163201,1
41.81393004,140.7423874,1
41.8127813,140.7435268,1
41.82132659,140.7312299,1
41.78599472,140.7372593,1
41.78595872,140.7368301,1
41.78626272,140.7369267,1
41.78743785,140.7369868,1
41.78447493,140.7346436,1
41.77105838,140.7303307,1
41.77835389,140.7387757,1
41.78382997,140.8158918,1
41.77404684,140.7340886,1
41.7778757,140.737525,1
41.778072,140.736572,1
41.72001826,141.0273648,1
41.83004991,141.1438277,1
41.83281937,141.1412284,1
41.76148702,140.8463368,1
41.78861338,140.7794863,1
41.7863331,140.781346,1
41.78590987,140.7769751,1
41.78731919,140.7567137,1
41.71287885,140.9742664,1
41.714487,140.979588,1
41.7147575,140.9807901,1
41.75819367,140.7147994,1
41.75778063,140.7180631,1
41.75615669,140.8763063,1
41.774552,140.738895,1
41.78586129,140.7465763,1
41.90569659,140.9707807,1
41.90609078,140.9713262,1
41.90508181,140.9688695,1
41.9076735,140.9634309,1
41.76135551,140.8364984,1
41.74745102,141.0739891,1
41.74603193,141.0735614,1
41.77147468,140.724691,1
41.769794,140.723404,1
41.76899181,140.7330157,1
41.76991888,140.7355856,1
41.76670772,140.7326106,1
41.797248,140.739109,1
41.96505754,140.9178777,1
41.97058966,140.9084256,1
41.96948916,140.9089398,1
41.93740648,140.9127583,1
41.78303817,140.7338352,1
41.75107315,140.7113393,1
41.784551,140.7433091,1
41.75595413,141.074396,1
41.84233716,141.1391609,1
41.77982969,140.7516949,1
41.76868002,140.7288973,1
41.76328088,140.7220506,1
41.76186291,140.7259215,1
41.76205898,140.7265653,1
41.77874435,140.7842021,1
41.77859993,140.782575,1
41.77498611,140.7858923,1
41.78296266,140.7841277,1
41.78225987,140.7832273,1
41.78340451,140.785619,1
