緯度,経度,情報
41.83127054,140.7280459,1
41.849646,140.7335145,1
41.84106578,140.734696,1
41.8478419,140.7192565,1
41.77850357,140.7641414,1
41.78284921,140.7681581,1
41.79200956,140.8028348,1
41.78387531,140.8028338,1
41.78609187,140.8058916,1
41.79972558,140.7524694,1
41.80421481,140.72436,1
41.80849818,140.718883,1
41.7875953,140.8029721,1
41.77675174,140.8103407,1
41.80262713,140.7760612,1
41.80544146,140.7864845,1
41.8127813,140.7435268,1
41.82132659,140.7312299,1
41.79132912,140.7594849,1
41.78382997,140.8158918,1
41.78861338,140.7794863,1
41.7863331,140.781346,1
41.78590987,140.7769751,1
41.8351833,140.7897086,1
41.78731919,140.7567137,1
41.79660565,140.8241755,1
41.80398732,140.8323006,1
41.83307248,140.7453721,1
41.83875554,140.741845,1
41.78586129,140.7465763,1
41.79236196,140.7681066,1
41.81160601,140.7656004,1
41.80557963,140.7734687,1
41.78296266,140.7841277,1
41.78225987,140.7832273,1
41.78340451,140.785619,1
41.78400723,140.7876035,1
41.78637303,140.7860877,1
41.78032145,140.7965349,1
41.79404817,140.7874063,1
41.80032677,140.7925615,1
41.81060766,140.7492408,1
41.82604367,140.7491764,1
41.79881763,140.7651268,1
41.8037736,140.7684659,1
41.79506739,140.7734618,1
41.8252681,140.8504288,1
41.79454909,140.7619695,1
41.79307606,140.7477754,1
43.20711989,140.9286046,1
43.17787207,141.0005859,1
43.18820088,140.9954911,1
43.18695074,140.9962254,1
43.1397339,141.1551402,1
43.13892559,141.1586532,1
43.17920083,141.0240467,1
43.17382544,141.0571354,1
43.1721841,141.060207,1
43.18190885,141.0143205,1
43.140358,141.161071,1
43.138839,141.16617,1
43.155199,141.039605,1
43.17987159,141.0185117,1
43.17923265,141.0103581,1
43.16926017,140.9885631,1
43.20113933,140.8672317,1
43.16601798,141.0411132,1
43.16113413,141.0303703,1
43.19918375,140.8632367,1
43.768772,142.372468,1
43.79905594,142.3224905,1
43.76611904,142.3562688,1
43.80558542,142.4361378,1
43.76440592,142.3596869,1
43.78890205,142.3358145,1
43.77482937,142.3443886,1
43.77348244,142.3475269,1
43.807224,142.35466,1
43.81757272,142.345172,1
43.81761606,142.3555481,1
43.82637575,142.3676827,1
43.75864327,142.3573676,1
43.75014565,142.3673457,1
43.75098382,142.362897,1
43.74299408,142.357678,1
43.75609134,142.3497788,1
43.75444155,142.3530052,1
43.75330044,142.3603343,1
43.76066243,142.3492353,1
43.75899032,142.3494031,1
43.75585539,142.3581454,1
43.75488715,142.3612718,1
43.74942043,142.3545195,1
43.76128629,142.3237478,1
43.667447,142.189441,1
43.68313843,142.1784035,1
43.72302697,142.3743438,1
43.68331056,142.3954054,1
43.78275381,142.3433189,1
43.78160244,142.3639044,1
43.72076,142.65791,1
43.76870929,142.475165,1
43.77523768,142.3744915,1
43.753796,142.417343,1
43.7418321,142.4175092,1
43.73550778,142.4020007,1
43.72993052,142.415383,1
43.74824301,142.4214399,1
43.74925883,142.4010807,1
43.825475,142.392386,1
43.76677904,142.4213857,1
43.76350338,142.3970723,1
43.77968428,142.3552171,1
43.81636453,142.3682363,1
43.80271588,142.4045118,1
43.73434132,142.3723203,1
43.73325087,142.3785391,1
43.72119105,142.3814852,1
43.731867,142.368941,1
43.78485486,142.3346504,1
43.78758868,142.3305782,1
43.79404796,142.3260669,1
42.329422,141.01315,1
42.332246,141.01152,1
42.33146,141.009642,1
42.331829,141.013894,1
42.331597,141.015093,1
42.329807,141.017514,1
42.333007,141.01937,1
42.312722,140.970086,1
42.311444,140.972995,1
42.311925,140.973031,1
42.311408,140.972214,1
42.325685,140.972284,1
42.318635,140.974958,1
42.322052,140.970768,1
42.322156,140.970214,1
42.322013,140.969754,1
42.324264,140.967605,1
42.32429,140.966604,1
42.325826,140.967545,1
42.337017,140.938832,1
42.334349,140.937864,1
42.337117,140.934798,1
42.33301,140.941271,1
42.340474,140.940715,1
42.355471,141.021223,1
42.353509,141.022421,1
42.357056,141.024644,1
42.35637078,141.0221428,1
42.355485,141.024413,1
42.35552476,141.0291173,1
42.355951,141.031817,1
42.354985,141.030182,1
42.353075,141.025526,1
42.353382,141.027894,1
42.330528,140.994103,1
42.330661,140.993376,1
42.32318,141.000074,1
42.322633,141.001246,1
42.325437,140.998699,1
42.322286,140.998592,1
42.32267,140.998255,1
42.318594,140.994991,1
42.314855,140.974639,1
42.332762,140.953413,1
42.35972,140.986422,1
42.360521,140.983877,1
42.363675,140.989717,1
42.368026,140.992599,1
42.362893,140.992427,1
42.3644186,140.9949988,1
42.35768,141.037282,1
42.358051,141.033097,1
42.362592,141.041212,1
42.36959,141.032819,1
42.36071,141.033119,1
42.366935,141.032884,1
42.365968,141.037452,1
42.366194,141.037027,1
42.36534541,141.0327177,1
42.369584,141.03283,1
42.368249,141.034578,1
42.36857476,141.037156,1
42.36974335,141.0315431,1
42.372898,141.036111,1
42.372376,141.037674,1
42.375495,141.034065,1
42.373636,140.927054,1
42.369832,140.927084,1
42.316355,140.977502,1
42.31325282,140.9794562,1
42.312481,140.978699,1
42.348552,141.031424,1
42.350658,141.031056,1
42.347703,141.031408,1
42.350573,141.033834,1
42.34538,141.033816,1
42.347003,141.033923,1
42.345289,141.032896,1
42.3441,141.034731,1
42.311459,140.973389,1
42.333172,140.943632,1
42.334116,140.942688,1
42.337014,140.943805,1
42.3412,140.947482,1
42.341939,140.943635,1
42.340705,140.947992,1
42.332297,140.960778,1
42.331855,140.960321,1
42.325861,140.956719,1
42.316566,140.965857,1
42.317015,140.969443,1
42.315422,140.98625,1
42.368532,140.954314,1
42.36935,140.953584,1
42.373939,140.959141,1
42.376964,141.035196,1
42.3792,141.036045,1
42.382477,141.035079,1
42.374911,141.032845,1
42.385862,141.033129,1
42.317972,140.959051,1
42.316745,140.961967,1
42.382419,140.928467,1
42.384716,140.930536,1
42.380326,140.918206,1
42.380935,140.918479,1
42.39348561,140.9692672,1
42.323964,140.952093,1
42.323674,140.950802,1
42.32586,140.95242,1
42.32288233,140.9484107,1
42.333096,141.000099,1
42.333843,141.000203,1
42.332302,141.005519,1
42.327011,141.006571,1
42.329023,141.004505,1
42.332387,141.005102,1
42.322217,140.966534,1
42.35925,141.023954,1
42.359748,141.025109,1
42.363582,141.027034,1
42.367539,141.028963,1
42.319421,140.970139,1
42.318172,140.972188,1
42.316998,140.969964,1
42.315103,140.975282,1
42.316601,140.972054,1
42.350043,141.015648,1
42.350523,141.026125,1
42.350357,141.021578,1
42.348268,141.017838,1
42.351855,141.006767,1
42.356123,141.016061,1
42.354985,141.012811,1
42.371324,141.029734,1
42.371035,141.025776,1
42.369154,141.02806,1
42.343036,141.022685,1
42.344308,141.023241,1
42.346148,141.023933,1
42.344432,141.02741,1
42.34742,141.025371,1
42.34703,141.023573,1
42.339399,141.031251,1
42.342757,141.029271,1
42.3421277,141.0284631,1
42.343114,141.031895,1
42.34410149,141.0312762,1
42.338825,141.024322,1
42.34095,141.025086,1
42.341894,141.02555,1
42.340586,141.026087,1
42.339983,141.022861,1
42.337979,141.022103,1
42.338897,141.022098,1
42.337625,141.021083,1
42.336552,141.021908,1
42.335447,141.01947,1
42.340186,141.021451,1
42.352025,141.03727,1
42.351712,141.038591,1
42.354639,141.042547,1
42.354167,141.045199,1
42.353471,141.044899,1
42.354902,141.041152,1
42.35261,141.045824,1
42.349993,141.041419,1
42.321499,140.977291,1
42.319369,140.977083,1
42.319863,140.977998,1
42.321244,140.975534,1
42.323239,140.974735,1
42.373613,140.994098,1
42.375832,140.996043,1
42.36920746,140.9897948,1
42.371227,140.932081,1
42.370388,140.934448,1
42.372121,140.935862,1
42.369936,140.934735,1
42.373932,140.932008,1
42.37446663,140.9336354,1
42.3764,140.932111,1
42.377332,140.933165,1
42.37741,140.932545,1
42.378386,140.934711,1
42.378482,140.937722,1
42.3754605,140.9375916,1
42.37732,140.937261,1
42.381621,140.938495,1
42.383427,140.934477,1
42.383906,140.943805,1
42.382426,140.932808,1
42.381014,140.947426,1
42.379138,140.946138,1
42.379601,140.948565,1
42.382952,140.948118,1
42.377637,140.941149,1
42.380841,140.940416,1
42.378314,140.939766,1
42.378291,140.943913,1
42.376115,140.943074,1
42.37461,140.94256,1
42.380012,140.941136,1
42.362794,141.003542,1
42.364009,141.004602,1
42.370389,141.009754,1
42.37589219,141.0113831,1
42.376235,141.015259,1
42.375807,141.01537,1
42.368295,141.012737,1
42.371021,141.014074,1
42.37253415,141.0150014,1
42.370369,141.016574,1
42.361446,141.007769,1
42.361816,141.005704,1
42.36389,141.009502,1
42.3086965,140.992123,1
42.312958,141.000041,1
42.311445,140.994717,1
42.307023,141.000384,1
42.309496,140.997284,1
42.308711,140.997464,1
42.316787,140.993342,1
42.31632,140.993223,1
42.316964,140.99401,1
42.31357662,140.9917285,1
42.315298,140.991339,1
42.31245906,140.9898296,1
42.3121082,140.9894798,1
42.316598,140.988991,1
