緯度,経度,情報
35.0066387,135.8785255,1
35.00499093,135.8874114,1
35.00529412,135.8863546,1
34.97777494,135.8992368,1
35.14346096,135.8738782,1
35.143382,135.873728,1
35.14954322,135.8783188,1
35.14967919,135.8790859,1
35.152993,135.8928872,1
35.15022017,135.8937765,1
35.14996577,135.8940501,1
35.14233553,135.8721609,1
35.14272593,135.8717318,1
35.14226095,135.8726062,1
34.9838836,135.9298445,1
34.98420005,135.9297748,1
34.98348097,135.9305952,1
34.98246569,135.9306274,1
34.98465765,135.935288,1
34.98480668,135.9344661,1
34.98507918,135.9346646,1
34.97646088,135.9353381,1
34.97661818,135.9385121,1
34.94689958,135.9145632,1
34.94693915,135.9148368,1
34.94604928,135.9139026,1
34.94637298,135.9135565,1
34.94410274,135.9180396,1
34.94462601,135.9204482,1
34.97834333,135.8871875,1
34.98060981,135.8860391,1
34.99304352,135.8328771,1
35.00142473,135.8652344,1
35.00191249,135.8643814,1
35.00195532,135.8637972,1
35.00180592,135.8639528,1
35.00141484,135.8659376,1
35.06236145,135.8762228,1
35.06282216,135.8770916,1
35.06319978,135.876641,1
35.06465798,135.8765619,1
35.06495216,135.8764009,1
35.06618137,135.8852663,1
35.06811785,135.8786325,1
35.06873693,135.8791153,1
35.13853098,135.9154587,1
35.13897843,135.9161615,1
35.1388556,135.9162234,1
35.23385496,135.8625078,1
35.23375418,135.8627761,1
35.23338393,135.8625481,1
35.23412662,135.8625937,1
35.24667378,135.8665534,1
35.24420986,135.8658497,1
35.03463496,135.8573849,1
35.03481944,135.8577872,1
34.93416329,135.9296868,1
34.93389502,135.9297833,1
35.00434207,135.8655079,1
35.10883975,135.8808365,1
35.10811126,135.8821884,1
35.108515,135.8826229,1
35.1087037,135.8817378,1
35.10823853,135.8802625,1
35.10300915,135.8928263,1
35.1030036,135.8893559,1
35.10228848,135.8880039,1
35.10562097,135.887911,1
35.10559025,135.8882758,1
35.10715772,135.8915593,1
35.10624929,135.8919831,1
35.10835794,135.8895894,1
35.10746708,135.8904209,1
35.10907986,135.8941664,1
35.1054967,135.8983627,1
35.10245667,135.8989583,1
35.10934598,135.9014069,1
35.10855168,135.900747,1
35.10914896,135.8996055,1
35.10937276,135.8994231,1
34.98951762,135.9318148,1
34.97995506,135.9464892,1
35.1119427,135.9113593,1
34.99437237,135.8795704,1
35.14195377,135.9222817,1
35.01624277,135.853614,1
35.01566284,135.8543436,1
35.01598356,135.852804,1
35.01904794,135.8567354,1
35.02150551,135.8557785,1
34.97208399,135.898313,1
34.97208399,135.8974761,1
34.97129443,135.8974911,1
35.1377131,135.917468,1
35.02398032,135.8513902,1
35.02384566,135.8545445,1
35.02463713,135.8522027,1
35.0264295,135.8523573,1
35.0257531,135.8535286,1
35.20606526,135.9273603,1
35.20557435,135.9259763,1
35.20610054,135.9284533,1
34.969355,135.897244,1
34.96841554,135.8962441,1
34.94036664,135.9123461,1
35.04357958,135.865423,1
35.04349613,135.8655947,1
35.04495075,135.866533,1
35.04477068,135.8671017,1
35.058233,135.865326,1
35.06920526,135.8731025,1
35.06835787,135.8725929,1
35.06995147,135.8646697,1
35.07064956,135.8673787,1
35.07812352,135.8694402,1
35.07172455,135.8712283,1
35.07140809,135.8707719,1
35.07189981,135.8708201,1
