緯度,経度,情報
43.79905594,142.3224905,1
43.76611904,142.3562688,1
43.78976891,142.4203046,1
43.8095141,142.4103161,1
43.80558542,142.4361378,1
43.79286211,142.374389,1
43.76440592,142.3596869,1
43.75636103,142.3664582,1
43.78890205,142.3358145,1
43.77482937,142.3443886,1
43.77348244,142.3475269,1
43.807224,142.35466,1
43.8047063,142.3651019,1
43.81757272,142.345172,1
43.81761606,142.3555481,1
43.82637575,142.3676827,1
43.78719277,142.3890772,1
43.75864327,142.3573676,1
43.75014565,142.3673457,1
43.75098382,142.362897,1
43.74299408,142.357678,1
43.75609134,142.3497788,1
43.75444155,142.3530052,1
43.75330044,142.3603343,1
43.76066243,142.3492353,1
43.7599014,142.3487452,1
43.75899032,142.3494031,1
43.75585539,142.3581454,1
43.75488715,142.3612718,1
43.74942043,142.3545195,1
43.76128629,142.3237478,1
43.74616961,142.3401214,1
43.667447,142.189441,1
43.68313843,142.1784035,1
43.72302697,142.3743438,1
43.68331056,142.3954054,1
43.78275381,142.3433189,1
43.78160244,142.3639044,1
43.78234263,142.3186878,1
43.77766879,142.3159517,1
43.72076,142.65791,1
43.76870929,142.475165,1
43.77523768,142.3744915,1
43.753796,142.417343,1
43.7418321,142.4175092,1
43.73550778,142.4020007,1
43.72993052,142.415383,1
43.74824301,142.4214399,1
43.74925883,142.4010807,1
43.77003389,142.3734437,1
43.825475,142.392386,1
43.76677904,142.4213857,1
43.76350338,142.3970723,1
43.77968428,142.3552171,1
43.82274866,142.3898128,1
43.81795185,142.3932138,1
43.80237109,142.3955725,1
43.81636453,142.3682363,1
43.80271588,142.4045118,1
43.73434132,142.3723203,1
43.73325087,142.3785391,1
43.72119105,142.3814852,1
43.731867,142.368941,1
43.78485486,142.3346504,1
43.78758868,142.3305782,1
43.79404796,142.3260669,1
43.85374252,143.9373478,1
42.93614941,142.0425401,1
43.02894946,141.9657534,1
42.95491655,142.0307147,1
42.95545807,142.0279656,1
42.98892997,142.0137529,1
43.02380593,141.9689098,1
42.98044676,142.0052362,1
42.98285764,142.0001169,1
43.01035769,142.0522971,1
43.02171888,141.9842467,1
43.02199351,141.9750824,1
43.05387866,141.9731808,1
43.20017016,141.7921661,1
43.19705729,141.767912,1
43.20042071,141.7742501,1
43.09217526,141.7212997,1
43.16218452,141.8386326,1
43.08964678,141.7478143,1
43.1214183,141.7483982,1
43.11856936,141.7504377,1
43.10962292,141.7513389,1
43.14682512,141.8045255,1
43.163059,141.915293,1
43.12027758,141.735574,1
43.12708308,141.6865975,1
43.121433,141.742777,1
43.138681,141.985524,1
43.12106776,141.8067193,1
43.14023771,141.7634839,1
43.21036245,141.7835546,1
43.20290054,141.7662833,1
43.20358516,141.7678369,1
43.16132392,141.7546435,1
43.17028736,141.7696165,1
43.19378918,141.7545039,1
43.18857627,141.7724408,1
43.15895277,141.806768,1
43.18378031,141.7133156,1
43.1603267,141.8705931,1
43.19265071,141.788481,1
43.22437904,141.794837,1
43.208038,141.770378,1
43.18717324,141.7633753,1
43.26545735,141.7897851,1
43.20509492,141.7493954,1
43.17193322,141.63767,1
43.26026388,141.6980732,1
43.26084926,141.6975188,1
43.25861971,141.6922477,1
43.25807098,141.6904706,1
43.29432764,141.7400237,1
43.23309106,141.6750128,1
43.31212821,141.6931673,1
43.2089905,141.6733167,1
43.152138,141.659594,1
43.15047529,141.6642524,1
43.15196521,141.6623104,1
43.21755298,141.7650927,1
43.15258355,141.9383081,1
43.21239653,141.7523534,1
43.9933583,144.2812811,1
43.9947305,144.2838231,1
43.99320819,144.2865242,1
43.99344675,144.2875119,1
43.99156362,144.2891054,1
43.99268022,144.2906676,1
44.00518579,144.2699867,1
44.00575883,144.2687316,1
44.00425401,144.273154,1
43.99763757,144.2807834,1
43.99520177,144.2788652,1
43.99534598,144.2815511,1
43.99590508,144.2826099,1
44.00407009,144.2818561,1
44.00429212,144.2808082,1
44.00439348,144.2814012,1
44.00458042,144.2811419,1
44.00345321,144.2827977,1
44.00105451,144.2867573,1
44.01713805,144.2678731,1
44.0161125,144.2689284,1
44.01754799,144.270854,1
44.0176044,144.2710982,1
44.01356826,144.2709604,1
44.01177723,144.271772,1
44.02856343,144.2550998,1
44.02705274,144.2521212,1
44.03110022,144.2545649,1
44.03123341,144.2529829,1
44.03071307,144.2529401,1
44.02870936,144.2499457,1
44.02613006,144.2496713,1
44.02704266,144.250527,1
44.02808262,144.2429154,1
44.02793592,144.2484966,1
44.02728999,144.2479439,1
44.0103638,144.1089982,1
44.00983558,144.1097433,1
44.0102072,144.1113566,1
44.01095593,144.1102656,1
44.01105851,144.1187347,1
44.01412358,144.1113253,1
43.88784816,144.4089384,1
43.88665985,144.411586,1
43.90372275,144.3680821,1
43.90475098,144.3667503,1
43.91738757,144.3876886,1
43.96988803,144.1321376,1
43.97015745,144.1325226,1
43.96911164,144.1313469,1
43.96304478,144.2101406,1
43.96145629,144.2119833,1
43.96207732,144.2126714,1
43.9662532,144.2071501,1
43.96091872,144.3175099,1
43.96030024,144.3171071,1
43.9673904,144.3254034,1
43.96746733,144.3245977,1
43.99663883,144.2782475,1
43.9960592,144.2773455,1
44.01415496,144.2634258,1
44.01631732,144.1715747,1
44.01677359,144.1718172,1
44.09369066,144.1184415,1
44.09596163,144.1243576,1
44.09612041,144.1233665,1
44.0943383,144.1178761,1
44.03891247,144.0972738,1
43.95238565,144.3588747,1
43.95360991,144.3564479,1
43.95335352,144.3536385,1
43.95285559,144.3544335,1
43.95478587,144.3463273,1
44.01957078,144.2466332,1
44.0195554,144.2456172,1
44.01831812,144.2441987,1
44.01554976,144.2775527,1
44.01459597,144.2767897,1
44.01530089,144.2791985,1
44.01410992,144.2787039,1
