緯度,経度,情報
43.18748294,140.9914668,1
43.21461613,141.0027577,1
43.79905594,142.3224905,1
43.73775267,142.3895751,1
43.76611904,142.3562688,1
43.78010771,142.4026317,1
43.78976891,142.4203046,1
43.8095141,142.4103161,1
43.80558542,142.4361378,1
43.79286211,142.374389,1
43.76440592,142.3596869,1
43.75636103,142.3664582,1
43.76870383,142.3864172,1
43.7796893,142.4609973,1
43.77536475,142.4605219,1
43.807224,142.35466,1
43.8047063,142.3651019,1
43.81757272,142.345172,1
43.81761606,142.3555481,1
43.82637575,142.3676827,1
43.77452068,142.3570737,1
43.78719277,142.3890772,1
43.76327581,142.3498084,1
43.75014565,142.3673457,1
43.75875102,142.351952,1
43.76128629,142.3237478,1
43.74616961,142.3401214,1
43.78436808,142.316727,1
43.76293961,142.3341937,1
43.72302697,142.3743438,1
43.68331056,142.3954054,1
43.76870929,142.475165,1
43.77025106,142.4417018,1
43.753796,142.417343,1
43.7418321,142.4175092,1
43.73550778,142.4020007,1
43.72993052,142.415383,1
43.74824301,142.4214399,1
43.74925883,142.4010807,1
43.7832891,142.3754425,1
43.77003389,142.3734437,1
43.825475,142.392386,1
43.76677904,142.4213857,1
43.76830401,142.4276151,1
43.76350338,142.3970723,1
43.82274866,142.3898128,1
43.81795185,142.3932138,1
43.80237109,142.3955725,1
43.81636453,142.3682363,1
43.80271588,142.4045118,1
43.73434132,142.3723203,1
43.73325087,142.3785391,1
43.72119105,142.3814852,1
43.731867,142.368941,1
42.85078409,143.2021442,1
42.87831247,143.1912489,1
42.87641832,143.18334,1
42.88064921,143.1559435,1
42.9062723,143.1958669,1
42.75186057,143.0149668,1
42.74675142,143.0827153,1
42.88011279,143.1963297,1
42.90215109,143.1990609,1
42.91672575,143.2002515,1
42.90628841,143.2002421,1
42.92483506,143.1992869,1
42.92941093,143.1924364,1
42.91550177,143.1555212,1
42.91041769,143.1562751,1
42.88422311,143.1848171,1
42.92288109,143.1826869,1
42.93957281,143.1810654,1
42.91230844,143.1832809,1
42.93862986,143.179643,1
42.88945102,143.1780617,1
42.90296911,143.1707503,1
42.90301844,143.1693869,1
42.93353843,143.1658989,1
42.92323529,143.1604219,1
42.92219716,143.1750768,1
42.91409113,143.1730295,1
42.91191118,143.1756525,1
42.93820851,143.1711535,1
42.90587067,143.1416908,1
42.91718102,143.127142,1
42.92457596,143.1216588,1
42.91324643,143.1237493,1
42.91529911,143.1370302,1
42.90979929,143.1377591,1
42.90778055,143.1381329,1
42.92574484,143.1906313,1
42.8514526,143.1628348,1
42.87894674,143.1482171,1
42.78885673,143.1682141,1
42.79484637,143.1629772,1
42.90924563,143.2062467,1
42.93245928,143.2034366,1
42.90992817,143.2166951,1
42.93060258,143.2148449,1
42.92398427,143.2248717,1
42.9216779,143.2181074,1
42.91867326,143.2162053,1
42.88549678,143.1647831,1
42.89156886,143.1429582,1
42.92216958,143.1696168,1
42.92214224,143.1678151,1
42.90622197,143.1906289,1
42.90652971,143.1884095,1
42.93614941,142.0425401,1
43.02894946,141.9657534,1
42.95491655,142.0307147,1
42.95545807,142.0279656,1
42.98892997,142.0137529,1
43.02380593,141.9689098,1
42.98044676,142.0052362,1
42.98285764,142.0001169,1
43.01035769,142.0522971,1
43.02171888,141.9842467,1
43.02199351,141.9750824,1
43.05387866,141.9731808,1
43.20017016,141.7921661,1
43.19705729,141.767912,1
43.20042071,141.7742501,1
43.09217526,141.7212997,1
43.16218452,141.8386326,1
43.08964678,141.7478143,1
43.1214183,141.7483982,1
43.11856936,141.7504377,1
43.10962292,141.7513389,1
43.14682512,141.8045255,1
43.163059,141.915293,1
43.12027758,141.735574,1
43.12708308,141.6865975,1
43.121433,141.742777,1
43.138681,141.985524,1
43.12106776,141.8067193,1
43.14023771,141.7634839,1
43.21036245,141.7835546,1
43.20290054,141.7662833,1
43.20358516,141.7678369,1
43.16132392,141.7546435,1
43.17028736,141.7696165,1
43.19378918,141.7545039,1
43.18857627,141.7724408,1
43.15895277,141.806768,1
43.18378031,141.7133156,1
43.1603267,141.8705931,1
43.19265071,141.788481,1
43.22437904,141.794837,1
43.208038,141.770378,1
43.18717324,141.7633753,1
43.26545735,141.7897851,1
43.20509492,141.7493954,1
43.17193322,141.63767,1
43.26026388,141.6980732,1
43.26084926,141.6975188,1
43.25861971,141.6922477,1
43.25807098,141.6904706,1
43.29432764,141.7400237,1
43.23309106,141.6750128,1
43.31212821,141.6931673,1
43.2089905,141.6733167,1
43.152138,141.659594,1
43.15047529,141.6642524,1
43.15196521,141.6623104,1
43.21755298,141.7650927,1
43.15258355,141.9383081,1
43.21239653,141.7523534,1
43.9933583,144.2812811,1
43.9947305,144.2838231,1
43.99320819,144.2865242,1
43.99344675,144.2875119,1
43.99156362,144.2891054,1
44.00518579,144.2699867,1
44.00575883,144.2687316,1
44.00425401,144.273154,1
43.99763757,144.2807834,1
43.99520177,144.2788652,1
43.99534598,144.2815511,1
43.99590508,144.2826099,1
44.00429212,144.2808082,1
44.00458042,144.2811419,1
44.00345321,144.2827977,1
44.00105451,144.2867573,1
44.01713805,144.2678731,1
44.0161125,144.2689284,1
44.01754799,144.270854,1
44.0176044,144.2710982,1
44.01356826,144.2709604,1
44.01177723,144.271772,1
44.02856343,144.2550998,1
44.02705274,144.2521212,1
44.03110022,144.2545649,1
44.03123341,144.2529829,1
44.03071307,144.2529401,1
44.02870936,144.2499457,1
44.02613006,144.2496713,1
44.02704266,144.250527,1
44.02808262,144.2429154,1
