緯度,経度,情報
41.86447296,141.1188274,1
41.83004991,141.1438277,1
41.83281937,141.1412284,1
41.76355239,141.0753747,1
41.75769804,141.077235,1
41.78503606,141.1055698,1
41.78709341,141.1406511,1
41.89613167,140.9949819,1
41.88793545,141.0217589,1
43.37102393,141.8675651,1
43.26329871,141.8198068,1
43.2593336,141.8214654,1
43.32384685,141.8557096,1
43.3387475,141.8480191,1
43.33545335,141.8511327,1
43.3269051,141.8814862,1
43.33130949,141.8822228,1
43.33213405,141.8813531,1
43.33188127,141.8782904,1
43.31305997,141.8659317,1
43.31217393,141.8660336,1
42.84408966,141.6505274,1
43.3514138,142.3929544,1
43.3519368,142.3853577,1
43.35335769,142.3843131,1
43.24457168,142.3827279,1
43.33985994,142.3687777,1
43.218522,142.366349,1
43.27065421,142.3742227,1
43.301682,142.367744,1
43.36868084,142.3790266,1
43.33318881,142.4036902,1
43.203817,142.491866,1
43.20426474,142.569295,1
43.355935,142.510335,1
43.32123905,142.3788521,1
43.37468147,142.3499072,1
43.21481689,142.4413116,1
43.31929737,142.4061167,1
43.32726,142.46911,1
43.29469239,142.4032897,1
43.335046,142.5207,1
43.26571972,142.496316,1
43.300628,142.522674,1
43.22159888,142.4972616,1
43.34341261,142.398632,1
43.3482147,142.3898558,1
43.34264225,142.3670712,1
43.342336,142.383447,1
43.34375064,142.3779143,1
43.33105372,142.398677,1
42.479763,141.146976,1
42.89056432,141.5914846,1
42.89298404,141.5928726,1
42.89094699,141.5945417,1
42.88718885,141.5966251,1
42.88823971,141.5971467,1
42.89264376,141.5883497,1
42.87145949,141.5787926,1
42.90532747,141.589174,1
42.90177098,141.585021,1
42.90794117,141.5826637,1
42.90779187,141.5831143,1
42.90796211,141.5916186,1
42.87364047,141.5771862,1
42.92138163,141.6253177,1
42.88327737,141.5766451,1
42.91874492,141.5507098,1
42.92631855,141.5646251,1
42.88907394,141.5665916,1
42.88815869,141.5687282,1
42.88295414,141.5696455,1
42.90675398,141.6055619,1
42.90561965,141.6136402,1
42.90624043,141.6141276,1
42.90548994,141.6132639,1
42.9277255,141.5942984,1
42.92473752,141.5886983,1
42.8942697,141.5804834,1
42.89588804,141.5784965,1
42.91603227,141.5695383,1
42.92041623,141.5790279,1
42.92490071,141.5775482,1
42.91767221,141.5859727,1
42.91750752,141.5841939,1
42.89719509,141.585717,1
42.89904584,141.5695212,1
42.89887293,141.5698431,1
42.90050743,141.5679244,1
42.86584967,141.5732051,1
42.88474273,141.5758915,1
42.88404603,141.578549,1
42.88517772,141.5672501,1
42.8841413,141.5658257,1
42.96009323,141.5976963,1
42.88843068,141.5733426,1
42.87897505,141.5826269,1
42.87419323,141.5899633,1
42.87610464,141.5897103,1
42.87658424,141.5902897,1
42.47289626,140.8483131,1
42.47966207,140.8577357,1
42.47839211,140.8599828,1
42.48262978,140.8612171,1
42.47481562,140.8582032,1
42.46964142,140.8685195,1
42.46802528,140.8720238,1
42.47249437,140.8552341,1
42.47934069,140.8501988,1
42.47682043,140.8515185,1
42.47125769,140.8643886,1
42.46849338,140.8809435,1
42.45332531,140.8861425,1
42.4606581,140.8761291,1
42.45684686,140.8805923,1
42.45242024,140.8835361,1
42.47158287,140.8894962,1
42.47157498,140.8770042,1
42.4757057,140.8814066,1
42.74162955,141.0744713,1
42.67219211,141.1075161,1
42.64833317,141.0628657,1
42.62433505,141.0211597,1
42.66765617,141.0744793,1
42.66878821,141.0749916,1
42.67304799,141.0800074,1
42.66939564,141.0786019,1
42.64551996,141.050546,1
42.63806976,141.0383795,1
42.644269,141.0494493,1
42.47674837,140.8746836,1
42.47901995,140.8746933,1
42.43623165,140.9016179,1
42.38384212,140.9110364,1
42.42806406,140.910408,1
42.43086842,140.9158999,1
42.42789267,140.9017465,1
42.42091874,140.9143616,1
42.48314408,140.8709106,1
42.47490168,140.8619887,1
42.47674972,140.8698578,1
42.46763841,140.8857689,1
42.45502582,140.8869471,1
41.83539869,140.6639142,1
41.84049108,140.6590104,1
41.84037918,140.6596165,1
41.82402545,140.6357629,1
41.82370047,140.6392211,1
41.82391288,140.6396181,1
41.85605073,140.6729624,1
41.85602276,140.6723616,1
41.82515381,140.6784011,1
41.82589185,140.6749563,1
41.8807227,140.6379355,1
41.8831227,140.6323765,1
41.88281916,140.6324516,1
41.73405667,140.574244,1
41.73380447,140.5737558,1
