緯度,経度,情報
43.807224,142.35466,1
43.79159155,143.884522,1
43.79228203,143.8843344,1
43.80336257,143.8361094,1
43.81844158,143.8805862,1
43.74031857,143.8822523,1
43.74009049,143.8822524,1
43.78525735,143.8772773,1
43.78517287,143.8786038,1
43.78601646,143.8780301,1
43.79682427,143.8689428,1
43.79588336,143.8686746,1
43.78654872,143.8973345,1
43.78682251,143.8967018,1
43.81915,143.90605,1
43.81966022,143.9023165,1
43.82356404,143.9050129,1
43.82430531,143.902906,1
43.80612897,143.8866422,1
43.76100788,143.8352387,1
43.76055,143.83515,1
43.78236359,143.8743442,1
43.78087882,143.8787951,1
43.80973174,143.8573497,1
43.8103417,143.8564048,1
43.81130144,143.8575963,1
43.81778814,143.8634409,1
43.81109581,143.8639795,1
43.81408215,143.8607597,1
43.81308509,143.861853,1
43.81741184,143.8695398,1
43.81859739,143.8695214,1
43.81634168,143.8930164,1
43.81542901,143.8902078,1
43.81445588,143.8907448,1
43.77778577,143.9239377,1
43.77747203,143.923927,1
43.81377788,143.8816665,1
43.81167797,143.8770381,1
43.81224314,143.8770811,1
43.81402817,143.8763473,1
43.82779115,143.9211182,1
43.82289785,143.9210819,1
43.82220836,143.9220027,1
43.82279947,143.9226783,1
43.83033067,143.9057458,1
43.82936706,143.9076448,1
43.83030821,143.9257564,1
43.759903,143.8416549,1
43.76052916,143.8445813,1
43.76027733,143.8436693,1
43.75799504,143.8376414,1
43.87530928,143.8550058,1
43.79843097,143.8910185,1
43.79833846,143.8899203,1
43.79958216,143.8906964,1
43.7926079,143.8877611,1
43.79053172,143.8841091,1
44.13060066,143.9742229,1
44.13078973,143.9742741,1
44.128275,143.9748935,1
44.1114728,144.0145354,1
44.11418072,144.0092346,1
44.11421346,144.0085238,1
44.08249542,144.0347223,1
44.08394238,144.034835,1
44.12152535,144.0720549,1
44.1203564,144.0709592,1
44.11956755,144.0674057,1
44.11877615,144.0670677,1
44.11898011,144.0637563,1
44.118414,144.0625547,1
44.12144796,144.0811327,1
44.11978861,144.0806821,1
44.12119658,144.0580917,1
44.12157932,144.056509,1
44.11555306,144.0635126,1
44.11627133,144.0630111,1
44.12051247,144.1014962,1
44.12058949,144.101291,1
44.11929747,144.088407,1
43.98129612,143.9471417,1
43.98095946,143.9459462,1
44.06934896,143.9951047,1
44.06959328,143.995247,1
44.06989006,143.9939649,1
44.02273356,143.9988653,1
44.02247897,143.9987848,1
44.0632644,144.0279426,1
44.06290591,144.0288492,1
44.0638201,144.0292771,1
43.9011034,143.9009568,1
43.89849599,143.8982693,1
43.90623371,143.9087538,1
43.79049734,143.6804675,1
43.79059208,143.6804752,1
43.800048,143.870062,1
43.81846411,143.9392193,1
43.81797641,143.9389832,1
43.80495943,143.8998369,1
43.80535642,143.8990489,1
43.80545997,143.8512864,1
43.80146535,143.7651735,1
43.79779536,143.7543893,1
43.79451117,143.7609061,1
43.79399793,143.7608962,1
43.79701818,143.7492232,1
43.79767182,143.7491923,1
43.81468745,143.8384442,1
43.81541517,143.8380795,1
43.81137453,143.8390886,1
43.81046601,143.839678,1
43.81359757,143.902214,1
43.81437949,143.9027504,1
43.88539841,143.9689631,1
43.88584796,143.9689845,1
43.8537612,143.9775301,1
43.85323278,143.9770147,1
43.85341795,143.9777956,1
43.85423574,143.9364654,1
43.85374252,143.9373478,1
43.84776697,143.9304487,1
43.84734201,143.9303393,1
43.85302578,143.9366869,1
43.85373285,143.9357681,1
43.84633279,143.939329,1
43.84240528,143.9254255,1
43.84354522,143.9258535,1
43.8304022,143.9540768,1
43.83087541,143.952817,1
43.85419556,143.9465064,1
43.84934751,143.9408822,1
43.86129592,143.9429511,1
43.86117656,143.9419274,1
43.86463271,143.945246,1
43.86227315,143.9462243,1
43.86366592,143.9450378,1
43.88154775,143.9975996,1
43.88238588,144.0006528,1
43.88228535,144.0011464,1
43.919167,143.9200423,1
43.91936484,143.9204683,1
43.79380846,143.8475291,1
43.79459782,143.8475388,1
43.8114441,143.889033,1
43.81090146,143.8891766,1
43.81799226,143.9149669,1
43.81830688,143.9141599,1
43.79873315,143.8605207,1
43.79961261,143.8600216,1
43.79294008,143.8631355,1
43.80160247,143.8096051,1
43.80145504,143.8087622,1
43.80342989,143.8223939,1
43.80288481,143.8224648,1
43.80176216,143.8052643,1
43.80169539,143.8036828,1
43.82126984,143.8909969,1
43.82066217,143.8914421,1
43.81987488,143.8966993,1
43.81844663,143.8965759,1
43.81902335,143.8966457,1
43.80109969,143.8978721,1
43.8005182,143.9018212,1
43.80049921,143.9008058,1
43.80088251,143.9001942,1
43.79924095,143.9040963,1
43.79839301,143.9029697,1
43.82422448,143.9122595,1
43.82398141,143.9134818,1
43.81964302,143.8767634,1
43.81960365,143.8774118,1
43.82423156,143.8776622,1
43.82414216,143.8786647,1
43.82361639,143.8788964,1
43.80842118,143.8796085,1
43.80750666,143.8793908,1
43.80795188,143.8795085,1
43.84911,143.78622,1
43.84940908,143.7868135,1
43.78825653,143.8329227,1
43.78791187,143.8329013,1
43.78970873,143.8473637,1
43.79571035,143.7314429,1
43.77649602,143.8741137,1
43.78160139,143.8691574,1
43.78243383,143.8691402,1
43.80670184,143.8933621,1
43.80737159,143.8938395,1
43.81169129,143.8865636,1
43.81241291,143.8866177,1
43.80212018,143.878309,1
43.78483291,143.8711871,1
43.78027065,143.5998007,1
43.779017,143.6083901,1
43.7781816,143.6090817,1
43.77115513,143.6140813,1
43.77633791,143.6114313,1
43.77578014,143.6098327,1
43.78464236,143.6022362,1
43.78457617,143.6035483,1
43.780615,143.623392,1
43.78519551,143.6181447,1
43.78450368,143.6072001,1
43.78482899,143.6084982,1
43.75583189,143.5056154,1
43.75817851,143.5139513,1
43.75796154,143.5130178,1
43.75866283,143.5072286,1
43.75367609,143.5126187,1
43.753277,143.511139,1
43.90771838,143.6070863,1
43.75990507,143.5030942,1
43.75994382,143.5192948,1
43.88882859,143.6337806,1
43.75348,143.50066,1
43.75534286,143.501212,1
43.78687266,143.6171935,1
43.78851206,143.6154141,1
43.8938789,143.6369584,1
43.74069683,143.4529036,1
43.74050304,143.4529144,1
43.82490631,143.8673269,1
43.8052821,143.8479484,1
43.8045192,143.8482447,1
43.80546747,143.8439033,1
43.93266285,141.6405517,1
43.92836669,141.6350835,1
43.92846865,141.6408901,1
43.93470128,141.6438079,1
43.9341412,141.6472051,1
43.97063485,141.6477258,1
43.93630993,141.6372933,1
43.93429801,141.6526393,1
43.93143522,141.6557706,1
43.93182891,141.6633487,1
43.93059891,141.6648674,1
43.92979414,141.6633596,1
43.94644472,141.6299569,1
43.92113924,141.6768802,1
43.91983049,141.6832751,1
43.93423336,141.6729143,1
43.92912616,141.671551,1
43.92350272,141.6352064,1
43.92590471,141.6471631,1
43.91149201,141.6162002,1
42.61380359,141.4987254,1
42.61810186,141.4983145,1
42.62755249,141.5148169,1
42.68483168,141.6955597,1
42.68152729,141.6933155,1
42.63138968,141.6080347,1
42.63172926,141.6097197,1
42.60461666,141.4884218,1
42.60042557,141.4679045,1
42.63444739,141.563923,1
42.62433345,141.5631326,1
42.62570956,141.5624829,1
42.62873914,141.5506423,1
42.65112636,141.6185527,1
42.62333416,141.4950218,1
42.66203971,141.6092227,1
42.7209218,141.7187437,1
42.59055476,141.4356745,1
42.63138538,141.730175,1
42.63324629,141.7286673,1
42.63907978,141.6085473,1
42.66347458,141.6402048,1
42.62024427,141.5145562,1
42.65062552,141.5971213,1
42.65302857,141.5983041,1
42.64912566,141.596288,1
42.60860564,141.4912723,1
42.63017548,141.5756916,1
42.61888315,141.524633,1
42.65062465,141.6124441,1
42.62568003,141.5686206,1
42.66809914,141.6695206,1
42.67329023,141.6810936,1
42.67404655,141.6731263,1
42.66871351,141.6987533,1
42.66617493,141.6997508,1
42.62361818,141.5530782,1
42.62755494,141.5359422,1
42.62836476,141.5358339,1
42.66125453,141.6187356,1
42.66362871,141.6142948,1
42.63490312,141.5487381,1
42.63703139,141.5736009,1
42.61123802,141.4810769,1
42.6574474,141.6281185,1
42.65865601,141.6255534,1
42.62770236,141.5854749,1
42.63866685,141.5524913,1
44.351885,143.344954,1
44.350721,143.344716,1
44.355573,143.351303,1
44.355493,143.348232,1
44.320738,143.375389,1
44.355601,143.35382,1
44.355122,143.353628,1
44.352064,143.351966,1
44.346306,143.35106,1
44.36923818,143.3147092,1
44.3693495,143.3153992,1
44.366912,143.305808,1
44.366437,143.306549,1
44.367536,143.308539,1
44.36794264,143.3073914,1
44.318893,143.223438,1
44.364313,143.330232,1
44.36517231,143.3316476,1
44.36600834,143.3311165,1
44.26579,143.439875,1
44.275529,143.451711,1
44.277509,143.45226,1
44.275035,143.451345,1
44.237482,143.513326,1
44.237954,143.514826,1
44.239736,143.256754,1
44.243021,143.262644,1
44.24276905,143.2623758,1
44.241918,143.258659,1
44.241339,143.258256,1
44.246513,143.260872,1
44.246882,143.26092,1
44.312145,143.293246,1
44.304367,143.292872,1
44.132803,143.199386,1
44.136415,143.200024,1
44.259687,143.364839,1
44.340514,143.339387,1
44.34161,143.340811,1
44.33197503,143.3431307,1
44.331936,143.341687,1
44.348631,143.335257,1
44.356748,143.352478,1
44.361404,143.349404,1
44.360895,143.349823,1
44.344747,143.351468,1
44.338779,143.352702,1
44.339071,143.357644,1
44.338265,143.358336,1
44.334593,143.361292,1
44.334873,143.359827,1
44.336385,143.362047,1
44.336869,143.359944,1
44.365118,143.349499,1
44.368653,143.344678,1
44.365242,143.346377,1
44.362498,143.344572,1
44.36305488,143.3455704,1
44.363591,143.3468,1
44.366781,143.337877,1
44.34749,143.34507,1
44.346669,143.341256,1
44.343792,143.344865,1
44.343815,143.344112,1
43.33673068,145.5899493,1
43.38095672,145.7855665,1
43.38600318,145.7715704,1
43.28772461,145.5902214,1
43.34363576,145.5874342,1
43.33834229,145.5943259,1
43.32922553,145.5945137,1
43.32417024,145.6008054,1
43.32475807,145.5813063,1
43.23175316,145.2581405,1
43.23324547,145.2589205,1
43.22861113,145.2476697,1
43.22667114,145.5457858,1
43.22010872,145.5474946,1
43.33741836,145.7249554,1
43.34977078,145.7241739,1
43.34975264,145.7476664,1
43.35026616,145.7681646,1
43.34334378,145.7537217,1
43.20590107,145.3243554,1
43.33187164,145.5915765,1
43.32322083,145.5931644,1
43.32748641,145.573697,1
43.3296806,145.5814065,1
43.31815682,145.5681611,1
43.31713815,145.5633921,1
43.32313265,145.5680514,1
43.27972496,145.518583,1
43.26735999,145.5404331,1
43.34289314,145.6910697,1
43.33601302,145.5850574,1
43.25494008,145.5482668,1
43.26934453,145.4783875,1
43.28808549,145.5543665,1
43.38478198,145.812065,1
43.20309065,145.5253228,1
43.32385467,145.5753102,1
43.2195021,145.4254953,1
43.38150409,145.7187094,1
43.32852901,145.5791864,1
43.33468659,145.5986912,1
43.33108508,145.606497,1
43.33175233,145.6080849,1
43.29701718,145.5220491,1
43.33137351,145.5783457,1
43.32882168,145.669428,1
43.17410089,145.5059098,1
43.19648795,145.521143,1
43.19535908,145.5215553,1
43.1930456,145.5195262,1
43.36269543,145.7879225,1
43.3657075,145.7934458,1
42.47966207,140.8577357,1
42.47839211,140.8599828,1
42.48262978,140.8612171,1
42.47481562,140.8582032,1
42.46849338,140.8809435,1
42.45332531,140.8861425,1
42.4606581,140.8761291,1
42.45684686,140.8805923,1
42.45242024,140.8835361,1
42.47158287,140.8894962,1
42.47157498,140.8770042,1
42.4757057,140.8814066,1
42.74162955,141.0744713,1
42.67219211,141.1075161,1
42.64833317,141.0628657,1
42.62433505,141.0211597,1
42.66765617,141.0744793,1
42.66878821,141.0749916,1
42.67304799,141.0800074,1
42.66939564,141.0786019,1
42.64551996,141.050546,1
42.63806976,141.0383795,1
42.644269,141.0494493,1
42.47674837,140.8746836,1
42.47901995,140.8746933,1
42.43623165,140.9016179,1
42.48880354,140.8401182,1
42.4977442,140.8402069,1
42.50050757,140.8856407,1
42.50110873,140.8838812,1
42.50590721,140.8057781,1
42.42806406,140.910408,1
42.43086842,140.9158999,1
42.42789267,140.9017465,1
42.50647977,140.8018426,1
42.42091874,140.9143616,1
42.48314408,140.8709106,1
42.47674972,140.8698578,1
42.46763841,140.8857689,1
42.45502582,140.8869471,1
43.24430882,141.3490726,1
43.24385944,141.3482465,1
43.17045412,141.3417401,1
43.1714322,141.3410212,1
43.13677351,141.2849841,1
43.13603366,141.2857297,1
43.15421311,141.2924883,1
43.15346173,141.2913886,1
43.14401995,141.3000176,1
