緯度,経度,情報
32.801575,130.688958,1
32.832412,130.641558,1
32.828426,130.590585,1
32.828409,130.591517,1
32.836669,130.583855,1
32.841892,130.586976,1
32.843362,130.643095,1
32.842398,130.642815,1
32.841102,130.640674,1
32.817577,130.694862,1
32.816554,130.694856,1
32.822749,130.690747,1
32.825547,130.685321,1
32.784237,130.656297,1
32.790388,130.691058,1
32.789757,130.689486,1
32.789842,130.685916,1
32.77685023,130.6476106,1
32.776323,130.646861,1
32.776336,130.636119,1
32.778943,130.634586,1
32.782574,130.63292,1
32.773807,130.634497,1
32.812419,130.625217,1
32.820992,130.698625,1
32.814634,130.701113,1
32.78602,130.665237,1
32.796715,130.634725,1
32.778442,130.655436,1
32.778041,130.65709,1
32.782695,130.649328,1
32.77571062,130.6504245,1
32.77426889,130.6468008,1
32.797802,130.614508,1
32.824062,130.695025,1
32.790488,130.67139,1
32.789091,130.676509,1
32.821846,130.70283,1
32.825171,130.704221,1
32.76686,130.627417,1
32.76667,130.628934,1
32.783763,130.679855,1
32.808731,130.692175,1
32.80685386,130.6865109,1
32.80565366,130.6827819,1
32.810786,130.680077,1
32.813785,130.680424,1
32.782321,130.689592,1
32.779347,130.678545,1
32.77566202,130.683822,1
32.777815,130.684143,1
32.809114,130.718431,1
32.79954,130.704676,1
32.81728,130.704112,1
32.81789,130.704457,1
32.78826447,130.7075609,1
32.784347,130.70534,1
32.792347,130.716188,1
32.793042,130.713765,1
32.793877,130.702732,1
32.800929,130.700024,1
32.787735,130.728165,1
32.81121293,130.725341,1
32.814575,130.720253,1
32.817782,130.722946,1
32.816174,130.725568,1
32.81983876,130.720156,1
32.816408,130.731902,1
32.795878,130.695933,1
32.79594238,130.6956943,1
32.800588,130.755277,1
32.789046,130.731203,1
32.785117,130.736607,1
32.783234,130.7306183,1
32.77464589,130.7399497,1
32.778582,130.73081,1
32.784081,130.726848,1
32.775036,130.728094,1
32.792407,130.747132,1
32.793898,130.745116,1
32.80839,130.7117,1
32.802677,130.716847,1
32.799883,130.729586,1
32.798113,130.6974,1
32.80239,130.69506,1
32.787241,130.738785,1
32.786891,130.740052,1
32.796253,130.729416,1
32.794474,130.740412,1
32.793151,130.738984,1
32.794521,130.740595,1
32.79007463,130.7347405,1
32.790061,130.719695,1
32.784299,130.697596,1
32.808347,130.709322,1
32.808708,130.708212,1
32.805159,130.714967,1
32.804732,130.715552,1
32.802307,130.741402,1
32.801179,130.74504,1
32.80193,130.749869,1
32.807334,130.758215,1
32.811298,130.72325,1
32.804308,130.729448,1
32.80339,130.722104,1
32.803071,130.726417,1
32.801929,130.725461,1
32.797825,130.721046,1
32.80003629,130.7261754,1
32.798861,130.725085,1
32.794533,130.722009,1
32.806696,130.695217,1
32.799777,130.712517,1
32.797031,130.701795,1
32.815799,130.714035,1
32.817869,130.715085,1
32.82008,130.717069,1
32.80634,130.732673,1
32.803944,130.735808,1
32.80758,130.7387,1
32.803535,130.692925,1
32.80658634,130.7020272,1
32.79352,130.72094,1
32.780935,130.71715,1
32.791475,130.694759,1
32.789394,130.700032,1
32.787578,130.698705,1
32.792251,130.704691,1
32.792637,130.708133,1
32.81301698,130.710128,1
32.767193,130.739992,1
32.777952,130.775935,1
32.781405,130.776701,1
32.789212,130.774766,1
32.76411077,130.7344769,1
32.79085028,130.757078,1
32.79161398,130.753283,1
32.788377,130.753631,1
32.805994,130.766339,1
32.805075,130.770825,1
32.783309,130.750479,1
32.78224,130.75348,1
32.784179,130.752403,1
32.779311,130.754102,1
32.824541,130.793929,1
32.824024,130.792208,1
32.825531,130.79747,1
32.801826,130.787379,1
32.781329,130.748048,1
32.818321,130.761385,1
32.821374,130.765997,1
32.76688948,130.7561062,1
32.782509,130.782984,1
32.788308,130.781765,1
32.797129,130.768891,1
32.798119,130.771003,1
32.77519,130.762075,1
32.772732,130.763405,1
32.771161,130.773298,1
32.77058829,130.7718776,1
32.772485,130.771715,1
32.829484,130.7909,1
32.799699,130.778235,1
32.77573027,130.7775639,1
32.775081,130.785721,1
32.827523,130.763043,1
32.833972,130.771003,1
32.837301,130.774227,1
32.839182,130.77401,1
32.813052,130.747984,1
32.776778,130.753034,1
32.810819,130.763225,1
32.817545,130.776542,1
32.824587,130.775381,1
32.825233,130.775027,1
32.827905,130.779154,1
32.809762,130.77462,1
32.81408,130.778442,1
32.812627,130.779632,1
32.812435,130.745198,1
32.78197,130.766789,1
32.786564,130.767843,1
32.781434,130.76483,1
32.783268,130.764276,1
32.7758746,130.7690237,1
32.77599,130.773559,1
32.774973,130.767996,1
32.793805,130.754073,1
32.796033,130.754618,1
32.809566,130.75577,1
32.811814,130.74626,1
32.732474,130.635933,1
32.732919,130.636721,1
32.734407,130.636153,1
32.730577,130.62465,1
32.75444,130.653539,1
32.761745,130.68216,1
32.758665,130.681428,1
32.76895,130.692038,1
32.766734,130.689465,1
32.765077,130.697754,1
32.764194,130.699259,1
32.73657896,130.6970144,1
32.743748,130.694368,1
32.758057,130.712454,1
32.754308,130.716055,1
32.749253,130.715102,1
