緯度,経度,情報
33.76864584,130.749834,1
33.88686687,130.8351334,1
33.88694061,130.8392781,1
33.8849232,130.8399963,1
33.8914447,130.8188854,1
33.88880478,130.8179718,1
33.89243115,130.8442672,1
33.87533062,130.8407372,1
33.88886762,130.8244965,1
33.89300919,130.8351195,1
33.89509508,130.8352562,1
33.89974269,130.837216,1
33.89136699,130.8216147,1
33.89823886,130.8294206,1
33.88346459,130.8277236,1
33.87045352,130.8271934,1
33.87799677,130.8328586,1
33.89098,130.839508,1
33.89879857,130.83056,1
33.89066163,130.8274927,1
33.89251204,130.8282983,1
33.89478,130.8245351,1
33.89339232,130.8266317,1
33.89551818,130.8383184,1
33.89364706,130.84273,1
33.8980402,130.8451056,1
33.89660669,130.8495454,1
33.890002,130.832271,1
33.87770602,130.836515,1
33.8795656,130.8296265,1
33.87928603,130.8272826,1
33.8998364,130.8215802,1
33.88195883,130.8379639,1
33.88733455,130.8178526,1
33.89107616,130.8133999,1
33.89122188,130.8088581,1
33.89226284,130.8065896,1
33.88594485,130.8358876,1
33.88686642,130.8328177,1
33.88590006,130.8315566,1
33.88496598,130.8335453,1
33.88984894,130.7119753,1
33.89310106,130.7115278,1
33.8927092,130.7102618,1
33.9156587,130.7901216,1
33.90667867,130.6762057,1
33.89349271,130.7365773,1
33.895543,130.7346995,1
33.89819226,130.7372826,1
33.91586634,130.7891669,1
33.89351444,130.8001437,1
33.89271002,130.7965884,1
33.89275914,130.7943838,1
33.89270203,130.7945498,1
33.8964321,130.7948529,1
33.92119174,130.785029,1
33.88935792,130.6947564,1
33.89036184,130.6946623,1
33.89345505,130.6929596,1
33.89310343,130.6933143,1
33.89404994,130.7762628,1
33.8939009,130.7740604,1
33.8949431,130.7717275,1
33.90098911,130.8019496,1
33.91889263,130.7799786,1
33.88865981,130.7055926,1
33.91268,130.792255,1
33.90585512,130.7954098,1
33.91197822,130.7990078,1
33.92034854,130.7903427,1
33.91995261,130.7918701,1
33.91063888,130.7931142,1
33.9041403,130.6866757,1
33.90455995,130.6873892,1
33.89903913,130.6878954,1
33.88715635,130.764724,1
33.89478092,130.7828774,1
33.9130675,130.727611,1
33.93255106,130.7276434,1
33.92959133,130.7231999,1
33.90681859,130.6979447,1
33.9033236,130.7987236,1
33.90827561,130.7414948,1
33.91548734,130.7546678,1
33.91711452,130.7304501,1
33.90360709,130.7227822,1
33.88896731,130.7457145,1
33.90602781,130.7099737,1
33.89426334,130.7914984,1
33.88768119,130.7580709,1
33.8887126,130.7559805,1
33.89372217,130.7483746,1
33.89659016,130.7466936,1
33.90214486,130.8055023,1
33.90501539,130.8046298,1
33.90725337,130.8017867,1
33.90537625,130.8116351,1
33.89903998,130.746049,1
33.84943668,130.9086679,1
33.834667,130.901005,1
33.83705468,130.9048222,1
33.83118267,130.8967503,1
33.83040036,130.8919062,1
33.833805,130.8966559,1
33.84523678,130.9639682,1
33.830279,130.940475,1
33.83040857,130.9409775,1
33.84396627,130.9157773,1
33.84244838,130.9219433,1
33.84298956,130.9213628,1
33.84203953,130.8667549,1
33.80823273,130.9305398,1
33.82279342,130.8762721,1
33.82660345,130.8735556,1
33.84884071,130.9475725,1
33.80918099,130.9467426,1
33.80667304,130.9501463,1
33.80358294,130.9544958,1
33.80091582,130.9588279,1
33.80452505,130.9669889,1
33.82643205,130.8551577,1
33.81638846,130.8722734,1
33.81988145,130.8812742,1
33.85278,130.887889,1
33.84671474,130.8901187,1
33.84704982,130.8851689,1
33.84722947,130.8829445,1
33.83326934,130.8767603,1
33.8545377,130.9456744,1
33.8483704,130.9389059,1
33.84268988,130.931899,1
33.84943155,130.9375012,1
33.84188252,130.9093342,1
33.81638841,130.9215863,1
33.85563567,130.9487457,1
33.8580843,130.9477214,1
33.83192262,130.8900845,1
33.81283749,130.944485,1
33.82985332,130.8796782,1
33.81692726,130.9214278,1
33.82143609,130.952012,1
33.80978431,130.9721111,1
33.80041551,130.9581748,1
33.81276731,130.8396451,1
33.81276411,130.8320761,1
33.80035267,130.8483603,1
33.76479937,130.8682571,1
33.76289743,130.867856,1
33.80410572,130.8801282,1
33.81523307,130.8751398,1
33.81446374,130.8757622,1
33.79268247,130.8480306,1
33.78654333,130.8694523,1
33.832161,130.956805,1
33.81951586,130.9112677,1
33.74198301,130.844158,1
33.81841607,130.8236922,1
33.77793256,130.8417684,1
33.77766065,130.8648075,1
33.77896704,130.8662294,1
33.84702126,130.9497493,1
33.84389094,130.9480814,1
33.84591698,130.9507063,1
33.84890102,130.9544416,1
33.82389366,130.9381778,1
33.82456305,130.9398205,1
33.82346773,130.9393407,1
33.82828066,130.9453438,1
33.82873739,130.9466525,1
33.82090731,130.8545291,1
33.81363543,130.8514405,1
33.81769195,130.8589184,1
33.82240619,130.8567622,1
33.83093438,130.9151536,1
33.8259002,130.9324261,1
33.82680219,130.9302721,1
33.82035437,130.927609,1
33.82275315,130.9300221,1
33.8200974,130.927267,1
33.82149986,130.9312783,1
33.82968526,130.9280403,1
33.84504275,130.9012461,1
33.84682481,130.895181,1
33.83981959,130.9008476,1
33.83958,130.90419,1
33.81149728,130.8562478,1
33.81229834,130.8556908,1
33.81331257,130.8650222,1
33.8085868,130.8541178,1
33.80858532,130.8533386,1
33.82432352,130.8702504,1
33.82728056,130.8634678,1
33.82708559,130.863446,1
33.8403463,130.869135,1
33.83552152,130.8677646,1
33.84330356,130.8855783,1
33.83470172,130.864571,1
33.8296465,130.8621889,1
33.82989424,130.8592673,1
33.83925333,130.8791203,1
33.85724293,130.8823033,1
33.860032,130.881827,1
33.85910036,130.8806461,1
33.86006374,130.8807701,1
33.8604166,130.8787855,1
33.82582606,130.9046359,1
33.75763119,130.8956351,1
33.75688123,130.8951065,1
33.84871501,130.8801809,1
33.85067211,130.8796089,1
33.84915685,130.8771138,1
33.84451465,130.8786891,1
33.84366487,130.8747933,1
33.83570514,130.882674,1
33.83502828,130.8824527,1
33.88665203,130.8632005,1
33.88710796,130.8506453,1
33.88391333,130.8457051,1
33.88340089,130.8452494,1
33.8779574,130.8903528,1
33.87697287,130.8914588,1
33.87111311,130.8793041,1
33.86874739,130.878936,1
33.87610869,130.8554521,1
