緯度,経度,情報
37.73009091,140.3947793,1
37.75421531,140.4606766,1
37.72165703,140.4509784,1
37.78954612,140.5150072,1
37.79246935,140.5214538,1
37.77274536,140.5000709,1
37.76506501,140.4920667,1
37.76506048,140.4965469,1
37.76485381,140.469317,1
37.79806302,140.4806383,1
37.79123821,140.5086071,1
37.79644803,140.4789687,1
37.78757802,140.483742,1
37.78375034,140.4763197,1
37.74519227,140.4340347,1
37.76283323,140.4676074,1
37.79996695,140.4868077,1
37.8060516,140.4732889,1
37.77528281,140.4914593,1
37.77633737,140.4923203,1
37.7807556,140.4570786,1
37.78170531,140.4583285,1
37.77918558,140.4589962,1
37.7649762,140.4673619,1
37.6905776,140.468969,1
37.71073486,140.3716287,1
37.72415969,140.388307,1
37.72858913,140.4646573,1
37.72827376,140.4648066,1
37.72437934,140.36543,1
37.72319326,140.3558147,1
37.74454017,140.405989,1
37.75717832,140.3756561,1
37.76145704,140.4786741,1
37.79382444,140.43116,1
37.79531043,140.4240966,1
37.78891398,140.4328978,1
37.76069236,140.4227126,1
37.75995494,140.4194871,1
37.77101973,140.4232394,1
37.7832332,140.4099301,1
37.75728671,140.4540276,1
37.77988746,140.4803764,1
37.76991497,140.4745751,1
37.77198712,140.5103634,1
37.72026472,140.4299882,1
37.76786919,140.4736377,1
37.71044045,140.4315882,1
37.65608274,140.4615302,1
37.65830434,140.4677025,1
37.65577971,140.4641303,1
37.64419161,140.500326,1
37.66539034,140.4212486,1
37.67746958,140.4654933,1
37.68413927,140.4553021,1
37.68289573,140.4657037,1
37.6661875,140.4729637,1
37.75811324,140.4712984,1
37.76645211,140.4785247,1
37.73456497,140.4164525,1
37.75620564,140.4779993,1
37.72513647,140.3836098,1
37.73256681,140.3905102,1
37.72718098,140.3860375,1
37.75871656,140.3961411,1
37.75805488,140.4684181,1
37.76081267,140.4699573,1
37.76931701,140.4515137,1
37.76432413,140.4483826,1
37.7675482,140.4568313,1
37.76745936,140.4497655,1
37.76459845,140.4622906,1
37.76253622,140.4638376,1
37.75376668,140.4367293,1
37.75249037,140.4363099,1
37.75051984,140.4549814,1
37.75140468,140.4668291,1
37.80435389,140.4900022,1
37.80199885,140.4870824,1
37.74619545,140.4620144,1
37.79871003,140.4028374,1
37.81548367,140.4160047,1
37.72661669,140.4421454,1
37.72263817,140.4366743,1
37.72593415,140.4363528,1
37.7329481,140.5341937,1
37.75741075,140.5539663,1
37.77231869,140.3802269,1
37.76460434,140.3786616,1
37.75236612,140.3049126,1
