緯度,経度,情報
36.401662,140.502785,1
36.458131,140.408917,1
36.40161043,140.4541602,1
36.3332029,140.5483385,1
36.34092622,140.5585969,1
36.33945001,140.5521832,1
36.42691066,140.4309619,1
36.439022,140.443675,1
36.42722106,140.4336063,1
36.34313901,140.555999,1
36.34501054,140.5572588,1
36.34465724,140.5580929,1
36.30395665,140.5147178,1
36.37665771,140.4106431,1
36.3789038,140.4047689,1
36.37472973,140.4053022,1
36.36848525,140.4129638,1
36.37097098,140.4186632,1
36.34412998,140.4543587,1
36.34213517,140.4560518,1
36.33746078,140.4520962,1
36.364503,140.51902,1
36.33376459,140.4617724,1
36.33212495,140.4592845,1
36.361672,140.482578,1
36.38441174,140.4633871,1
36.34852813,140.5185283,1
36.37326745,140.436016,1
36.37311054,140.43855,1
36.37355954,140.4382257,1
36.35508637,140.442757,1
36.35621153,140.4437983,1
36.3576563,140.4447103,1
36.380767,140.440024,1
36.37566603,140.4300822,1
36.34561134,140.476816,1
36.34510846,140.4759055,1
36.3453537,140.4812974,1
36.35812747,140.4770771,1
36.3796147,140.4666437,1
36.345319,140.371674,1
36.34510093,140.3711368,1
36.374946,140.476509,1
36.37475377,140.475442,1
36.37361,140.479492,1
36.37324522,140.4815575,1
36.37546895,140.4806474,1
36.37149309,140.4840677,1
36.37964921,140.4990685,1
36.38042805,140.5027378,1
36.34255931,140.4937218,1
36.34112487,140.4931167,1
36.37332831,140.493494,1
36.37196156,140.4961192,1
36.36517918,140.4787715,1
36.39331371,140.4307926,1
36.39393611,140.4329568,1
36.3963837,140.4399292,1
36.38581307,140.4521154,1
36.38484876,140.4521283,1
36.37973559,140.4834044,1
36.38733508,140.4447026,1
36.38714507,140.444016,1
36.38563253,140.4269373,1
36.38988558,140.4224408,1
36.36180039,140.4628416,1
36.35500772,140.4651879,1
36.37519572,140.4536662,1
36.36810333,140.4553292,1
36.41147814,140.3856349,1
36.3934654,140.3959714,1
36.39585142,140.4063679,1
36.39730417,140.4069586,1
36.33714156,140.5375355,1
36.33653116,140.5437469,1
36.32278579,140.52162,1
36.322352,140.5209658,1
36.378503,140.471418,1
36.38343238,140.3919502,1
36.38375696,140.3887853,1
36.39628911,140.4592517,1
36.381218,140.360508,1
36.3617187,140.4896356,1
36.360895,140.489308,1
36.38586721,140.4481653,1
36.36383401,140.5260287,1
36.36217242,140.3565173,1
36.36227526,140.3591711,1
36.36415647,140.3609985,1
36.3619938,140.4775372,1
36.43773879,140.414377,1
36.43860208,140.4153661,1
36.43879064,140.413577,1
36.38086196,140.4325093,1
36.34522292,140.5099616,1
36.36385132,140.4946282,1
36.39997966,140.4439059,1
36.40172403,140.4447642,1
36.32828995,140.4284629,1
36.32893913,140.4314937,1
36.39885271,140.4283714,1
36.39671253,140.4208598,1
36.40483002,140.4278975,1
36.40574326,140.4272176,1
36.39710408,140.4692898,1
36.399973,140.468335,1
