緯度,経度,情報
32.770988,129.958512,1
32.77276,129.95731,1
32.832706,129.770933,1
32.831447,129.769662,1
32.831327,129.762675,1
32.831931,129.765172,1
32.830825,129.765606,1
32.83508,129.767516,1
32.8081,129.96002,1
32.728758,129.835483,1
32.731201,129.838844,1
32.737082,129.836848,1
32.731397,129.833744,1
32.8015,129.84484,1
32.70086,129.86057,1
32.70143,129.85208,1
32.735167,129.889907,1
32.62074819,129.7919065,1
32.70608826,129.7768164,1
32.74612,129.886004,1
32.64327772,129.8383999,1
32.64399141,129.83428,1
32.755734,129.861767,1
32.737806,129.878518,1
32.829801,129.720884,1
32.741895,129.852805,1
32.813745,129.83505,1
32.811937,129.833022,1
32.83550724,129.7160751,1
32.84014,129.72162,1
32.83865556,129.7149029,1
32.78775,129.86288,1
32.772398,129.850325,1
32.770754,129.849126,1
32.65231143,129.8177147,1
32.64103,129.80944,1
32.757,129.94272,1
32.777923,129.800963,1
32.772911,129.816162,1
32.80762,129.846135,1
32.806838,129.835078,1
32.80439,129.83496,1
32.748843,129.862532,1
32.768221,129.850683,1
32.76696,129.8655,1
32.741051,129.879473,1
32.62560515,129.8344088,1
32.60834,129.81884,1
32.62684,129.830232,1
32.748897,129.880781,1
32.8254,129.77367,1
32.90231,129.78764,1
32.868143,129.788453,1
32.865942,129.787378,1
32.95853,129.788654,1
32.951171,129.787692,1
32.95418,129.80127,1
32.909751,129.753044,1
32.90596,129.78521,1
32.75023,129.875184,1
32.732813,129.878016,1
32.80531,129.96074,1
32.76759,129.96958,1
32.766062,129.972419,1
32.766298,129.970709,1
32.769612,129.972789,1
32.725702,129.86945,1
32.722213,129.861955,1
32.744016,129.873104,1
32.772278,129.871737,1
32.687097,129.808331,1
32.698175,129.817436,1
32.681809,129.807524,1
32.68508,129.80082,1
32.68969,129.79928,1
32.692351,129.814271,1
32.691403,129.812391,1
32.6897735,129.8146999,1
32.68807595,129.8121464,1
32.77861,129.948201,1
32.774669,129.945554,1
32.779125,129.945179,1
32.777686,129.94601,1
32.780603,129.942181,1
32.777754,129.9442,1
32.66258,129.75123,1
32.60618027,129.7892779,1
32.60888,129.79073,1
32.60772573,129.7844821,1
32.603153,129.787199,1
32.628304,129.794326,1
32.750963,129.878094,1
32.823646,129.753863,1
32.820584,129.754991,1
32.72447,129.8974,1
32.78269,129.88121,1
32.778809,129.878058,1
32.826183,129.748127,1
32.78759,129.7888,1
32.791001,129.861086,1
32.7932,129.86118,1
32.75936,129.94242,1
32.72934,129.86901,1
32.72867,129.874147,1
32.754275,129.857087,1
32.752557,129.859299,1
32.80239,129.88097,1
32.78384,129.8382,1
32.778318,129.841104,1
32.77886,129.82874,1
32.778272,129.823948,1
32.780495,129.823971,1
32.725215,129.86594,1
32.733894,129.867328,1
32.791033,129.867885,1
32.80802,129.94532,1
32.77595,129.86342,1
32.774668,129.967642,1
32.716946,129.867177,1
32.84257899,129.7182155,1
32.73203,129.88654,1
32.730868,129.887966,1
32.727691,129.887052,1
32.754351,129.881219,1
32.86808488,129.6839234,1
32.77752,129.85911,1
32.770359,129.839258,1
32.776191,129.840366,1
32.773577,129.856564,1
32.709844,129.872204,1
32.740969,129.874425,1
32.85876098,129.7111478,1
32.685326,129.831464,1
32.686855,129.824318,1
32.7228,129.82683,1
32.87701,129.68123,1
32.87888437,129.6840012,1
32.877901,129.689608,1
32.8810761,129.6811956,1
32.881189,129.682799,1
32.88853271,129.7094661,1
32.89328165,129.7290999,1
32.745948,129.858578,1
32.83315,129.791541,1
32.829665,129.791659,1
32.832672,129.789515,1
32.826667,129.783649,1
32.66067173,129.8237792,1
32.658881,129.821392,1
32.6616522,129.8218885,1
32.662679,129.819848,1
32.66483064,129.821341,1
32.863348,129.788535,1
32.870666,129.796337,1
32.854885,129.783921,1
32.754302,129.871571,1
32.762068,129.887793,1
32.77988,129.88883,1
32.783112,129.892468,1
32.756361,129.883685,1
32.84312884,129.7022241,1
32.84748696,129.7027203,1
32.78395,129.87117,1
32.799724,129.85526,1
32.63281103,129.830372,1
32.767019,129.86353,1
32.79381,129.88347,1
32.79717,129.87961,1
32.78545,129.869951,1
32.793939,129.865702,1
32.795207,129.86195,1
32.82445,129.781624,1
32.72857,129.940734,1
32.750523,129.882823,1
32.7448,129.831831,1
32.88316416,129.5962501,1
32.79278,129.85877,1
32.751412,129.875664,1
32.925397,129.787612,1
32.793469,129.948199,1
32.79346,129.95068,1
32.68836,129.84246,1
32.69145,129.84156,1
32.770476,129.945639,1
32.773231,129.944712,1
32.765767,129.949505,1
32.769012,129.950574,1
32.770207,129.94106,1
32.769743,129.948698,1
32.734451,129.875487,1
32.8377068,129.7068644,1
32.78101,129.95293,1
32.786594,129.949626,1
32.785951,129.952109,1
32.786896,129.953971,1
32.735882,129.851191,1
32.729923,129.881913,1
32.746993,129.876986,1
32.785651,129.854614,1
32.77243,129.85337,1
32.65275,129.83118,1
32.742048,129.889823,1
32.74406,129.817248,1
32.7853391,129.9469275,1
