緯度,経度,情報
36.62675571,138.1433777,1
36.62285696,138.1426562,1
36.60074009,138.1770525,1
36.59256568,138.1720717,1
36.59871647,138.177849,1
36.68208162,138.2126035,1
36.69444192,138.0083949,1
36.68956833,138.0070172,1
36.67931904,137.9914701,1
36.68570229,137.9670519,1
36.68840059,137.966413,1
36.67855443,138.004836,1
36.67956689,138.0040571,1
36.68052088,138.0030911,1
36.68027996,138.0034881,1
36.68045111,138.0054712,1
36.6806384,138.013525,1
36.68557343,138.0083933,1
36.68210095,138.0036527,1
36.68498615,138.015366,1
36.69693827,138.0221338,1
36.7020341,138.027489,1
36.71507329,138.036326,1
36.73297417,138.0365473,1
36.71205069,138.0219912,1
36.71219239,138.0224126,1
36.67891248,138.0047578,1
36.70339562,138.0143057,1
36.7076072,138.0187806,1
36.70631406,138.0186599,1
36.70616689,137.9565294,1
36.7153729,137.9635506,1
36.68018062,138.0015068,1
36.67186906,137.9962831,1
36.66992534,137.9935493,1
36.67324623,137.9921455,1
36.67392482,137.9900553,1
36.68086293,137.9827152,1
36.68592595,137.9640348,1
36.6856835,137.9657831,1
36.68738976,137.9417464,1
36.67357281,138.0069252,1
36.66910332,137.928787,1
36.67124606,138.2141063,1
36.66936777,138.2216355,1
36.66090267,138.231284,1
36.66427226,138.2185577,1
36.72769127,138.0789334,1
36.72748611,138.077,1
36.72935949,138.0769066,1
36.7388369,138.0852177,1
36.75018601,138.0856121,1
36.72655796,138.0655081,1
36.66898403,138.0884059,1
36.66907899,138.0916987,1
36.66280592,138.096638,1
36.67108991,138.0784117,1
36.67198378,138.0779751,1
36.66556082,138.0619148,1
36.66736655,138.0578745,1
36.67014461,138.0503763,1
36.69483758,138.0672058,1
36.68926501,138.0640566,1
36.68491381,138.0767191,1
36.68679675,138.0690556,1
36.68845278,138.0714509,1
36.68264369,138.0687154,1
36.67766265,138.0678898,1
36.67351577,138.0743339,1
36.67646743,138.0682019,1
36.67662228,138.0675456,1
36.68570145,138.0625339,1
36.68709884,138.0554293,1
36.68160647,138.0530239,1
36.68123034,138.0579907,1
36.67455077,138.0533093,1
36.67218055,138.0481556,1
36.69151388,138.0682278,1
36.70217855,138.1015237,1
36.69445123,138.1054018,1
36.70642873,138.0866096,1
