緯度,経度,情報
35.632606,140.088013,1
35.636148,140.082672,1
35.636562,140.08339,1
35.643927,140.0821,1
35.64062,140.08292,1
35.641515,140.086922,1
35.65317,140.125533,1
35.652474,140.127453,1
35.654072,140.119792,1
35.646871,140.115721,1
35.648613,140.10734,1
35.657817,140.107228,1
35.658964,140.109734,1
35.66299,140.105819,1
35.638143,140.105287,1
35.63627,140.106468,1
35.624684,140.109721,1
35.625768,140.111161,1
35.630306,140.108309,1
35.631176,140.108064,1
35.631506,140.109383,1
35.626439,140.093987,1
35.630485,140.097911,1
35.625484,140.117697,1
35.631669,140.122988,1
35.631022,140.123101,1
35.629152,140.120068,1
35.665341,140.142685,1
35.663613,140.137481,1
35.652251,140.091809,1
35.63838,140.102413,1
35.63924,140.097587,1
35.641281,140.101221,1
35.639361,140.099082,1
35.639676,140.095854,1
35.646589,140.089395,1
35.647279,140.097899,1
35.644048,140.099461,1
35.645896,140.099422,1
35.636797,140.117923,1
35.668396,140.129942,1
35.665699,140.131044,1
35.662191,140.113685,1
35.656597,140.113163,1
35.663381,140.126171,1
35.633774,140.1168,1
35.638225,140.116007,1
35.648648,140.12016,1
35.626884,140.102828,1
35.625803,140.101136,1
35.623442,140.097753,1
35.622432,140.09687,1
35.657531,140.145563,1
35.687879,140.122574,1
35.687954,140.119794,1
35.691687,140.11922,1
35.689219,140.120026,1
35.663686,140.095609,1
35.665081,140.096923,1
35.663923,140.099185,1
35.667513,140.091189,1
35.668038,140.091346,1
35.670339,140.090189,1
35.692294,140.137854,1
35.696165,140.120359,1
35.657782,140.069651,1
35.655299,140.074047,1
35.656337,140.073887,1
35.685277,140.088844,1
35.694152,140.097846,1
35.689365,140.101545,1
35.688791,140.101329,1
35.689048,140.102719,1
35.683631,140.094928,1
35.681497,140.096891,1
35.682998,140.096972,1
35.648881,140.068613,1
35.649268,140.067343,1
35.687734,140.084471,1
35.677681,140.116991,1
35.664124,140.069014,1
35.650972,140.086281,1
35.679165,140.115412,1
35.678105,140.120609,1
35.655571,140.08917,1
35.656489,140.087576,1
