緯度,経度,情報
36.41592317,139.1323985,1
36.39689218,139.0962374,1
36.41599372,139.0760456,1
36.41116322,139.0674924,1
36.35292634,139.0703108,1
36.33852598,139.1647432,1
36.42362103,139.1639842,1
36.42330201,139.164054,1
36.419367,139.165993,1
36.43284324,139.0422176,1
36.407646,139.056113,1
36.35105598,139.0833529,1
36.33444474,139.0871329,1
36.3404253,139.1041015,1
36.34725,139.136352,1
36.38709858,139.0402302,1
36.38642972,139.0386653,1
36.39201627,139.0371335,1
36.37957882,139.0394494,1
36.38283602,139.0429714,1
36.36304303,139.1008043,1
36.36274016,139.0991189,1
36.372129,139.05598,1
36.35958283,139.1104291,1
36.357168,139.113705,1
36.37660522,139.1372231,1
36.38403763,139.0648642,1
36.37688666,139.1608953,1
36.388132,139.164739,1
36.381481,139.16479,1
36.430488,139.054853,1
36.42181273,139.0506287,1
36.43053562,139.0438335,1
36.428166,139.047872,1
36.424246,139.060415,1
36.40864119,139.0285961,1
36.38684,139.078661,1
36.40621772,139.0795865,1
36.348859,139.12452,1
36.40594,139.070792,1
36.423083,139.105048,1
36.363355,139.129328,1
36.42060539,139.1107005,1
36.402886,139.065572,1
36.403689,139.090704,1
36.3638348,139.081436,1
36.36333994,139.0798354,1
36.36506593,139.0795209,1
36.41391259,139.0824894,1
36.415262,139.083298,1
36.41589647,139.0846825,1
36.41439309,139.0568284,1
36.362112,139.067096,1
36.39386338,139.1044087,1
36.396062,139.103233,1
36.396501,139.104786,1
36.36910904,139.1222998,1
36.36737407,139.1227536,1
36.394658,139.080126,1
36.38005154,139.0490329,1
36.40221168,139.1785316,1
36.41869273,139.0076421,1
36.38878818,139.1957243,1
36.384086,139.192315,1
36.386254,139.100946,1
36.39002328,139.0839251,1
36.41791436,139.0132616,1
36.417275,139.012419,1
36.41419351,139.0155245,1
36.38906829,139.1186883,1
36.360704,139.048447,1
36.39981612,139.044625,1
36.39834716,139.0440666,1
36.41433327,139.0415446,1
36.40758391,139.0396975,1
36.40909,139.037908,1
36.410138,139.034974,1
36.395159,139.035131,1
36.395043,139.033889,1
36.38880297,139.0639314,1
36.39392706,139.0620493,1
36.39490578,139.0458432,1
36.3885832,139.0485329,1
36.38837201,139.0466313,1
36.36265394,139.0602889,1
36.36041,139.058972,1
36.435606,139.13824,1
36.366859,139.096274,1
36.36663237,139.1022247,1
36.358262,139.090372,1
36.38652335,139.0899125,1
36.37709581,139.0241956,1
36.425363,139.110351,1
36.42662301,139.1081234,1
36.335987,139.094655,1
36.33414944,139.0926766,1
36.397873,139.129786,1
36.37098373,139.1078838,1
36.438424,139.054005,1
36.465962,139.133775,1
36.38710393,139.1167237,1
36.37017514,139.1860769,1
36.3858437,139.1135681,1
36.380553,139.065286,1
36.3799359,139.0709314,1
36.37671287,139.0745841,1
36.36926956,139.1579966,1
36.36251424,139.1679018,1
36.39774766,139.0762611,1
36.39829188,139.0797554,1
36.39495757,139.0822869,1
36.400596,139.076427,1
36.42841194,139.0635507,1
36.433032,139.211226,1
36.41168906,139.2096542,1
36.41684684,139.1962929,1
36.411552,139.214065,1
36.41416006,139.2104915,1
36.42348375,139.2222861,1
36.365827,139.052605,1
36.3731373,139.0516651,1
36.373953,139.051386,1
36.43919176,139.1784554,1
36.44267201,139.1762028,1
36.442747,139.177856,1
36.44132436,139.1786198,1
36.446457,139.066455,1
36.440498,139.093281,1
36.45172509,139.087587,1
