緯度,経度,情報
34.2689473,135.102375,1
34.2170045,135.2110086,1
34.2614054,135.094988,1
34.226376,135.171189,1
34.2098213,135.176806,1
34.259756,135.249991,1
34.259412,135.250053,1
34.2558884,135.154821,1
34.2614944,135.1636319,1
34.256117,135.1582498,1
34.2599671,135.1502235,1
34.2674457,135.153285,1
34.269665,135.155021,1
34.2573866,135.126802,1
34.256883,135.133509,1
34.2639316,135.1966582,1
34.2655454,135.1947635,1
34.250449,135.146798,1
34.201562,135.179592,1
34.1978619,135.1800991,1
34.2259416,135.175006,1
34.2748363,135.0762646,1
34.2750821,135.0773638,1
34.2511718,135.1516415,1
34.1981962,135.1649019,1
34.2312945,135.2246182,1
34.2409683,135.2303447,1
34.1679733,135.1955859,1
34.17084,135.199785,1
34.1698588,135.1989517,1
34.1854239,135.189885,1
34.1825897,135.189998,1
34.1787953,135.1907148,1
34.170721,135.200127,1
34.18134,135.184724,1
34.1848481,135.186602,1
34.1854788,135.1803216,1
34.1860769,135.184909,1
34.2014786,135.2415488,1
34.2312057,135.1629055,1
34.2387666,135.2270591,1
34.249859,135.149429,1
34.2049237,135.2473178,1
34.2252208,135.1800062,1
34.2255825,135.179358,1
34.264856,135.234639,1
34.2668364,135.2379056,1
34.2651562,135.2423421,1
34.2123205,135.1908498,1
34.2139233,135.1959635,1
34.2135598,135.199594,1
34.1921563,135.224845,1
34.232772,135.193688,1
34.2337505,135.1963935,1
34.238798,135.1949688,1
34.2116615,135.1665029,1
34.2110281,135.165204,1
34.20936116,135.1638002,1
34.2087299,135.1636348,1
34.2183027,135.1626731,1
34.21669,135.160756,1
34.2151996,135.1640062,1
34.2157493,135.161468,1
34.20275624,135.2034574,1
34.23488756,135.1710126,1
34.192582,135.148291,1
34.1903908,135.145267,1
34.190067,135.187159,1
34.191624,135.185933,1
34.197588,135.189588,1
34.1955371,135.188011,1
34.1948216,135.190339,1
34.2232994,135.1835823,1
34.2646648,135.2623165,1
34.2032519,135.2595235,1
34.254355,135.1634717,1
34.2584246,135.162724,1
34.2576402,135.1677049,1
34.2548965,135.1700077,1
34.257205,135.1672688,1
34.2147905,135.2200774,1
34.2060435,135.2268305,1
34.23012352,135.1721994,1
34.21848,135.19026,1
34.22003984,135.1908126,1
34.217756,135.189124,1
34.2283011,135.2034652,1
34.2252673,135.2061372,1
34.2344245,135.2042259,1
34.1993303,135.1725193,1
34.19818869,135.1716752,1
34.2365759,135.1763991,1
34.2217803,135.1630611,1
34.210142,135.184894,1
34.203184,135.184597,1
34.1963704,135.185727,1
34.195357,135.183318,1
34.224804,135.167953,1
34.23066507,135.1677526,1
34.2007779,135.2244994,1
34.247364,135.139328,1
34.248661,135.138336,1
34.2493338,135.134374,1
34.2520163,135.1348537,1
34.2510502,135.1310505,1
34.2424438,135.2085871,1
34.2653675,135.2515198,1
34.2373091,135.2896603,1
34.2435955,135.2874994,1
34.233039,135.1814638,1
34.2145633,135.1767026,1
34.1853796,135.156433,1
34.2075754,135.2260147,1
34.2925376,135.0767338,1
34.2928015,135.0724703,1
34.21554735,135.2029298,1
34.22370575,135.1730713,1
34.216335,135.170337,1
34.2182455,135.17426,1
34.21761082,135.1751514,1
34.2074395,135.168894,1
34.2045119,135.1622911,1
34.2582652,135.1042657,1
34.2535621,135.110804,1
34.2652086,135.116519,1
34.2645642,135.1163307,1
34.2658508,135.1097476,1
34.2599469,135.1163881,1
34.230141,135.1682661,1
34.1993291,135.1652794,1
34.201906,135.165845,1
34.19505182,135.1584397,1
34.1925148,135.1506617,1
34.21012622,135.149377,1
34.20785769,135.1527959,1
34.1984133,135.1638779,1
34.2016725,135.1606507,1
34.2587,135.1838523,1
34.2572732,135.1814187,1
34.2608872,135.1853234,1
34.265792,135.1869001,1
34.2663996,135.1801613,1
34.2654075,135.1810104,1
34.2304105,135.19261,1
34.227392,135.194105,1
34.2275597,135.1997047,1
34.2316681,135.195046,1
34.2305579,135.198003,1
34.2284924,135.1967124,1
34.2341451,135.1988301,1
34.2432749,135.2760053,1
34.259043,135.1759572,1
34.2293706,135.164909,1
34.2206585,135.1535637,1
34.22034486,135.1487023,1
34.206576,135.186577,1
34.2396308,135.1857785,1
34.2395434,135.1870651,1
34.237371,135.1868293,1
34.2365681,135.1863213,1
34.2420647,135.181196,1
34.2569583,135.1400455,1
34.2639465,135.215677,1
34.259674,135.219934,1
34.2342337,135.1656994,1
34.2104533,135.198958,1
34.18566,135.150213,1
34.1876023,135.15023,1
34.2237537,135.1608441,1
34.2204303,135.1615348,1
34.2510949,135.1397226,1
34.2530625,135.1393051,1
34.1909771,135.2156256,1
34.174316,135.211853,1
34.259052,135.252511,1
34.2615677,135.253881,1
34.25951,135.251426,1
34.259781,135.251255,1
34.260161,135.252612,1
34.2447818,135.1462355,1
34.2083352,135.1732151,1
34.206414,135.171517,1
34.2280649,135.166118,1
34.222715,135.166961,1
34.221142,135.1670955,1
34.237347,135.2864642,1
34.1706047,135.1962093,1
34.2266182,135.1613268,1
34.2172253,135.1915678,1
34.2568664,135.2560058,1
34.243733,135.246645,1
34.2357527,135.2498714,1
34.2413926,135.243485,1
34.2404187,135.2429655,1
34.2380539,135.19203,1
34.2677535,135.1434851,1
34.27013,135.136398,1
34.2300877,135.1857455,1
34.2301798,135.186656,1
34.17467941,135.1839555,1
34.2408483,135.262777,1
34.2416109,135.2600812,1
34.2518604,135.1640947,1
34.2513568,135.1638648,1
34.25104189,135.1653121,1
34.246054,135.161844,1
34.249245,135.162809,1
34.2633961,135.1662476,1
34.2324393,135.1821424,1
34.2599569,135.2427705,1
34.235967,135.17599,1
34.2194941,135.1978376,1
34.213579,135.18822,1
34.2130033,135.1864091,1
34.2410674,135.1527169,1
34.238782,135.157845,1
34.2712263,135.2441437,1
34.2149416,135.1732121,1
34.2165093,135.1755691,1
34.1769563,135.2169885,1
34.222437,135.14341,1
34.221559,135.140907,1
34.21803944,135.1491684,1
34.2121555,135.15824,1
34.2333278,135.1445482,1
34.2332471,135.1472478,1
34.2174802,135.1585823,1
34.21779,135.15774,1
34.23365,135.166962,1
34.212885,135.158509,1
34.2327418,135.2090697,1
34.16382,135.18658,1
34.157562,135.185872,1
34.157987,135.185128,1
34.155668,135.179586,1
34.16671052,135.1909555,1
34.166673,135.190736,1
34.1699367,135.202294,1
34.164072,135.186019,1
34.2660269,135.125812,1
34.26334,135.1327066,1
34.2268583,135.1880923,1
