緯度,経度,情報
40.82665868,140.7936297,1
40.811292,140.738717,1
40.8254749,140.7887986,1
40.83246203,140.7244453,1
40.83377212,140.7266044,1
40.8359212,140.7169472,1
40.83209375,140.7215532,1
40.83368283,140.7243674,1
40.8234006,140.7699864,1
40.82017703,140.7286532,1
40.8185414,140.7287305,1
40.82458152,140.7530554,1
40.81920065,140.7544689,1
40.81394687,140.7348516,1
40.81419036,140.7340239,1
40.80896542,140.7331073,1
40.80946835,140.7286718,1
40.81222131,140.7447667,1
40.80986855,140.7472735,1
40.81131321,140.7496908,1
40.80185376,140.8002407,1
40.80040527,140.8000423,1
40.79905986,140.8046548,1
40.79839881,140.8063974,1
40.79533962,140.8045598,1
40.83471119,140.8050767,1
40.83722491,140.8071455,1
40.82204262,140.7341278,1
40.82217253,140.7337684,1
40.81141451,140.7980341,1
40.78169303,140.782356,1
40.78333104,140.781236,1
40.78304768,140.7859823,1
40.77898365,140.7872805,1
40.78068503,140.7781702,1
40.78134167,140.7829675,1
40.82990538,140.7624043,1
40.830043,140.772714,1
40.82791489,140.7721943,1
40.82841748,140.7740608,1
40.82762189,140.7754501,1
40.83035451,140.7791592,1
40.81786656,140.7675192,1
40.8136145,140.7714786,1
40.81318414,140.7723262,1
40.80908366,140.7674719,1
40.8069217,140.7683187,1
40.80781614,140.7704758,1
40.83468268,140.7034656,1
40.8327969,140.705529,1
40.831172,140.704712,1
40.81503479,140.7962441,1
40.8145476,140.7999348,1
40.82709981,140.7244964,1
40.82816446,140.7194479,1
40.81758671,140.7528183,1
40.8151319,140.7559112,1
40.81579882,140.7531583,1
40.81768636,140.7574005,1
40.81593615,140.7599394,1
40.82041339,140.7565852,1
40.81928133,140.7923012,1
40.81902968,140.7946559,1
40.81848717,140.787078,1
40.81902156,140.7981857,1
40.82072288,140.7608103,1
40.82095833,140.7603866,1
40.81897735,140.7604864,1
40.81901756,140.7615901,1
40.81666744,140.7621812,1
40.81202763,140.7765979,1
40.82766065,140.7378611,1
40.82613946,140.744182,1
40.82724052,140.7347097,1
40.84135,140.709481,1
40.80296338,140.7229906,1
40.80458784,140.7233978,1
40.80101489,140.7268577,1
40.79916935,140.7233246,1
40.82738395,140.7583825,1
40.80268131,140.7559376,1
40.83171524,140.6964475,1
40.82962893,140.6947416,1
40.83005107,140.6910724,1
40.83106581,140.6881112,1
40.80174378,140.8058432,1
40.79797117,140.8118447,1
40.80134573,140.8113962,1
40.7999935,140.8091303,1
40.8237907,140.7274305,1
40.83382213,140.8011636,1
40.82966604,140.7878264,1
40.8290302,140.7860725,1
40.8017347,140.7128212,1
40.80488832,140.7039572,1
40.85442403,140.6877586,1
40.85223679,140.6831072,1
40.85011459,140.6888687,1
