緯度,経度,情報
34.98111293,138.3740218,1
34.99162958,138.3840339,1
34.99299635,138.3845171,1
34.99171984,138.3834095,1
34.98522389,138.3867222,1
35.02232449,138.3599004,1
35.02005264,138.366007,1
35.02036673,138.3646599,1
35.21919696,138.2353462,1
35.22130508,138.2387506,1
35.22164354,138.2412528,1
35.22344541,138.2391204,1
34.97631018,138.3728575,1
34.98098734,138.344345,1
34.98562816,138.3365113,1
34.98635852,138.3301926,1
35.02974677,138.3684945,1
35.13219118,138.3682023,1
34.97987154,138.3959093,1
35.03151466,138.3770872,1
35.03701794,138.3760676,1
35.01327603,138.3935769,1
34.97946166,138.3151027,1
34.98331045,138.3757912,1
34.98289987,138.4048751,1
35.06414985,138.3702141,1
35.09450684,138.3740836,1
34.9701862,138.3771071,1
34.96911441,138.3765954,1
34.96559487,138.3765298,1
34.98591132,138.3970805,1
34.98839483,138.4004325,1
34.99581396,138.4068833,1
34.9965165,138.4137146,1
34.99415224,138.4098898,1
34.98797556,138.3374115,1
35.04855809,138.2467449,1
34.99426482,138.4163319,1
34.99547426,138.4177866,1
34.99900626,138.4159837,1
35.18414078,138.2750637,1
35.18856243,138.3180295,1
35.03308371,138.2144354,1
35.06868506,138.206665,1
34.9898071,138.3603911,1
34.99790793,138.359779,1
34.97571576,138.353796,1
34.97770018,138.356252,1
34.994954,138.3519344,1
35.00090978,138.3598671,1
34.97611724,138.3731294,1
34.97872398,138.3822616,1
34.97700329,138.385799,1
34.979096,138.386389,1
34.97778,138.385641,1
34.99844123,138.2435482,1
35.01449165,138.3746926,1
35.07673572,138.3672251,1
35.00469875,138.3687062,1
35.00140597,138.4135903,1
34.98462104,138.388993,1
34.98632564,138.3873803,1
34.98788801,138.3902399,1
34.98216362,138.3825992,1
35.00513638,138.3929462,1
34.97003315,138.3804953,1
34.996858,138.3087821,1
34.99438748,138.3076518,1
34.97519361,138.3692334,1
35.03828494,138.2945187,1
35.01349302,138.4262244,1
35.01371157,138.4172032,1
35.02342671,138.4221086,1
35.02263076,138.4184728,1
35.02594795,138.4220828,1
35.02804735,138.4245626,1
35.03014584,138.4241329,1
35.00474271,138.4269528,1
35.00230957,138.4237389,1
35.01305546,138.3528834,1
34.98341631,138.3769281,1
34.98204703,138.3794103,1
34.98150598,138.3556183,1
34.99314468,138.3988962,1
35.00932446,138.4131962,1
35.00571269,138.4137916,1
35.03311839,138.2454953,1
35.06092657,138.3381951,1
35.04374279,138.3677501,1
35.04527777,138.3565643,1
34.98917351,138.3784458,1
35.00752925,138.2787151,1
35.00919516,138.281882,1
35.00965583,138.2760502,1
34.9782285,138.388744,1
34.9800234,138.3906669,1
34.98693737,138.360527,1
