緯度,経度,情報
33.55958676,133.5463363,1
33.560494,133.541987,1
33.56126576,133.5465277,1
33.56268661,133.5461383,1
33.56226284,133.5461146,1
33.56219139,133.5464487,1
33.56329234,133.544389,1
33.56347285,133.5443987,1
33.57746554,133.5355629,1
33.566289,133.5360467,1
33.56684883,133.5361985,1
33.57118215,133.5385029,1
33.55641317,133.5079965,1
33.57299141,133.5289759,1
33.57370532,133.53005,1
33.58461319,133.5677404,1
33.588231,133.5708034,1
33.583653,133.5691812,1
33.58394361,133.5768234,1
33.58409247,133.5816342,1
33.57572977,133.5648075,1
33.57557246,133.5651883,1
33.57954316,133.5628817,1
33.5768456,133.5656467,1
33.55706679,133.5585842,1
33.55617057,133.5607567,1
33.55671,133.55699,1
33.49754769,133.5669097,1
33.49581275,133.5687163,1
33.49734548,133.5727043,1
33.49647398,133.5718818,1
33.49663553,133.572375,1
33.56753361,133.5404374,1
33.56780051,133.5405448,1
33.56742749,133.5449649,1
33.5643904,133.5354934,1
33.56427102,133.5430877,1
33.55246832,133.5426794,1
33.55270859,133.5409845,1
33.57170653,133.5467768,1
33.57154266,133.5457797,1
33.57253712,133.5452378,1
33.56392491,133.4983126,1
33.52871055,133.5537608,1
33.52167737,133.5345303,1
33.51402996,133.536933,1
33.51427464,133.5399838,1
33.56056849,133.595126,1
33.55815221,133.6063204,1
33.55621626,133.6037795,1
33.55651364,133.6020434,1
33.55824683,133.6011335,1
33.55217,133.6,1
33.56173263,133.5950706,1
33.55024886,133.5984446,1
33.54976278,133.6066153,1
33.56406531,133.5670119,1
33.55951243,133.5744477,1
33.55924769,133.5733464,1
33.55884857,133.5734825,1
33.55896666,133.5711852,1
33.55855981,133.5713849,1
33.55825711,133.5710236,1
33.55877679,133.5708424,1
33.55908709,133.5715009,1
33.55830161,133.5722724,1
33.55426276,133.5706048,1
33.55245809,133.5693649,1
33.55249824,133.5694951,1
33.55359408,133.5722194,1
33.55332935,133.5721901,1
33.555662,133.5744153,1
33.55551726,133.573479,1
33.55495026,133.5734378,1
33.55451414,133.5748688,1
33.55185516,133.5027221,1
33.55093083,133.5063989,1
33.54702337,133.5078798,1
33.55035246,133.5016836,1
33.543905,133.5033197,1
33.55894534,133.5283591,1
33.56149241,133.5323821,1
33.55971956,133.5311134,1
33.55989321,133.5330027,1
33.55920092,133.5293579,1
33.56190323,133.5284122,1
33.55943524,133.5283576,1
33.56349945,133.5329465,1
33.56232191,133.5325441,1
33.56297323,133.5292157,1
33.560664,133.561768,1
33.56177022,133.5637226,1
33.56094788,133.5617728,1
33.57162018,133.5326695,1
33.61200361,133.5624366,1
33.611019,133.565286,1
33.54630652,133.5697156,1
33.60704557,133.4728392,1
33.60342975,133.4724238,1
33.60160151,133.4719581,1
33.55360983,133.5086989,1
33.55386873,133.5087202,1
33.59955,133.4835583,1
33.56027163,133.5362078,1
33.55833926,133.547222,1
33.55748847,133.5492713,1
33.54743098,133.573725,1
33.54567387,133.5973697,1
33.54409272,133.5832853,1
33.54378453,133.5795632,1
33.54999479,133.5899989,1
33.54228865,133.5723,1
33.50499341,133.5560468,1
33.56776765,133.4914551,1
33.54607551,133.5641062,1
33.56723128,133.55352,1
33.56706324,133.551953,1
33.56773254,133.5515886,1
33.56795174,133.5537552,1
33.58728598,133.4584495,1
33.54120953,133.5395555,1
33.56245402,133.5723593,1
33.55801737,133.5809834,1
33.55858389,133.5861002,1
33.55842122,133.5884676,1
33.55930421,133.5820055,1
33.55932917,133.5821736,1
33.55855,133.5825,1
33.56030453,133.5837207,1
33.56155115,133.5855619,1
33.56101413,133.5862194,1
33.56058238,133.5880064,1
33.56062366,133.5895308,1
33.56006273,133.58887,1
33.56045875,133.5896751,1
33.55988036,133.5855099,1
33.55872173,133.587898,1
33.56204654,133.5884229,1
33.56279458,133.5876406,1
33.56386,133.5897,1
33.56363241,133.5891827,1
33.56430926,133.5904322,1
33.56220156,133.5895638,1
33.56226299,133.5892833,1
33.56152524,133.5898768,1
33.56170643,133.5900168,1
33.56182144,133.5901415,1
33.56069095,133.5904899,1
33.5695633,133.5755067,1
33.55706809,133.5757942,1
33.55854796,133.577363,1
33.55764638,133.5770581,1
33.55826045,133.5772957,1
33.55832662,133.5761218,1
33.5577283,133.5801344,1
33.55805978,133.580172,1
33.55828218,133.5800027,1
33.55646597,133.5773338,1
33.55617521,133.5773414,1
33.55577051,133.575753,1
33.555727,133.576792,1
33.55487004,133.577042,1
33.55590183,133.578677,1
33.55453482,133.5786998,1
33.56078515,133.5835504,1
33.56238225,133.5862909,1
33.55830856,133.5943449,1
33.55852882,133.595228,1
33.55967303,133.5773966,1
33.5734838,133.5569276,1
33.57488666,133.5575836,1
33.56059357,133.5491877,1
33.56126524,133.5485625,1
33.56201384,133.5486024,1
33.56196433,133.5526856,1
33.56092046,133.5263731,1
33.56106531,133.5183143,1
33.55208317,133.5453255,1
33.55091041,133.5465949,1
33.55034186,133.5454785,1
33.550416,133.546834,1
33.5509136,133.5449805,1
33.55149728,133.5446724,1
33.55270397,133.5441582,1
33.55295873,133.5456585,1
33.55121744,133.5460681,1
33.54997196,133.547132,1
33.55040398,133.5467149,1
33.54823094,133.5459166,1
33.54876769,133.5475259,1
33.54675515,133.5480326,1
33.54725,133.5478,1
33.54670737,133.5466341,1
33.54505184,133.5493183,1
33.53966303,133.5523813,1
33.5399733,133.5513018,1
33.53913897,133.5508733,1
33.54133573,133.5528769,1
33.54234801,133.5547022,1
33.55346807,133.5608479,1
33.54059783,133.4884991,1
33.50704436,133.5677027,1
33.50546141,133.5679621,1
33.50273839,133.5654054,1
33.50911645,133.5725565,1
33.50934295,133.5729543,1
33.56646907,133.5353349,1
33.52919344,133.5780813,1
33.52260303,133.575454,1
33.607106,133.556343,1
33.50184857,133.4769982,1
33.50445554,133.4525569,1
33.496823,133.457596,1
