緯度,経度,情報
35.4907557,134.2502129,1
35.49097245,134.2513041,1
35.48791382,134.2549183,1
35.49171921,134.256984,1
35.49174165,134.2577018,1
35.47951344,134.2363458,1
35.4771289,134.239337,1
35.48161769,134.2402657,1
35.48122891,134.2405267,1
35.47469936,134.2373543,1
35.4766958,134.2344897,1
35.49303601,134.2306908,1
35.49277832,134.2297681,1
35.515125,134.2458185,1
35.51688633,134.2386293,1
35.51891559,134.2362767,1
35.51931292,134.2358153,1
35.44805378,134.2115881,1
35.45713715,134.1902951,1
35.4168195,134.1678892,1
35.41814381,134.2083265,1
35.39336183,134.1997538,1
35.39512472,134.2002112,1
35.39014717,134.1941101,1
35.394544,134.199793,1
35.3958484,134.1991165,1
35.39544609,134.1990682,1
35.39051335,134.1910514,1
35.37954955,134.1648411,1
35.37994835,134.1646651,1
35.38030598,134.1646123,1
35.39323823,134.2031307,1
35.38330786,134.1958402,1
35.37616247,134.1987145,1
35.37652466,134.1981852,1
35.37725287,134.1987045,1
35.39887932,134.2133542,1
35.39912901,134.2129504,1
35.39875434,134.2130035,1
35.36626039,134.1788815,1
35.38666585,134.1444857,1
35.4125345,134.2013173,1
35.40384816,134.1995181,1
35.40833973,134.1999916,1
35.4089052,134.1997448,1
35.40267056,134.2026789,1
35.40060937,134.2005145,1
35.40093404,134.2004233,1
35.40329612,134.2016776,1
35.42282161,134.2043409,1
35.52973629,134.1968035,1
35.53055266,134.1961705,1
35.53844666,134.184474,1
35.52574588,134.1875591,1
35.53033892,134.1911185,1
35.53265774,134.1921525,1
35.53306465,134.191354,1
35.53296861,134.1916544,1
35.53410892,134.1868,1
35.53538873,134.1868713,1
35.51923546,134.2352313,1
35.518889,134.235338,1
35.52028079,134.2314871,1
35.47331191,134.2207265,1
35.47393998,134.22086,1
35.49943525,134.2270299,1
35.51958242,134.226522,1
35.49293283,134.0690514,1
35.49253391,134.0690407,1
35.49316785,134.0687177,1
35.48105173,134.0385166,1
35.48053481,134.0386614,1
35.48032556,134.0379335,1
35.5238646,134.0884656,1
35.52465781,134.0855727,1
35.51247784,134.0446318,1
35.5127408,134.048363,1
35.5195662,134.020052,1
35.51008936,134.0439727,1
35.51035281,134.0442356,1
35.51114468,134.043007,1
35.51051893,134.0554111,1
35.51136321,134.0564109,1
35.51590286,134.0611142,1
35.51219508,134.0531078,1
35.51796897,134.0616426,1
35.51838352,134.0612914,1
35.51526818,134.0817683,1
35.51519832,134.0821707,1
35.51224688,134.0810501,1
35.51258456,134.0811038,1
35.51506297,134.048233,1
35.48481568,134.1285059,1
35.4851749,134.1284966,1
35.487629,134.131468,1
35.48360186,134.2238101,1
35.48400318,134.2238052,1
35.4877743,134.2183229,1
35.48564,134.224857,1
35.484322,134.220723,1
35.483999,134.221132,1
35.4823694,134.2247229,1
35.48242132,134.2354992,1
35.48903481,134.2170926,1
35.47919962,134.2202487,1
35.48962486,134.2366212,1
35.4959351,134.2330944,1
35.49559534,134.2337681,1
35.49605739,134.2336684,1
35.49493311,134.2379216,1
35.49250451,134.2342639,1
35.49214486,134.2349547,1
35.49537142,134.2390938,1
35.47897396,134.2222436,1
35.47843228,134.2224367,1
35.47601752,134.2204205,1
35.48540943,134.2329131,1
35.48640677,134.2299006,1
35.4867169,134.2304049,1
35.49910623,134.1316484,1
35.49854149,134.133188,1
35.49929326,134.1737229,1
35.45929228,134.2505918,1
35.45993022,134.2506562,1
35.455677,134.249314,1
35.455929,134.249316,1
35.50121938,134.2269671,1
35.50663762,134.2291748,1
35.49834654,134.2080864,1
35.49450917,134.208146,1
35.49415267,134.2082752,1
35.494025,134.207409,1
35.501099,134.209064,1
35.46026306,134.238409,1
35.45982174,134.2386773,1
35.45906,134.238698,1
35.45945873,134.2376357,1
35.50164052,134.2171624,1
35.5217987,134.1694625,1
35.52163716,134.16891,1
35.52233802,134.1692614,1
35.52239478,134.1706991,1
35.52046787,134.1697428,1
35.52406728,134.1588961,1
35.51571376,134.1777764,1
35.51621153,134.1775886,1
35.51471539,134.1782333,1
35.51121516,134.1833918,1
35.50998026,134.1788261,1
35.50884055,134.1774993,1
35.51045624,134.1773383,1
35.51666898,134.1791313,1
35.51949357,134.175856,1
35.51939315,134.1750728,1
35.52246135,134.1733907,1
35.52146702,134.1763523,1
35.5224512,134.1777716,1
35.5238574,134.1776791,1
35.52595886,134.1761181,1
35.52230741,134.1807682,1
35.52035491,134.1818015,1
35.51977306,134.1823337,1
35.52003961,134.1834367,1
35.49586364,134.2178518,1
35.49433799,134.2199493,1
35.49845482,134.2217154,1
35.496768,134.2212123,1
35.49674034,134.2228216,1
35.49731463,134.2206326,1
35.49999121,134.2223826,1
35.50196566,134.2206997,1
35.50338607,134.1548924,1
35.49785237,134.1600481,1
35.48397447,134.2615041,1
35.45374039,134.2934075,1
35.43849041,134.3262082,1
35.47970544,134.2704643,1
35.48133213,134.267123,1
35.47990622,134.2619073,1
35.4793527,134.2580541,1
35.47967596,134.25895,1
35.47889613,134.2573813,1
35.47893637,134.2562876,1
35.47933116,134.2563256,1
35.47854096,134.2714688,1
35.47893849,134.2718604,1
35.4636374,134.291901,1
35.44339365,134.3491818,1
35.4731162,134.2965324,1
35.46411003,134.2693417,1
35.4647502,134.2958151,1
35.46432044,134.2958157,1
35.48217626,134.2576732,1
35.48052879,134.2580676,1
35.46077011,134.2968319,1
35.46148645,134.2958035,1
35.44200828,134.3323418,1
35.44262502,134.3322208,1
35.44238138,134.3319696,1
35.47288411,134.2739473,1
35.47242976,134.2738937,1
35.4742698,134.2750549,1
35.47339169,134.2748564,1
35.47410526,134.2761277,1
35.47193453,134.2757265,1
35.45196124,134.3451011,1
35.46918598,134.3627179,1
35.46948361,134.3635891,1
35.47014759,134.3629239,1
35.46981735,134.361976,1
35.47745299,134.2866904,1
35.47065001,134.2845285,1
35.46977832,134.2845958,1
35.33060345,134.1186327,1
35.32932654,134.1130571,1
35.32899962,134.1003382,1
35.32932129,134.100349,1
35.339497,134.154956,1
35.33973477,134.156112,1
35.33973331,134.1554415,1
35.34228984,134.1195637,1
35.34206838,134.1196155,1
35.33862057,134.1616481,1
35.33061828,134.1115665,1
35.33040092,134.1107564,1
35.470737,134.246601,1
35.47077524,134.253791,1
35.46960222,134.2484454,1
35.46983377,134.2475066,1
35.47283432,134.2533643,1
35.52073135,134.1545521,1
35.49829515,134.2351928,1
35.49733523,134.0528646,1
35.49740707,134.0536291,1
35.47876858,134.0528842,1
35.47910013,134.0535162,1
35.47909285,134.0531246,1
35.47176706,134.0488425,1
35.46099259,134.0495306,1
35.46590625,134.056346,1
35.46684012,134.0558958,1
35.46637136,134.0559204,1
35.4599607,134.0633969,1
35.45725606,134.0474827,1
35.46039581,134.0558221,1
35.4601152,134.0564123,1
35.46316636,134.068831,1
35.46283102,134.0688467,1
35.45882992,134.065032,1
35.45973294,134.0652466,1
35.44754312,134.0300041,1
35.44780861,134.0301131,1
35.44811015,134.0303009,1
35.46964954,134.1847843,1
35.46920391,134.1846019,1
35.50351515,134.2262933,1
35.44818834,134.2635355,1
35.4483107,134.2639593,1
35.4474493,134.2614489,1
35.44709045,134.2600358,1
35.44751741,134.2626588,1
35.44709739,134.2659968,1
35.44439028,134.2608539,1
35.45044717,134.262172,1
35.45133139,134.2625964,1
35.45316942,134.2650441,1
35.50435814,134.2251133,1
35.50659708,134.225648,1
35.50609655,134.2255848,1
35.5203592,134.2123461,1
35.5180512,134.2149503,1
35.51863647,134.2189532,1
35.49864824,134.232455,1
35.51731767,134.2082276,1
35.51712832,134.2082717,1
35.501805,134.237102,1
35.44231625,134.1349139,1
35.44256099,134.135225,1
35.4419183,134.1341852,1
35.51465584,134.2172158,1
35.51841104,134.2200341,1
35.50014243,134.2450014,1
35.48256351,134.2377482,1
35.47425759,134.2441515,1
35.45860322,134.2539706,1
35.46000473,134.2543139,1
35.46834958,134.1800335,1
35.50304692,134.2338076,1
35.50566967,134.233518,1
35.50404057,134.2331387,1
35.50601897,134.231705,1
35.50555844,134.2310805,1
35.5063918,134.231609,1
35.50447856,134.2197032,1
35.50417724,134.220127,1
35.50613221,134.2174251,1
35.49917366,134.0087795,1
35.49833176,134.0094291,1
35.49832303,134.0097564,1
35.50271337,133.9861815,1
35.50289461,133.9859634,1
