緯度,経度,情報
35.456766,139.523212,1
35.457028,139.522992,1
35.456915,139.523303,1
35.457163,139.522831,1
35.456809,139.522987,1
35.456757,139.522499,1
35.474155,139.517446,1
35.474194,139.517977,1
35.473849,139.518202,1
35.485081,139.536791,1
35.48474,139.536904,1
35.484954,139.537285,1
35.484391,139.536668,1
35.484199,139.53647,1
35.484282,139.535826,1
35.479183,139.52915,1
35.47893,139.529263,1
35.479035,139.528512,1
35.45715,139.556166,1
35.457341,139.556789,1
35.457473,139.556826,1
35.45921468,139.5507632,1
35.45988321,139.5510261,1
35.45958101,139.5510715,1
35.46172972,139.549196,1
35.462084,139.549322,1
35.46194648,139.5501485,1
35.462377,139.549853,1
35.47348,139.510298,1
35.473105,139.510685,1
35.473196,139.510685,1
35.461713,139.558861,1
35.462128,139.559311,1
35.502699,139.501773,1
35.502961,139.502336,1
35.503293,139.502261,1
35.508659,139.500575,1
35.508471,139.500436,1
35.508689,139.500865,1
35.508292,139.500575,1
35.508327,139.501289,1
35.50558,139.49078,1
35.505742,139.491638,1
35.50534,139.491552,1
35.462141,139.553819,1
35.461821,139.553689,1
35.498603,139.502939,1
35.498279,139.503105,1
35.495319,139.539783,1
35.495538,139.539472,1
35.495739,139.539525,1
35.495713,139.539826,1
35.495857,139.537515,1
35.49546,139.537038,1
35.495722,139.537075,1
35.495355,139.537423,1
35.498188,139.532361,1
35.498568,139.532871,1
35.497695,139.532313,1
35.496545,139.531752,1
35.496851,139.531683,1
35.49686,139.532192,1
35.496694,139.532257,1
35.493944,139.520657,1
35.493616,139.520223,1
35.464832,139.547568,1
35.46437,139.547611,1
35.464099,139.547616,1
35.45142,139.516388,1
35.451242,139.516432,1
35.452543,139.533397,1
35.452534,139.534127,1
35.452748,139.533885,1
35.458877,139.512046,1
35.458558,139.512009,1
35.459078,139.512604,1
35.458523,139.512851,1
35.47493,139.522137,1
35.474821,139.522153,1
35.474393,139.521858,1
35.474664,139.522319,1
35.487842,139.544417,1
35.487475,139.544793,1
35.487772,139.544868,1
35.487623,139.543881,1
35.487192,139.544004,1
35.465892,139.522363,1
35.465582,139.522491,1
35.472053,139.551523,1
35.471778,139.551389,1
35.471944,139.552043,1
35.481851,139.54269,1
35.481567,139.542573,1
35.481908,139.542074,1
35.482126,139.541612,1
35.485265,139.521155,1
35.484837,139.521627,1
35.485619,139.5213,1
35.464482,139.511563,1
35.464203,139.511124,1
35.456859,139.509394,1
35.457257,139.508798,1
35.456829,139.509705,1
35.457122,139.509512,1
35.458432,139.538456,1
35.458109,139.538998,1
35.464302,139.528965,1
35.46411,139.529496,1
35.463913,139.529475,1
35.463913,139.529126,1
35.483673,139.550143,1
35.4837,139.549912,1
35.483486,139.550405,1
35.468952,139.544256,1
35.469183,139.544326,1
35.469009,139.544852,1
35.4689,139.544068,1
35.458048,139.536506,1
35.457231,139.536056,1
35.457747,139.535761,1
35.457319,139.535879,1
35.458131,139.536007,1
35.408072,139.614197,1
35.407691,139.614277,1
35.407862,139.614513,1
35.405884,139.613045,1
35.405442,139.613029,1
35.406015,139.613694,1
35.405783,139.613329,1
35.416785,139.617986,1
35.416435,139.618292,1
35.41653438,139.6170756,1
35.41614,139.617219,1
35.416955,139.617391,1
35.42138,139.611301,1
35.421109,139.612089,1
35.420886,139.611301,1
35.422011,139.621131,1
35.42188,139.620654,1
35.414191,139.622564,1
35.4143,139.622559,1
35.414244,139.622108,1
35.407146,139.611093,1
35.406529,139.61126,1
35.407198,139.611641,1
35.407076,139.611346,1
35.407373,139.61126,1
35.400871,139.606535,1
35.4006,139.606305,1
35.400455,139.606127,1
35.40038,139.606418,1
35.40054067,139.6060903,1
35.40004,139.606202,1
35.400997,139.607034,1
35.401181,139.606787,1
35.36946,139.609512,1
35.369351,139.609259,1
35.36918,139.609297,1
35.369561,139.609061,1
35.397451,139.616047,1
35.397508,139.61587,1
35.391118,139.614069,1
35.390825,139.613704,1
35.391311,139.613774,1
35.391477,139.613924,1
35.390694,139.614112,1
35.392742,139.605471,1
35.392458,139.605053,1
35.38534,139.616547,1
35.38489,139.616938,1
35.385629,139.616922,1
35.384916,139.616622,1
35.378407,139.611202,1
35.379151,139.611111,1
35.378998,139.610961,1
35.378779,139.610483,1
35.37877,139.611229,1
35.37805,139.619924,1
35.377805,139.619994,1
35.37753,139.619967,1
35.377748,139.619693,1
35.377809,139.620187,1
35.377547,139.619699,1
35.415375,139.631654,1
35.414968,139.631075,1
35.415086,139.631606,1
35.417984,139.632561,1
35.417411,139.632931,1
35.417734,139.632947,1
35.418124,139.632942,1
35.41811,139.633097,1
35.384709,139.595704,1
35.383996,139.595393,1
35.384521,139.595698,1
35.384337,139.595763,1
35.384232,139.595591,1
35.38260322,139.5898185,1
35.38236,139.590066,1
35.382111,139.589621,1
35.38222,139.589573,1
35.376113,139.599989,1
35.37677,139.599903,1
35.376442,139.600026,1
35.376262,139.599833,1
35.376166,139.599935,1
35.376547,139.599989,1
35.373279,139.597403,1
35.373113,139.597333,1
35.372925,139.596797,1
35.373353,139.597086,1
35.36186,139.532068,1
35.36221,139.531483,1
35.353571,139.564586,1
35.354385,139.564436,1
35.353908,139.564517,1
35.352089,139.5637,1
35.3524,139.563501,1
35.352689,139.563909,1
35.352089,139.563571,1
35.364785,139.549988,1
35.364872,139.550519,1
35.364421,139.549752,1
35.364964,139.551115,1
