地域,野球場・ソフトボール場数（公共）
北海道,529
青森県,76
岩手県,117
宮城県,125
秋田県,95
山形県,63
福島県,119
茨城県,229
栃木県,225
群馬県,184
埼玉県,374
千葉県,276
東京都,580
神奈川県,173
新潟県,172
富山県,56
石川県,95
福井県,92
山梨県,40
長野県,194
岐阜県,166
静岡県,184
愛知県,313
三重県,80
滋賀県,48
京都府,82
大阪府,119
兵庫県,117
奈良県,37
和歌山県,59
鳥取県,49
島根県,61
岡山県,98
広島県,74
山口県,32
徳島県,24
香川県,79
愛媛県,45
高知県,29
福岡県,181
佐賀県,37
長崎県,58
熊本県,86
大分県,88
宮崎県,64
鹿児島県,57
沖縄県,43
北海道,551
青森県,76
岩手県,118
宮城県,119
秋田県,110
山形県,64
福島県,116
茨城県,243
栃木県,236
群馬県,188
埼玉県,397
千葉県,278
東京都,594
神奈川県,188
新潟県,175
富山県,57
石川県,95
福井県,81
山梨県,35
長野県,196
岐阜県,173
静岡県,178
愛知県,347
三重県,77
滋賀県,48
京都府,78
大阪府,126
兵庫県,114
奈良県,35
和歌山県,59
鳥取県,49
島根県,49
岡山県,108
広島県,71
山口県,34
徳島県,30
香川県,80
愛媛県,43
高知県,29
福岡県,179
佐賀県,36
長崎県,56
熊本県,84
大分県,103
宮崎県,71
鹿児島県,48
沖縄県,45
北海道,571
青森県,82
岩手県,111
宮城県,129
秋田県,112
山形県,63
福島県,116
茨城県,228
栃木県,237
群馬県,190
埼玉県,388
千葉県,274
東京都,570
神奈川県,174
新潟県,181
富山県,57
石川県,97
福井県,82
山梨県,39
長野県,190
岐阜県,165
静岡県,199
愛知県,344
三重県,81
滋賀県,49
京都府,68
大阪府,120
兵庫県,137
奈良県,33
和歌山県,67
鳥取県,50
島根県,54
岡山県,108
広島県,68
山口県,32
徳島県,31
香川県,69
愛媛県,45
高知県,24
福岡県,180
佐賀県,36
長崎県,57
熊本県,87
大分県,101
宮崎県,78
鹿児島県,63
沖縄県,42
北海道,561
青森県,86
岩手県,112
宮城県,136
秋田県,120
山形県,64
福島県,113
茨城県,220
栃木県,233
群馬県,198
埼玉県,389
千葉県,286
東京都,550
神奈川県,170
新潟県,184
富山県,55
石川県,98
福井県,74
山梨県,37
長野県,192
岐阜県,167
静岡県,200
愛知県,338
三重県,82
滋賀県,48
京都府,70
大阪府,117
兵庫県,124
奈良県,29
和歌山県,74
鳥取県,50
島根県,53
岡山県,100
広島県,67
山口県,31
徳島県,31
香川県,61
愛媛県,46
高知県,24
福岡県,180
佐賀県,36
長崎県,59
熊本県,93
大分県,97
宮崎県,80
鹿児島県,60
沖縄県,45
北海道,582
青森県,82
岩手県,106
宮城県,134
秋田県,113
山形県,58
福島県,129
茨城県,239
栃木県,236
群馬県,219
埼玉県,413
千葉県,292
東京都,560
神奈川県,195
新潟県,187
富山県,56
石川県,92
福井県,71
山梨県,32
長野県,198
岐阜県,159
静岡県,193
愛知県,341
三重県,75
滋賀県,46
京都府,89
大阪府,126
兵庫県,123
奈良県,35
和歌山県,76
鳥取県,47
島根県,54
岡山県,97
広島県,100
山口県,29
徳島県,32
香川県,66
愛媛県,46
高知県,23
福岡県,188
佐賀県,45
長崎県,65
熊本県,104
大分県,103
宮崎県,83
鹿児島県,62
沖縄県,48
