地域,外国人延べ宿泊者人数
北海道,7689550
青森県,296240
岩手県,245590
宮城県,364110
秋田県,112160
山形県,128020
福島県,141350
茨城県,204650
栃木県,252130
群馬県,274860
埼玉県,162710
千葉県,4061420
東京都,22320850
神奈川県,2471030
新潟県,286350
富山県,265870
石川県,846920
福井県,65560
山梨県,1618010
長野県,1184530
岐阜県,1151960
静岡県,1569750
愛知県,2698340
三重県,314140
滋賀県,399860
京都府,5217010
大阪府,12839050
兵庫県,1175150
奈良県,345690
和歌山県,401700
鳥取県,149830
島根県,64700
岡山県,446950
広島県,917390
山口県,96890
徳島県,86830
香川県,421920
愛媛県,209660
高知県,65480
福岡県,3178480
佐賀県,381680
長崎県,581130
熊本県,898870
大分県,1100550
宮崎県,310070
鹿児島県,694940
沖縄県,4856530
